center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
30,60,period,2,2,0,,,,,100,0,period,1,3.2277463750215247,None,,,,,,,,,,,,,,0,2,2,2,,,,,321.7784767090052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.7728568750026,321.7784767090052,322.2700425000221,322.2700425000221,322.2700425000221,322.34370966700953,322.34370966700953,322.34370966700953,322.34370966700953,325.01287366700126,period,1,3.2277463750215247,None,325.0162320420204,325.02502020902466,326.5206800420128,326.5088720000058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
30,0,period,3,3,0,,,,,100,0,period,1,1.909931082976982,None,,,,,,,,,,,,,,0,3,3,3,,,,,326.5206800420128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.5106072500057,326.5206800420128,327.0130193750083,327.0130193750083,327.0130193750083,327.0873122920166,327.0873122920166,327.0873122920166,327.0873122920166,328.43959370901575,period,1,1.909931082976982,None,328.4397481250053,328.4491943750181,329.9458021669998,329.93837175000226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
-30,69,z,4,4,0,,,,,0,100,z,1,1.5437852080212906,None,,,,,,,,,,,,,,0,4,4,4,,,,,329.9458021669998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.9401030840236,329.9458021669998,330.43701470902306,330.43701470902306,330.43701470902306,330.5102567090071,330.5102567090071,330.5102567090071,330.5102567090071,331.4957866250188,z,1,1.5437852080212906,None,331.4959024999989,331.5204818750208,,333.00457741701393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
30,69,period,5,5,0,,,,,0,100,period,1,1.6677014580054674,None,,,,,,,,,,,,,,0,5,5,5,,,,,333.01205133402254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.00637487502536,333.01205133402254,333.49606091700844,333.49606091700844,333.49606091700844,333.57059700001264,333.57059700001264,333.57059700001264,333.57059700001264,334.68978604199947,period,1,1.6677014580054674,None,334.6899652920256,334.6971853750001,336.1961960839981,336.1880649170198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.18825629202183,336.1961960839981,336.1961960839981,381.82474725000793,space,45.62301945799845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
-2,-15.0,,0,0,0,,,,,100,0,,,,,c-2,negs,0.5,period,1.4095679580059368,None,None,,,,,,,,,,,0,0,0,379,381.95850562502164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.9523649170005,381.95850562502164,382.3247943340102,382.3247943340102,382.3247943340102,382.3944565420097,382.3944565420097,382.3944565420097,383.3749030000181,period,1.4095679580059368,None,383.3750035840203,383.37504850002006,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
8,15.0,,1,1,0,,,,,100,0,,,,,c+8,poss,1.0,period,2.7005937089852523,None,None,,,,,,,,,,,0,1,1,233,383.38584745902335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.3770577920077,383.38584745902335,384.3721214590187,384.3721214590187,384.3721214590187,384.4443954169983,384.4443954169983,384.4443954169983,386.0917375840072,period,2.7005937089852523,None,386.09187025000574,386.0919356670056,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
0,0.0,,2,2,0,,,,,0,100,,,,,c+0,noss,0.75,z,2.7611822499893606,None,None,,,,,,,,,,,0,2,2,606,386.10332566700527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.09440062500653,386.10332566700527,386.83893475000514,386.83893475000514,386.83893475000514,386.91105525000603,386.91105525000603,386.91105525000603,388.875288500014,z,2.7611822499893606,None,388.87541966701974,388.8754704169987,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
0,15.0,,3,3,0,,,,,100,0,,,,,c+0,poss,1.25,z,2.3616694170050323,None,None,,,,,,,,,,,0,3,3,77,388.88649708402227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.87778062501457,388.88649708402227,390.1224872090097,390.1224872090097,390.1224872090097,390.19445675000316,390.19445675000316,390.19445675000316,391.258483875019,z,2.3616694170050323,None,391.2586105420196,391.25865975001943,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
-6,-15.0,,4,4,0,,,,,100,0,,,,,c-6,negs,1.25,period,3.99676583299879,None,None,,,,,,,,,,,0,4,4,333,391.26952670901665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.26088958402397,391.26952670901665,392.50480912500643,392.50480912500643,392.50480912500643,392.578883625014,392.578883625014,392.578883625014,395.27535224999883,period,3.99676583299879,None,395.27551504201256,395.27569858400966,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
-8,-15.0,,5,5,0,,,,,100,0,,,,,c-8,negs,1.0,period,2.080897833016934,None,None,,,,,,,,,,,0,5,5,275,395.28763066700776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.27831341701676,395.28763066700776,396.2726263750228,396.2726263750228,396.2726263750228,396.34475158402347,396.34475158402347,396.34475158402347,397.3752631250245,period,2.080897833016934,None,397.37536454200745,397.37540325001464,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
0,-15.0,,6,6,0,,,,,100,0,,,,,c+0,negs,0.75,period,1.543380791990785,None,None,,,,,,,,,,,0,6,6,437,397.38586654202663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.3773674170079,397.38586654202663,398.1221210840158,398.1221210840158,398.1221210840158,398.1952834170079,398.1952834170079,398.1952834170079,398.9319663750066,period,1.543380791990785,None,398.9320925840002,398.9321420000051,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
0,15.0,,7,7,0,,,,,100,0,,,,,c+0,poss,0.5,z,1.2849785829894245,None,None,,,,,,,,,,,0,7,7,47,398.94275195902446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.934274750005,398.94275195902446,399.43283295902074,399.43283295902074,399.43283295902074,399.50668412502273,399.50668412502273,399.50668412502273,400.2309414590127,z,1.2849785829894245,None,400.2310775000078,400.2311279590067,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
4,15.0,,8,8,0,,,,,100,0,,,,,c+4,poss,0.5,period,1.5591195829911157,None,None,,,,,,,,,,,0,8,8,135,400.24239241701434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.2334605840151,400.24239241701434,400.73262995900586,400.73262995900586,400.73262995900586,400.8066516670224,400.8066516670224,400.8066516670224,401.80893975001527,period,1.5591195829911157,None,401.80906691701966,401.8091068750073,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
4,15.0,,9,9,0,,,,,100,0,,,,,c+4,poss,0.5,period,2.454590165987611,None,None,,,,,,,,,,,0,9,9,127,401.81985383402207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.81114933401113,401.81985383402207,402.3061878750159,402.3061878750159,402.3061878750159,402.3795410840248,402.3795410840248,402.3795410840248,404.28651987502235,period,2.454590165987611,None,404.2866575840162,404.2866979170067,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
4,0.0,,10,10,0,,,,,0,100,,,,,c+4,noss,0.5,period,1.2442432919924613,None,None,,,,,,,,,,,0,10,10,673,404.29305666702567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.28868358401814,404.29305666702567,404.7825556670141,404.7825556670141,404.7825556670141,404.85654116701335,404.85654116701335,404.85654116701335,405.5424810000113,period,1.2442432919924613,None,405.5426105840015,405.54266054200707,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
0,0.0,,11,11,0,,,,,0,100,,,,,c+0,noss,0.75,period,1.6878427500196267,None,None,,,,,,,,,,,0,11,11,599,405.55370625000796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.5449356670142,405.55370625000796,406.2889512090187,406.2889512090187,406.2889512090187,406.36180175002664,406.36180175002664,406.36180175002664,407.24782345900894,period,1.6878427500196267,None,407.24795554199954,407.2480114590144,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
0,-15.0,,12,12,0,,,,,100,0,,,,,c+0,negs,1.0,period,1.687889749999158,None,None,,,,,,,,,,,0,12,12,449,407.25935504201334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.2502946250024,407.25935504201334,408.25019358401187,408.25019358401187,408.25019358401187,408.32340216700686,408.32340216700686,408.32340216700686,408.95928604202345,period,1.687889749999158,None,408.9593903750065,408.95942995900987,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
-2,0.0,,13,13,0,,,,,0,100,,,,,c-2,noss,1.0,period,2.1187959160015453,None,None,,,,,,,,,,,0,13,13,577,408.97377408400644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.9613801250234,408.97377408400644,409.95643525000196,409.95643525000196,409.95643525000196,410.02976641702116,410.02976641702116,410.02976641702116,411.0990065840015,period,2.1187959160015453,None,411.09913129202323,411.0991825000092,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
8,15.0,,14,14,0,,,,,100,0,,,,,c+8,poss,1.25,period,1.847257624991471,None,None,,,,,,,,,,,0,14,14,250,411.11007279201294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.1016913750209,411.11007279201294,412.3490639590018,412.3490639590018,412.3490639590018,412.42369475000305,412.42369475000305,412.42369475000305,412.96002729202155,period,1.847257624991471,None,412.9601674590085,412.96021837502485,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
-2,0.0,,15,15,0,,,,,0,100,,,,,c-2,noss,0.75,period,1.4440162089886144,None,None,,,,,,,,,,,0,15,15,567,412.97155520902015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.9626252920134,412.97155520902015,413.70652179201716,413.70652179201716,413.70652179201716,413.7786590420001,413.7786590420001,413.7786590420001,414.42591166700004,period,1.4440162089886144,None,414.4260360840126,414.42608562501846,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
0,15.0,,16,16,0,,,,,100,0,,,,,c+0,poss,0.5,z,1.6297736249980517,None,None,,,,,,,,,,,0,16,16,50,414.4372222920065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.42857654200634,414.4372222920065,414.9232865840022,414.9232865840022,414.9232865840022,414.99605170902214,414.99605170902214,414.99605170902214,416.0761595000222,z,1.6297736249980517,None,416.07640358401113,416.0765133750101,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
0,0.0,,17,17,0,,,,,0,100,,,,,c+0,noss,0.75,period,1.5370487080072053,None,None,,,,,,,,,,,0,17,17,600,416.08824695899966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.0791042089986,416.08824695899966,416.8233411250112,416.8233411250112,416.8233411250112,416.89587279202533,416.89587279202533,416.89587279202533,417.6324832920218,period,1.5370487080072053,None,417.6326243750227,417.6326707090193,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
6,15.0,,18,18,0,,,,,100,0,,,,,c+6,poss,1.25,period,1.8642819590168074,None,None,,,,,,,,,,,0,18,18,208,417.64340945900767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.63524941701326,417.64340945900767,418.8828252090025,418.8828252090025,418.8828252090025,418.95748287500464,418.95748287500464,418.95748287500464,419.510661584005,period,1.8642819590168074,None,419.5108130000008,419.5108689170156,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
0,0.0,,19,19,0,,,,,0,100,,,,,c+0,noss,1.25,period,1.8709330410056282,None,None,,,,,,,,,,,0,19,19,625,419.5222981250263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.5130098750233,419.5222981250263,420.7569747090165,420.7569747090165,420.7569747090165,420.82855291702435,420.82855291702435,420.82855291702435,421.3991262500058,period,1.8709330410056282,None,421.3992527090013,421.39930250000907,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
-4,0.0,,20,20,0,,,,,0,100,,,,,c-4,noss,1.0,z,1.7117459169821814,None,None,,,,,,,,,,,0,20,20,535,421.4099733750045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.4016153750126,421.4099733750045,422.3992835000099,422.3992835000099,422.3992835000099,422.4740991250146,422.4740991250146,422.4740991250146,423.1265947500069,z,1.7117459169821814,None,423.12672737499815,423.12677683401853,None,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
