center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
30,60,right,2,2,0,,,,,100,right,1,1.059106457993039,None,,,,,,,,,,,,,,0,2,2,2,,,,,503.61638195800333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.67822329200135,504.6867140000031,506.18341329199757,506.17606570800126,,,,,,,,503.6109464999972,503.61638195800333,504.11677887500264,504.11677887500264,504.19194887499907,504.19194887499907,504.19194887499907,504.6780696249989,right,1,1.059106457993039,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
30,0,right,3,3,0,,,,,100,right,1,0.9541061250056373,None,,,,,,,,,,,,,,0,3,3,3,,,,,506.18341329199757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.14472625000053,507.1531956250037,508.6511805420014,508.6431615830006,,,,,,,,506.17770604199904,506.18341329199757,506.67498941699887,506.67498941699887,506.74749750000046,506.74749750000046,506.74749750000046,507.14460620799946,right,1,0.9541061250056373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-30,69,left,4,4,0,,,,,0,left,1,0.9521853330006707,None,,,,,,,,,,,,,,0,4,4,4,,,,,508.6511805420014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.6112212500011,509.61964250000165,511.1168952080043,511.109555832998,,,,,,,,508.64535066700046,508.6511805420014,509.14162424999813,509.14162424999813,509.21544325000286,509.21544325000286,509.21544325000286,509.61104416700255,left,1,0.9521853330006707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
30,69,right,5,5,0,,,,,0,right,1,0.955305125004088,None,,,,,,,,,,,,,,0,5,5,5,,,,,511.1168952080043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.078058250001,512.0863903330028,513.5843377080018,513.576223707998,,,,,,,,511.1112159999975,511.1168952080043,511.6085991670043,511.6085991670043,511.6823812500006,511.6823812500006,511.6823812500006,512.0779106670016,right,1,0.955305125004088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.5764182920029,513.5843377080018,513.5843377080018,570.6792607500029,space,57.08806995899795,None,,,,,,,,,,,,,,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
0,-15.0,,0,0,0,,,,,,,,,,c+0,negs,100,right,1.1075657080000383,None,None,,,,,,,,,,,0,0,0,583,570.7384505829978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.7321915830034,570.7384505829978,571.1795781670007,571.1795781670007,571.2495094580008,571.2495094580008,571.8524240000042,right,1.1075657080000383,None,571.8525844579999,571.8526665829995,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-6,-15.0,,1,1,0,,,,,,,,,,c-6,negs,100,right,2.467099749999761,None,None,,,,,,,,,,,0,1,1,399,571.8632115830042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.8548990420022,571.8632115830042,572.3536301670028,572.3536301670028,572.427783500003,572.427783500003,574.3343636670033,right,2.467099749999761,None,574.3344718750013,574.3345163330014,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
2,15.0,,2,2,0,,,,,,,,,,c+2,poss,100,left,1.2677985000045737,None,None,,,,,,,,,,,0,2,2,160,574.3447515419975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.3365032500005,574.3447515419975,574.8273192499983,574.8273192499983,574.8997436670033,574.8997436670033,575.6180349580027,left,1.2677985000045737,None,575.6181373750005,575.6181803330037,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-4,-15.0,,3,3,0,,,,,,,,,,c-4,negs,100,right,1.1838867909973487,None,None,,,,,,,,,,,0,3,3,493,575.6441971669992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.6201956250006,575.6441971669992,576.1195193329986,576.1195193329986,576.1947007080016,576.1947007080016,576.8311205830032,right,1.1838867909973487,None,576.8313037920016,576.8313706670015,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
1,0.0,,4,4,0,,,,,,,,,,c+1,noss,0,left,1.2730665409981157,None,None,,,,,,,,,,,0,4,4,846,576.8423298330017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.8339913750024,576.8423298330017,577.3274715829975,577.3274715829975,577.3997756250028,577.3997756250028,578.1200387080025,left,1.2730665409981157,None,578.1201739579992,578.1202278749988,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
4,0.0,,5,5,0,,,,,,,,,,c+4,noss,0,right,1.1843829579956946,None,None,,,,,,,,,,,0,5,5,974,578.1304976669999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.122404624999,578.1304976669999,578.6206377080016,578.6206377080016,578.6946257079981,578.6946257079981,579.3189791250043,right,1.1843829579956946,None,579.3190916250023,579.3191346250023,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-6,-15.0,,6,6,0,,,,,,,,,,c-6,negs,100,right,1.318644792001578,None,None,,,,,,,,,,,0,6,6,421,579.3300019169983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.3211000829979,579.3300019169983,579.8207004170035,579.8207004170035,579.8949790420011,579.8949790420011,580.653036583004,right,1.318644792001578,None,580.6531885829972,580.6532440419978,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-8,-15.0,,7,7,0,,,,,,,,,,c-8,negs,100,left,1.2434560420006164,None,None,,,,,,,,,,,0,7,7,343,580.6637028330006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.6553820420013,580.6637028330006,581.1526385830002,581.1526385830002,581.2280631250032,581.2280631250032,581.9133429580033,left,1.2434560420006164,None,581.9134520829975,581.9134952500026,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-2,-15.0,,8,8,0,,,,,,,,,,c-2,negs,100,right,1.090951958001824,None,None,,,,,,,,,,,0,8,8,526,581.9239807920021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.9157692500012,581.9239807920021,582.4111061250005,582.4111061250005,582.4835424999983,582.4835424999983,583.0188111669995,right,1.090951958001824,None,583.018944083,583.0189996670015,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-8,-15.0,,9,9,0,,,,,,,,,,c-8,negs,100,left,1.1351495839990093,None,None,,,,,,,,,,,0,9,9,379,583.044443083003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.021118333003,583.044443083003,583.5199715830022,583.5199715830022,583.5949435830044,583.5949435830044,584.1868752500013,left,1.1351495839990093,None,584.1870083750036,584.1870625829979,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
4,0.0,,10,10,0,,,,,,,,,,c+4,noss,0,right,0.9977440830043633,None,None,,,,,,,,,,,0,10,10,1005,584.1973714580017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.1891942919974,584.1973714580017,584.6874236250005,584.6874236250005,584.7615065420032,584.7615065420032,585.1980209579997,right,0.9977440830043633,None,585.1981756250025,585.198235625001,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-2,0.0,,11,11,0,,,,,,,,,,c-2,noss,0,left,1.0964176669949666,None,None,,,,,,,,,,,0,11,11,730,585.2088966250012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.2005795829973,585.2088966250012,585.6944608749982,585.6944608749982,585.7664980420013,585.7664980420013,586.3138640420002,left,1.0964176669949666,None,586.3140014169985,586.3140579169994,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-2,-15.0,,12,12,0,,,,,,,,,,c-2,negs,100,right,1.0835044170016772,None,None,,,,,,,,,,,0,12,12,547,586.3240710000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.3161529580029,586.3240710000027,586.8101230000029,586.8101230000029,586.883436958,586.883436958,587.4135784579994,right,1.0835044170016772,None,587.4136888330031,587.4137334999978,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
1,0.0,,13,13,0,,,,,,,,,,c+1,noss,0,left,1.17160366600001,None,None,,,,,,,,,,,0,13,13,864,587.4236319580014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.415676083001,587.4236319580014,587.9111031670036,587.9111031670036,587.9833248330033,587.9833248330033,588.597843208001,left,1.17160366600001,None,588.5980164170032,588.5980727499991,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
6,15.0,,14,14,0,,,,,,,,,,c+6,poss,100,right,1.1132795410012477,None,None,,,,,,,,,,,0,14,14,236,588.6088676250001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.6007257500023,588.6088676250001,589.0945415419992,589.0945415419992,589.1666259580015,589.1666259580015,589.7307889580043,right,1.1132795410012477,None,589.7309257919987,589.7309811250016,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
2,15.0,,15,15,0,,,,,,,,,,c+2,poss,100,left,1.3976267079997342,None,None,,,,,,,,,,,0,15,15,131,589.7416007920037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.7335030419999,589.7416007920037,590.2279065000039,590.2279065000039,590.3014734579992,590.3014734579992,591.1471184170005,left,1.3976267079997342,None,591.1472589170007,591.1473135420019,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
4,0.0,,16,16,0,,,,,,,,,,c+4,noss,0,right,0.9382597920048283,None,None,,,,,,,,,,,0,16,16,966,591.1574977499986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.1494098330004,591.1574977499986,591.6446547079977,591.6446547079977,591.7169037080021,591.7169037080021,592.1066281250023,right,0.9382597920048283,None,592.1067346249984,592.106778292,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
0,15.0,,17,17,0,,,,,,,,,,c+0,poss,100,left,1.1171339169959538,None,None,,,,,,,,,,,0,17,17,82,592.1136408329985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.1087211670019,592.1136408329985,592.6034067080036,592.6034067080036,592.6786523330011,592.6786523330011,593.2356611249998,left,1.1171339169959538,None,593.2357843330028,593.2358297500032,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
2,-15.0,,18,18,0,,,,,,,,,,c+2,negs,100,right,1.1017904580003233,None,None,,,,,,,,,,,0,18,18,636,593.261481708003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593.2377814170031,593.261481708003,593.737683542,593.737683542,593.8118197080039,593.8118197080039,594.3706884170024,right,1.1017904580003233,None,594.3708289999995,594.3708882499996,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
2,0.0,,19,19,0,,,,,,,,,,c+2,noss,0,right,1.3953499580020434,None,None,,,,,,,,,,,0,19,19,910,594.3809582079994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.3730647499979,594.3809582079994,594.8709426249989,594.8709426249989,594.9452237919977,594.9452237919977,595.7809710420042,right,1.3953499580020434,None,595.7811067500006,595.7811617080006,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-2,-15.0,,20,20,0,,,,,,,,,,c-2,negs,100,right,1.2499942499998724,None,None,,,,,,,,,,,0,20,20,555,595.7912670829974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.7831501670007,595.7912670829974,596.2781451249975,596.2781451249975,596.3509449580015,596.3509449580015,597.0467515830023,right,1.2499942499998724,None,597.0468598330044,597.0469038329975,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
0,15.0,,21,21,0,,,,,,,,,,c+0,poss,100,left,1.2579801669999142,None,None,,,,,,,,,,,0,21,21,97,597.0570002500026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.0488413330022,597.0570002500026,597.5448927500038,597.5448927500038,597.6176137080038,597.6176137080038,598.3208759580011,left,1.2579801669999142,None,598.320990166998,598.321033375003,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-2,15.0,,22,22,0,,,,,,,,,,c-2,poss,100,left,1.1854685840007733,None,None,,,,,,,,,,,0,22,22,25,598.3312255830024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.3229996669979,598.3312255830024,598.8206899580036,598.8206899580036,598.8955009999991,598.8955009999991,599.520694167004,left,1.1854685840007733,None,599.5208269170034,599.5208802080015,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
0,15.0,,23,23,0,,,,,,,,,,c+0,poss,100,left,1.3319485409956542,None,None,,,,,,,,,,,0,23,23,76,599.5310645420032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.5231525830022,599.5310645420032,600.0208162499985,600.0208162499985,600.0953867080025,600.0953867080025,600.8692722080013,left,1.3319485409956542,None,600.8694119580032,600.869469833,None,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
