center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
30,0,right,3,3,0,,,,,100,right,1,1.0414672089973465,None,,,,,,,,,,,,,,0,3,3,3,,,,,35.622536041002604,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.66671791599947,36.67568937499891,38.16524449999997,38.17349895799998,,,,,,,,35.616704874999414,35.622536041002604,36.11394820800342,36.11394820800342,36.18743499999982,36.18743499999982,36.18743499999982,36.666568166001525,right,1,1.0414672089973465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-30,69,left,4,4,0,,,,,0,left,1,0.9778431669983547,None,,,,,,,,,,,,,,0,4,4,4,,,,,38.17349895799998,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.15595962500083,39.1642890410003,40.648569750002935,40.656025000003865,,,,,,,,38.16760379100015,38.17349895799998,38.664019208001264,38.664019208001264,38.737104500003625,38.737104500003625,38.737104500003625,39.155842291002045,left,1,0.9778431669983547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
30,69,right,5,5,0,,,,,0,right,1,1.0254100000020117,None,,,,,,,,,,,,,,0,5,5,5,,,,,40.656025000003865,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.684571416000836,41.69344049999927,43.181840958000976,43.19037520800339,,,,,,,,40.65022999999928,40.656025000003865,41.15609108300123,41.15609108300123,41.23126274999959,41.23126274999959,41.23126274999959,41.684371540999564,right,1,1.0254100000020117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.18204008300381,43.19037520800339,43.19037520800339,48.89967862499907,space,5.7055357080025715,None,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
3.666666666666667,15.0,,0,0,0,,,,,,,,,,p1,poss,100,left,1.1351821659991401,None,None,,,,,,,,,,,0,0,0,186,48.94822329100134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.94176612499723,48.94822329100134,49.40061083299952,49.40061083299952,49.46967754099751,49.46967754099751,50.08831099999952,left,1.1351821659991401,None,50.08841725000093,50.088464000000386,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-5.75,-15.0,,1,1,0,,,,,,,,,,m2,negs,100,left,0.9524425409981632,None,None,,,,,,,,,,,0,1,1,353,50.09840079100104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.09041499999876,50.09840079100104,50.581046332998085,50.581046332998085,50.65354116600065,50.65354116600065,51.055545707997226,left,0.9524425409981632,None,51.055650250003964,51.05569483299769,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-6.75,-15.0,,2,2,0,,,,,,,,,,m3,negs,100,left,1.3836007910067565,None,None,,,,,,,,,,,0,2,2,311,51.08124629100348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.05765750000137,51.08124629100348,51.556769707996864,51.556769707996864,51.63173054099752,51.63173054099752,52.467548540997086,left,1.3836007910067565,None,52.46772308299842,52.467775582998,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
3.666666666666667,15.0,,3,3,0,,,,,,,,,,p1,poss,100,left,1.0541018750009243,None,None,,,,,,,,,,,0,3,3,172,52.47855804100254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.47040958300204,52.47855804100254,52.964488582998456,52.964488582998456,53.036159707997285,53.036159707997285,53.54332941600296,left,1.0541018750009243,None,53.54343441600213,53.54348141600349,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
3.166666666666667,15.0,,4,4,0,,,,,,,,,,PSE,poss,100,left,1.6148225409997394,None,None,,,,,,,,,,,0,4,4,159,53.55024108300131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.545429999998305,53.55024108300131,54.040417958000035,54.040417958000035,54.11493416599842,54.11493416599842,55.16762087499956,left,1.6148225409997394,None,55.16775616600353,55.167813207997824,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
2.0,0.0,,5,5,0,,,,,,,,,,p3,noss,0,right,1.4499640830035787,None,None,,,,,,,,,,,0,5,5,699,55.1784999579977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1701793750035,55.1784999579977,55.66361491599673,55.66361491599673,55.73770499999955,55.73770499999955,56.63409033299831,right,1.4499640830035787,None,56.634223749999364,56.63427891599713,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-5.75,-15.0,,6,6,0,,,,,,,,,,m2,negs,100,left,1.287519750003412,None,None,,,,,,,,,,,0,6,6,329,56.644382708000194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.63640791599755,56.644382708000194,57.13124950000201,57.13124950000201,57.203651165997144,57.203651165997144,57.93463145800342,left,1.287519750003412,None,57.934793125001306,57.934854416002054,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
4.166666666666667,15.0,,7,7,0,,,,,,,,,,p2,poss,100,right,1.1943570419971365,None,None,,,,,,,,,,,0,7,7,225,57.945361416001106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.93723925000086,57.945361416001106,58.4313740409998,58.4313740409998,58.50464837499749,58.50464837499749,59.15070633299911,right,1.1943570419971365,None,59.150816499997745,59.15086375000101,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
2.0,0.0,,8,8,0,,,,,,,,,,p3,noss,0,right,1.1710546250033076,None,None,,,,,,,,,,,0,8,8,680,59.16081229100382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.152823458003695,59.16081229100382,59.64805887499824,59.64805887499824,59.72015808300057,59.72015808300057,60.3344717910004,right,1.1710546250033076,None,60.334606290998636,60.33466241599672,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
3.166666666666667,15.0,,9,9,0,,,,,,,,,,PSE,poss,100,right,2.3775988329944084,None,None,,,,,,,,,,,0,9,9,123,60.34500291600125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.3368866660021,60.34500291600125,60.83139191599912,60.83139191599912,60.90428954100207,60.90428954100207,62.73393554100039,right,2.3775988329944084,None,62.73407574999874,62.73413366600289,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-3.75,-15.0,,10,10,0,,,,,,,,,,p2,negs,100,right,1.8437179579996155,None,None,,,,,,,,,,,0,10,10,484,62.74430800000118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.736264582999866,62.74430800000118,63.231502041002386,63.231502041002386,63.303913249998004,63.303913249998004,64.59923687500122,right,1.8437179579996155,None,64.59935620800388,64.59940050000296,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-4.25,-15.0,,11,11,0,,,,,,,,,,p1,negs,100,right,1.0758745839993935,None,None,,,,,,,,,,,0,11,11,454,64.60671483300393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.60133233299712,64.60671483300393,65.09049133300141,65.09049133300141,65.16519620799954,65.16519620799954,65.69313466599851,right,1.0758745839993935,None,65.6932372079973,65.69328125000175,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-1.0,0.0,,12,12,0,,,,,,,,,,m2,noss,0,right,1.271418124997581,None,None,,,,,,,,,,,0,12,12,581,65.70095583300281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.69518229099776,65.70095583300281,66.19039741600136,66.19039741600136,66.26545287499903,66.26545287499903,66.9844311659981,right,1.271418124997581,None,66.98456904100021,66.98462629099959,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-5.25,-15.0,,13,13,0,,,,,,,,,,m1,negs,100,right,1.0214832499987097,None,None,,,,,,,,,,,0,13,13,373,66.99472737500037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.98671920799825,66.99472737500037,67.4816749160018,67.4816749160018,67.55312045800383,67.55312045800383,68.02691195799707,right,1.0214832499987097,None,68.02701558300032,68.02705991599942,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-6.75,-15.0,,14,14,0,,,,,,,,,,m3,negs,100,right,0.9919914159982,None,None,,,,,,,,,,,0,14,14,302,68.03449083300075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.02897179099818,68.03449083300075,68.52498424999794,68.52498424999794,68.59893358300178,68.59893358300178,69.0342980830028,right,0.9919914159982,None,69.03443129100197,69.03448645800381,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-6.75,-15.0,,15,15,0,,,,,,,,,,m3,negs,100,left,1.1255090409977129,None,None,,,,,,,,,,,0,15,15,287,69.04504008300137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0369408330007,69.04504008300137,69.53099595799722,69.53099595799722,69.60484166599781,69.60484166599781,70.17370720799954,left,1.1255090409977129,None,70.17385520799871,70.17391250000219,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
1.166666666666667,15.0,,16,16,0,,,,,,,,,,m3,poss,100,right,1.381891541997902,None,None,,,,,,,,,,,0,16,16,37,70.18425470800139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.1760573749998,70.18425470800139,70.67398987500201,70.67398987500201,70.74898954100354,70.74898954100354,71.5691261250031,right,1.381891541997902,None,71.56929866599967,71.56935762499779,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
2.166666666666667,15.0,,17,17,0,,,,,,,,,,m2,poss,100,right,1.5127398750046268,None,None,,,,,,,,,,,0,17,17,71,71.57966379100253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.57145883300109,71.57966379100253,72.06517079100013,72.06517079100013,72.13782558299863,72.13782558299863,73.10102741599985,right,1.5127398750046268,None,73.10116041600122,73.10121741599869,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
4.166666666666667,15.0,,18,18,0,,,,,,,,,,p2,poss,100,right,1.2999836249946384,None,None,,,,,,,,,,,0,18,18,232,73.11146995799936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.10347500000353,73.11146995799936,73.59846679100156,73.59846679100156,73.67075362500327,73.67075362500327,74.41791608300264,right,1.2999836249946384,None,74.41802112499863,74.41806499999802,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
1.0,0.0,,19,19,0,,,,,,,,,,p2,noss,0,right,1.1497465829961584,None,None,,,,,,,,,,,0,19,19,671,74.42791716600186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4200337910006,74.42791716600186,74.91533691599761,74.91533691599761,74.98749908299942,74.98749908299942,75.58469441600027,right,1.1497465829961584,None,75.58482504099811,75.58488079100061,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
5.166666666666667,15.0,,20,20,0,,,,,,,,,,p3,poss,100,right,1.3092487910034833,None,None,,,,,,,,,,,0,20,20,256,75.5949511660001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.58693208300247,75.5949511660001,76.0819384159986,76.0819384159986,76.15434795799956,76.15434795799956,76.90725087500323,right,1.3092487910034833,None,76.90738516599959,76.90744100000302,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-0.5,0.0,,21,21,0,,,,,,,,,,m1,noss,0,left,1.0984137919949717,None,None,,,,,,,,,,,0,21,21,600,76.91801783299888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.90967600000295,76.91801783299888,77.40736762499728,77.40736762499728,77.48245866600337,77.48245866600337,78.01886745799857,left,1.0984137919949717,None,78.01898824999807,78.01903512499848,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
3.666666666666667,15.0,,22,22,0,,,,,,,,,,p1,poss,100,right,1.3771601670014206,None,None,,,,,,,,,,,0,22,22,188,78.02872158300306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.02109354099957,78.02872158300306,78.51537966600154,78.51537966600154,78.58743050000339,78.58743050000339,79.41673720799736,right,1.3771601670014206,None,79.4168499160005,79.41689479100023,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-4.25,-15.0,,23,23,0,,,,,,,,,,p1,negs,100,left,1.1831388329956098,None,None,,,,,,,,,,,0,23,23,467,79.42367058299715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.41886474999774,79.42367058299715,79.90763920800237,79.90763920800237,79.98269570800039,79.98269570800039,80.61828445800347,left,1.1831388329956098,None,80.61842250000336,80.61848020800244,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-3.75,-15.0,,24,24,0,,,,,,,,,,p2,negs,100,left,1.3376073749968782,None,None,,,,,,,,,,,0,24,24,501,80.62881862500217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.62078374999692,80.62881862500217,81.11550629100384,81.11550629100384,81.18753387500328,81.18753387500328,81.96895187500195,left,1.3376073749968782,None,81.96906308300095,81.96911625000212,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
2.666666666666667,15.0,,25,25,0,,,,,,,,,,m1,poss,100,left,1.0340652919985587,None,None,,,,,,,,,,,0,25,25,108,81.97914620800293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.97113829100272,81.97914620800293,82.46543404099793,82.46543404099793,82.53734420800174,82.53734420800174,83.01868437499797,left,1.0340652919985587,None,83.01883533300133,83.01889691600081,None,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
