center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
30,60,period,2,2,0,,,,,100,0,period,1,0.9710424999939278,None,,,,,,,,,,,,,,0,2,2,2,,,,,96.5081092910259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.49809850001475,96.5081092910259,96.99091912503354,96.99091912503354,96.99091912503354,97.06458341603866,97.06458341603866,97.06458341603866,97.06458341603866,97.48346466600196,period,1,0.9710424999939278,None,97.48358295799699,97.49317941605113,98.99106904101791,98.98223433300154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
30,0,period,3,3,0,,,,,100,0,period,1,1.0126905830111355,None,,,,,,,,,,,,,,0,3,3,3,,,,,98.99106904101791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.98393800004851,98.99106904101791,99.4843602500041,99.4843602500041,99.4843602500041,99.55813054100145,99.55813054100145,99.55813054100145,99.55813054100145,100.01009625004372,period,1,1.0126905830111355,None,100.01021333300741,100.01933604100486,101.51573370804545,101.50881595804822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-30,69,z,4,4,0,,,,,0,100,z,1,0.9274510419927537,None,,,,,,,,,,,,,,0,4,4,4,,,,,101.51573370804545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.51043866603868,101.51573370804545,102.00770112499595,102.00770112499595,102.00770112499595,102.08107391605154,102.08107391605154,102.08107391605154,102.08107391605154,102.4491924160393,z,1,0.9274510419927537,None,102.44930883304914,102.45795162505237,103.95081566600129,103.94254933303455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
30,69,period,5,5,0,,,,,0,100,period,1,0.8297163750394247,None,,,,,,,,,,,,,,0,5,5,5,,,,,103.95081566600129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.94503375003114,103.95081566600129,104.45021650003036,104.45021650003036,104.45021650003036,104.52448387502227,104.52448387502227,104.52448387502227,104.52448387502227,104.78274087503087,period,1,0.8297163750394247,None,104.78286758303875,104.79201737500262,106.28437787503935,106.27567470801296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.27585225005168,106.28437787503935,106.28437787503935,162.35208337503718,space,56.06353266700171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
8,15.0,,0,0,0,,,,,100,0,,,,,c+8,poss,1.0,z,2.215010290965438,None,None,,,,,,,,,,,0,0,0,232,162.48723170801532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.48044695804128,162.48723170801532,163.35730837500887,163.35730837500887,163.35730837500887,163.4320861250162,163.4320861250162,163.4320861250162,164.71272729104385,z,2.215010290965438,None,164.71285604103468,164.7129165410297,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-4,-15.0,,1,1,0,,,,,100,0,,,,,c-4,negs,0.75,z,1.588434666977264,None,None,,,,,,,,,,,0,1,1,355,164.72340633301064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.71510995802237,164.72340633301064,165.46015454101143,165.46015454101143,165.46015454101143,165.53278770804172,165.53278770804172,165.53278770804172,166.32420550001552,z,1.588434666977264,None,166.3243150000344,166.32436045800569,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
4,15.0,,2,2,0,,,,,100,0,,,,,c+4,poss,1.25,period,1.6370079169864766,None,None,,,,,,,,,,,0,2,2,167,166.3309959580074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.32647208304843,166.3309959580074,167.5697371660499,167.5697371660499,167.5697371660499,167.64411533303792,167.64411533303792,167.64411533303792,167.97941429103957,period,1.6370079169864766,None,167.97954670799663,167.9796022910159,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-4,0.0,,3,3,0,,,,,0,100,,,,,c-4,noss,1.25,z,1.7134688750375062,None,None,,,,,,,,,,,0,3,3,538,167.9903615830117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.98175350000383,167.9903615830117,169.22706141602248,169.22706141602248,169.22706141602248,169.29948750004405,169.29948750004405,169.29948750004405,169.71286287502153,z,1.7134688750375062,None,169.71299641602673,169.7130514580058,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
4,15.0,,4,4,0,,,,,100,0,,,,,c+4,poss,1.25,z,1.7070095000090078,None,None,,,,,,,,,,,0,4,4,162,169.72394533304032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.71531887503807,169.72394533304032,170.95927158300765,170.95927158300765,170.95927158300765,171.0323194580269,171.0323194580269,171.0323194580269,171.43608962500002,z,1.7070095000090078,None,171.43619404104538,171.43623849999858,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,0.0,,5,5,0,,,,,0,100,,,,,c-2,noss,0.75,z,1.2416058750241064,None,None,,,,,,,,,,,0,5,5,565,171.4466791250161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.43823825003346,171.4466791250161,172.18677670799661,172.18677670799661,172.18677670799661,172.26084562501637,172.26084562501637,172.26084562501637,172.6963251249981,z,1.2416058750241064,None,172.6964547910029,172.69651066605002,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
4,15.0,,6,6,0,,,,,100,0,,,,,c+4,poss,0.75,z,1.156534833018668,None,None,,,,,,,,,,,0,6,6,146,172.70767933304887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.69906862505013,172.70767933304887,173.4438113750075,173.4438113750075,173.4438113750075,173.51545658300165,173.51545658300165,173.51545658300165,173.86811387503985,z,1.156534833018668,None,173.86824691604124,173.86830370803364,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
0,-15.0,,7,7,0,,,,,100,0,,,,,c+0,negs,1.25,period,1.9980637920089066,None,None,,,,,,,,,,,0,7,7,453,173.87956087500788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.870514750015,173.87956087500788,175.11951825005235,175.11951825005235,175.11951825005235,175.19436600001063,175.19436600001063,175.19436600001063,175.88015162502415,period,1.9980637920089066,None,175.88028833304998,175.8803447910468,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
8,15.0,,8,8,0,,,,,100,0,,,,,c+8,poss,0.75,period,1.2572587500326335,None,None,,,,,,,,,,,0,8,8,228,175.89158862503245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.88289475004422,175.89158862503245,176.62738137500128,176.62738137500128,176.62738137500128,176.69956275000004,176.69956275000004,176.69956275000004,177.1530728750513,period,1.2572587500326335,None,177.15322350000497,177.1532879160368,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
0,0.0,,9,9,0,,,,,0,100,,,,,c+0,noss,0.5,z,0.9157648750115186,None,None,,,,,,,,,,,0,9,9,588,177.16396420804085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.15566575003322,177.16396420804085,177.6532678329968,177.6532678329968,177.6532678329968,177.72779654100304,177.72779654100304,177.72779654100304,178.0851455410011,z,0.9157648750115186,None,178.08524908300024,178.08529245801037,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
4,15.0,,10,10,0,,,,,100,0,,,,,c+4,poss,1.25,period,1.641764207975939,None,None,,,,,,,,,,,0,10,10,164,178.09632729104487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0872668750235,178.09632729104487,179.33645066601457,179.33645066601457,179.33645066601457,179.4109175830381,179.4109175830381,179.4109175830381,179.74698945804266,period,1.641764207975939,None,179.74719350005034,179.7472884580493,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
2,-15.0,,11,11,0,,,,,100,0,,,,,c+2,negs,1.25,z,1.5836809590109624,None,None,,,,,,,,,,,0,11,11,500,179.7588437499944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.7497300830437,179.7588437499944,180.99397729104385,180.99397729104385,180.99397729104385,181.06604500004323,181.06604500004323,181.06604500004323,181.34677633299725,z,1.5836809590109624,None,181.3469457080355,181.34700129099656,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
8,15.0,,12,12,0,,,,,100,0,,,,,c+8,poss,1.25,period,1.7187304169638082,None,None,,,,,,,,,,,0,12,12,246,181.35914687503828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.34992962505203,181.35914687503828,182.59403054101858,182.59403054101858,182.59403054101858,182.66629512503278,182.66629512503278,182.66629512503278,183.08081741601927,period,1.7187304169638082,None,183.0809659580118,183.08102320804028,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
6,15.0,,13,13,0,,,,,100,0,,,,,c+6,poss,1.0,period,1.8036362499697134,None,None,,,,,,,,,,,0,13,13,198,183.09208891604794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0832985410234,183.09208891604794,184.0774232080439,184.0774232080439,184.0774232080439,184.14974358299514,184.14974358299514,184.14974358299514,184.90200408303645,period,1.8036362499697134,None,184.9021087080473,184.9021527080331,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
4,0.0,,14,14,0,,,,,0,100,,,,,c+4,noss,1.0,period,1.7936481249635108,None,None,,,,,,,,,,,0,14,14,694,184.9133655000478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.90416408301098,184.9133655000478,185.90402729104972,185.90402729104972,185.90402729104972,185.9782665410312,185.9782665410312,185.9782665410312,186.71336975001032,period,1.7936481249635108,None,186.71348129102262,186.71352537500206,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-4,-15.0,,15,15,0,,,,,100,0,,,,,c-4,negs,1.0,period,1.4778936250368133,None,None,,,,,,,,,,,0,15,15,363,186.7242746660486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.71552029100712,186.7242746660486,187.71093979099533,187.71093979099533,187.71093979099533,187.78296991600655,187.78296991600655,187.78296991600655,188.2140955410432,period,1.4778936250368133,None,188.21426895802142,188.214335208002,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
2,15.0,,16,16,0,,,,,100,0,,,,,c+2,poss,1.0,z,1.7582443749997765,None,None,,,,,,,,,,,0,16,16,114,188.22601262503304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.21677979105152,188.22601262503304,189.2110751660075,189.2110751660075,189.2110751660075,189.2843226660043,189.2843226660043,189.2843226660043,189.99717612500535,z,1.7582443749997765,None,189.9973080000491,189.99736262502847,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
2,15.0,,17,17,0,,,,,100,0,,,,,c+2,poss,1.25,z,1.9709730420145206,None,None,,,,,,,,,,,0,17,17,116,190.00885579100577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.99990970804356,190.00885579100577,191.2444407910225,191.2444407910225,191.2444407910225,191.31683787499787,191.31683787499787,191.31683787499787,191.98718662501778,z,1.9709730420145206,None,191.98734258301556,191.98742279101862,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
0,-15.0,,18,18,0,,,,,100,0,,,,,c+0,negs,0.5,period,1.0182241660077125,None,None,,,,,,,,,,,0,18,18,428,191.99807216599584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.98986737499945,191.99807216599584,192.4871736660134,192.4871736660134,192.4871736660134,192.56780612503644,192.56780612503644,192.56780612503644,193.02013912500115,period,1.0182241660077125,None,193.0202720410307,193.02032912505092,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,15.0,,19,19,0,,,,,100,0,,,,,c-2,poss,1.0,z,1.2560885830316693,None,None,,,,,,,,,,,0,19,19,22,193.03103875002125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0226532079978,193.03103875002125,194.0201620000298,194.0201620000298,194.0201620000298,194.095199125004,194.095199125004,194.095199125004,194.29765941604273,z,1.2560885830316693,None,194.29783312504878,194.29790237505222,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-4,0.0,,20,20,0,,,,,0,100,,,,,c-4,noss,1.0,period,1.248387209023349,None,None,,,,,,,,,,,0,20,20,535,194.30995424999855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.30126620800002,194.30995424999855,195.2937956250389,195.2937956250389,195.2937956250389,195.36683500005165,195.36683500005165,195.36683500005165,195.56373408302898,period,1.248387209023349,None,195.5638998330105,195.5639559160336,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
