center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
4,0.0,,97,97,0,,,,,0,100,,,,,c+4,noss,0.5,period,0.9745062500005588,None,None,,,,,,,,,,,0,97,97,680,300.80117808400246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.7925705000016,300.80117808400246,301.2869132920023,301.2869132920023,301.2869132920023,301.35889950000274,301.35889950000274,301.35889950000274,301.77931649999664,period,0.9745062500005588,None,301.7794490419983,301.7794959169987,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-2,0.0,,98,98,0,,,,,0,100,,,,,c-2,noss,0.75,z,1.4565213329988183,None,None,,,,,,,,,,,0,98,98,561,301.79007087500213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.7815131250027,301.79007087500213,302.52914800000144,302.52914800000144,302.52914800000144,302.6041449999975,302.6041449999975,302.6041449999975,303.25650133399904,z,1.4565213329988183,None,303.2566855420009,303.25673766699765,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-2,0.0,,99,99,0,,,,,0,100,,,,,c-2,noss,1.25,z,1.9358067089997348,None,None,,,,,,,,,,,0,99,99,586,303.26847941699816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.25995591699757,303.26847941699816,304.50370895899687,304.50370895899687,304.50370895899687,304.576253291998,304.576253291998,304.576253291998,305.2067883749987,z,1.9358067089997348,None,305.2069327919962,305.20699112500006,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
0,15.0,,100,100,0,,,,,100,0,,,,,c+0,poss,1.0,z,1.752377417004027,None,None,,,,,,,,,,,0,100,100,73,305.21855608400074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.20960158399976,305.21855608400074,306.20381587500015,306.20381587500015,306.20381587500015,306.27731450000283,306.27731450000283,306.27731450000283,306.9738951249965,z,1.752377417004027,None,306.9740662089971,306.97413183400204,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
2,-15.0,,101,101,0,,,,,100,0,,,,,c+2,negs,0.5,period,0.9411695419985335,None,None,,,,,,,,,,,0,101,101,466,306.98619812499965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.97684212499735,306.98619812499965,307.470439292003,307.470439292003,307.470439292003,307.54191466700286,307.54191466700286,307.54191466700286,307.9389070420002,period,0.9411695419985335,None,307.9390116669965,307.9390685420003,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
4,0.0,,102,102,0,,,,,0,100,,,,,c+4,noss,1.0,period,1.4580145419968176,None,None,,,,,,,,,,,0,102,102,702,307.94642670900066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.9410807919994,307.94642670900066,308.93712845900154,308.93712845900154,308.93712845900154,309.0100719589973,309.0100719589973,309.0100719589973,309.4074727920015,period,1.4580145419968176,None,309.40761733399995,309.40767287500057,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
6,15.0,,103,103,0,,,,,100,0,,,,,c+6,poss,0.75,period,1.153808666000259,None,None,,,,,,,,,,,0,103,103,188,309.4192350000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.41003291700326,309.4192350000012,310.1539390839971,310.1539390839971,310.1539390839971,310.22611345900077,310.22611345900077,310.22611345900077,310.5781060840018,period,1.153808666000259,None,310.5782366670028,310.57829229199706,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
4,15.0,,104,104,0,,,,,100,0,,,,,c+4,poss,1.0,period,1.9417893749996438,None,None,,,,,,,,,,,0,104,104,153,310.5894397919983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.58036800000264,310.5894397919983,311.569789125002,311.569789125002,311.569789125002,311.6427926249962,311.6427926249962,311.6427926249962,312.5401171670019,period,1.9417893749996438,None,312.54024766699877,312.5403032920003,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-2,0.0,,105,105,0,,,,,0,100,,,,,c-2,noss,0.5,z,1.063837332992989,None,None,,,,,,,,,,,0,105,105,551,312.5513119169991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.5425043340001,312.5513119169991,313.0372172089992,313.0372172089992,313.0372172089992,313.10966441700293,313.10966441700293,313.10966441700293,313.62345483399986,z,1.063837332992989,None,313.62359037499846,313.6236461669978,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-8,-15.0,,106,106,0,,,,,100,0,,,,,c-8,negs,0.5,z,1.1763477499989676,None,None,,,,,,,,,,,0,106,106,254,313.63508687500143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.6262818339965,313.63508687500143,314.1207002500014,314.1207002500014,314.1207002500014,314.1933571670015,314.1933571670015,314.1933571670015,314.82350758399843,z,1.1763477499989676,None,314.82365637499606,314.8237133750008,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
2,15.0,,107,107,0,,,,,100,0,,,,,c+2,poss,1.0,period,1.8366416670032777,None,None,,,,,,,,,,,0,107,107,106,314.83459883400064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.8259319589997,314.83459883400064,315.82068199999776,315.82068199999776,315.82068199999776,315.89444129200274,315.89444129200274,315.89444129200274,316.6738218340033,period,1.8366416670032777,None,316.67399266699795,316.674049250003,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-2,0.0,,108,108,0,,,,,0,100,,,,,c-2,noss,0.75,z,1.4727034579991596,None,None,,,,,,,,,,,0,108,108,560,316.68625508400146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.6768752499993,316.68625508400146,317.42080629200063,317.42080629200063,317.42080629200063,317.4930058750033,317.4930058750033,317.4930058750033,318.1618400419975,z,1.4727034579991596,None,318.16194008399907,318.1619816250022,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-4,0.0,,109,109,0,,,,,0,100,,,,,c-4,noss,0.5,z,1.0253151670040097,None,None,,,,,,,,,,,0,109,109,508,318.17308633399807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.1639990420008,318.17308633399807,318.6534124589962,318.6534124589962,318.6534124589962,318.7262854169967,318.7262854169967,318.7262854169967,319.2072311669981,z,1.0253151670040097,None,319.2073870000022,319.207449542002,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
2,0.0,,110,110,0,,,,,0,100,,,,,c+2,noss,0.75,period,1.3213391669996781,None,None,,,,,,,,,,,0,110,110,644,319.2188537499969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.2098363339974,319.2188537499969,319.9542890840021,319.9542890840021,319.9542890840021,320.0265447499987,320.0265447499987,320.0265447499987,320.54656624999916,period,1.3213391669996781,None,320.5467016670009,320.54675750000024,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
2,0.0,,111,111,0,,,,,0,100,,,,,c+2,noss,1.25,period,1.932440458003839,None,None,,,,,,,,,,,0,111,111,668,320.55731212499813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.5489689590031,320.55731212499813,321.7977370419976,321.7977370419976,321.7977370419976,321.8714278339976,321.8714278339976,321.8714278339976,322.4962272089979,period,1.932440458003839,None,322.4963722090033,322.4964283750014,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-4,0.0,,112,112,0,,,,,0,100,,,,,c-4,noss,1.25,z,1.7483177920003072,None,None,,,,,,,,,,,0,112,112,539,322.5072185839963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.4984594999987,322.5072185839963,323.74766166700283,323.74766166700283,323.74766166700283,323.82048795899755,323.82048795899755,323.82048795899755,324.2587544170019,z,1.7483177920003072,None,324.2588990840013,324.25895487499656,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
4,15.0,,113,113,0,,,,,100,0,,,,,c+4,poss,1.25,period,2.1032368750020396,None,None,,,,,,,,,,,0,113,113,164,324.270299374999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.2616079590007,324.270299374999,325.5044867089964,325.5044867089964,325.5044867089964,325.5765458750029,325.5765458750029,325.5765458750029,326.3799180420028,period,2.1032368750020396,None,326.380025708997,326.38007045900304,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
4,0.0,,114,114,0,,,,,0,100,,,,,c+4,noss,1.25,period,1.8476172080045217,None,None,,,,,,,,,,,0,114,114,708,326.39077908400213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.38212929199653,326.39077908400213,327.6293247499998,327.6293247499998,327.6293247499998,327.7051680000004,327.7051680000004,327.7051680000004,328.2410398339998,period,1.8476172080045217,None,328.24120258400217,328.24125845899835,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
0,15.0,,115,115,0,,,,,100,0,,,,,c+0,poss,1.0,z,1.5553795829982846,None,None,,,,,,,,,,,0,115,115,71,328.2532345419968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.24392991700006,328.2532345419968,329.23793658400245,329.23793658400245,329.23793658400245,329.31150937500206,329.31150937500206,329.31150937500206,329.8127929999973,z,1.5553795829982846,None,329.8129262090006,329.8129835419968,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-6,-15.0,,116,116,0,,,,,100,0,,,,,c-6,negs,1.0,z,1.6839730409992626,None,None,,,,,,,,,,,0,116,116,324,329.82399754200014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.8150563750023,329.82399754200014,330.814460374997,330.814460374997,330.814460374997,330.88851229199645,330.88851229199645,330.88851229199645,331.51354458399874,z,1.6839730409992626,None,331.513645250001,331.5136894590032,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
2,15.0,,117,117,0,,,,,100,0,,,,,c+2,poss,0.75,z,2.004335292003816,None,None,,,,,,,,,,,0,117,117,100,331.5244664999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.51567587500176,331.5244664999991,332.2636881669969,332.2636881669969,332.2636881669969,332.3383655840007,332.3383655840007,332.3383655840007,333.5412637499976,z,2.004335292003816,None,333.5413917499973,333.5414454999991,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-4,0.0,,118,118,0,,,,,0,100,,,,,c-4,noss,1.25,z,1.760969542003295,None,None,,,,,,,,,,,0,118,118,542,333.5529629590019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.54403195899795,333.5529629590019,334.78806587500003,334.78806587500003,334.78806587500003,334.86056695899606,334.86056695899606,334.86056695899606,335.3243412919983,z,1.760969542003295,None,335.32451137500175,335.32456458399975,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-8,-15.0,,119,119,0,,,,,100,0,,,,,c-8,negs,1.25,z,1.8155821660038782,None,None,,,,,,,,,,,0,119,119,285,335.33658720899984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.3272904589976,335.33658720899984,336.57155112500186,336.57155112500186,336.57155112500186,336.6441115839989,336.6441115839989,336.6441115839989,337.1581607499975,z,1.8155821660038782,None,337.1583243339992,337.15840379199653,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-2,15.0,,120,120,0,,,,,100,0,,,,,c-2,poss,0.75,z,1.3537301670003217,None,None,,,,,,,,,,,0,120,120,14,337.17070712499844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.1617203749993,337.17070712499844,337.9048772919996,337.9048772919996,337.9048772919996,337.97730633399624,337.97730633399624,337.97730633399624,338.5310714590014,z,1.3537301670003217,None,338.5312367919978,338.5312934169997,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
2,15.0,,121,121,0,,,,,100,0,,,,,c+2,poss,1.0,z,1.631256750006287,None,None,,,,,,,,,,,0,121,121,108,338.5417522919961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.53355558399926,338.5417522919961,339.5318780840025,339.5318780840025,339.5318780840025,339.60565629199846,339.60565629199846,339.60565629199846,340.1758919589993,z,1.631256750006287,None,340.1760261669988,340.17608204200224,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
4,0.0,,122,122,0,,,,,0,100,,,,,c+4,noss,0.5,period,1.0868269999991753,None,None,,,,,,,,,,,0,122,122,682,340.1869698340015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.1784170000028,340.1869698340015,340.67101987500064,340.67101987500064,340.67101987500064,340.7447604589979,340.7447604589979,340.7447604589979,341.2802091249978,period,1.0868269999991753,None,341.28033395900275,341.28038720900076,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
0,0.0,,123,123,0,,,,,0,100,,,,,c+0,noss,0.5,z,1.676135791996785,None,None,,,,,,,,,,,0,123,123,593,341.2912651669976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.2824669170004,341.2912651669976,341.77998637499695,341.77998637499695,341.77998637499695,341.8555308340001,341.8555308340001,341.8555308340001,342.9752508340025,z,1.676135791996785,None,342.9754067499962,342.97548516700044,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-4,-15.0,,124,124,0,,,,,100,0,,,,,c-4,negs,1.0,z,1.5460676250004326,None,None,,,,,,,,,,,0,124,124,364,342.98703762499645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.9781271250031,342.98703762499645,343.971723542003,343.971723542003,343.971723542003,344.0441068750006,344.0441068750006,344.0441068750006,344.5417750839988,z,1.5460676250004326,None,344.5419529170031,344.54202195900143,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-4,-15.0,,125,125,0,,,,,100,0,,,,,c-4,negs,0.5,z,1.0519544589988072,None,None,,,,,,,,,,,0,125,125,338,344.554085374999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.54515420900134,344.554085374999,345.0381670420029,345.0381670420029,345.0381670420029,345.1106016670019,345.1106016670019,345.1106016670019,345.6087222499991,z,1.0519544589988072,None,345.6088937500026,345.60895162499946,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
8,15.0,,126,126,0,,,,,100,0,,,,,c+8,poss,1.0,period,1.5090671660000226,None,None,,,,,,,,,,,0,126,126,241,345.62103016699984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.61167333400226,345.62103016699984,346.60459520899894,346.60459520899894,346.60459520899894,346.67726416700316,346.67726416700316,346.67726416700316,347.1416181250024,period,1.5090671660000226,None,347.1418902919977,347.14198458399915,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
2,15.0,,127,127,0,,,,,100,0,,,,,c+2,poss,1.0,period,2.789553458998853,None,None,,,,,,,,,,,0,127,127,115,347.1537191669995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.1443938750017,347.1537191669995,348.1386759169982,348.1386759169982,348.1386759169982,348.21094895900023,348.21094895900023,348.21094895900023,349.94719949999853,period,2.789553458998853,None,349.9473263339969,349.94738133400097,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
8,15.0,,128,128,0,,,,,100,0,,,,,c+8,poss,1.25,period,1.973505624999234,None,None,,,,,,,,,,,0,128,128,249,349.95813887500117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.94957075000275,349.95813887500117,351.1978017500005,351.1978017500005,351.1978017500005,351.27265216699743,351.27265216699743,351.27265216699743,351.9418565840024,period,1.973505624999234,None,351.9420117499976,351.94207229199674,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
4,15.0,,129,129,0,,,,,100,0,,,,,c+4,poss,1.0,period,1.5864933750053751,None,None,,,,,,,,,,,0,129,129,157,351.9532032920033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.944452083997,351.9532032920033,352.93877958400117,352.93877958400117,352.93877958400117,353.0108455419977,353.0108455419977,353.0108455419977,353.54245850000007,period,1.5864933750053751,None,353.5426234999977,353.5426816670006,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
4,15.0,,130,130,0,,,,,100,0,,,,,c+4,poss,1.0,period,1.5341955420008162,None,None,,,,,,,,,,,0,130,130,151,353.5547827499977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.5454345839971,353.5547827499977,354.5388782919981,354.5388782919981,354.5388782919981,354.61203858399676,354.61203858399676,354.61203858399676,355.09226595899963,period,1.5341955420008162,None,355.0924121670032,355.0924721670017,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
0,0.0,,131,131,0,,,,,0,100,,,,,c+0,noss,0.5,z,1.0762255000008736,None,None,,,,,,,,,,,0,131,131,588,355.10331787500036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.0946469170012,355.10331787500036,355.5888820420005,355.5888820420005,355.5888820420005,355.6619281250023,355.6619281250023,355.6619281250023,356.1917901670022,z,1.0762255000008736,None,356.1919562920011,356.19201274999796,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
8,15.0,,132,132,0,,,,,100,0,,,,,c+8,poss,0.75,period,1.2568528749980032,None,None,,,,,,,,,,,0,132,132,228,356.204172042002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.1947716249997,356.204172042002,356.9379932919983,356.9379932919983,356.9379932919983,357.01167454200186,357.01167454200186,357.01167454200186,357.4636800840017,period,1.2568528749980032,None,357.46382537500176,357.46388241699606,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
2,0.0,,133,133,0,,,,,0,100,,,,,c+2,noss,1.0,period,2.2663851249963045,None,None,,,,,,,,,,,0,133,133,652,357.47498983400146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.4659765000033,357.47498983400146,358.46506908399897,358.46506908399897,358.46506908399897,358.5395735839993,358.5395735839993,358.5395735839993,359.74814804200287,period,2.2663851249963045,None,359.7482592919987,359.7483061250023,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-8,-15.0,,134,134,0,,,,,100,0,,,,,c-8,negs,0.5,z,1.0147680410009343,None,None,,,,,,,,,,,0,134,134,253,359.75863004200073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.7503370839986,359.75863004200073,360.248419042,360.248419042,360.248419042,360.32295241700194,360.32295241700194,360.32295241700194,360.77624754200224,z,1.0147680410009343,None,360.7763961669989,360.77645295899856,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
4,0.0,,135,135,0,,,,,0,100,,,,,c+4,noss,1.25,period,1.7401039579999633,None,None,,,,,,,,,,,0,135,135,710,360.78783712499717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.7787054169967,360.78783712499717,362.0224578749985,362.0224578749985,362.0224578749985,362.09426237500156,362.09426237500156,362.09426237500156,362.5306228749978,period,1.7401039579999633,None,362.5307512090003,362.5308080839968,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-8,-15.0,,136,136,0,,,,,100,0,,,,,c-8,negs,0.75,z,1.2863582909994875,None,None,,,,,,,,,,,0,136,136,271,362.5418887920023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.53289683399635,362.5418887920023,363.28136658400035,363.28136658400035,363.28136658400035,363.35633137499826,363.35633137499826,363.35633137499826,363.8312299169993,z,1.2863582909994875,None,363.8313538750008,363.83141058399633,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
