center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
-2,15.0,,2,2,0,,,,,,,,,,c-2,poss,100,0.5,z,0.9855402920074994,None,None,,,,,,,,,,,0,2,2,3,1340.9155283330037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340.9066095000017,1340.9155283330037,1341.4009380000061,1341.4009380000061,1341.4731992919988,1341.4731992919988,1341.9037898750103,z,0.9855402920074994,None,1341.903970875006,1341.9040246250079,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
-4,-15.0,,3,3,0,,,,,,,,,,c-4,negs,100,0.5,z,1.1566734579973854,None,None,,,,,,,,,,,0,3,3,292,1341.9155495830055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341.906612375009,1341.9155495830055,1342.4009935829963,1342.4009935829963,1342.473205333008,1342.473205333008,1343.0754967079993,z,1.1566734579973854,None,1343.0756169170054,1343.0756578330038,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
6,15.0,,4,4,0,,,,,,,,,,c+6,poss,100,0.75,period,1.3446806669962825,None,None,,,,,,,,,,,0,4,4,154,1343.0866511670029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343.0775983750063,1343.0866511670029,1343.826918042003,1343.826918042003,1343.9014547080005,1343.9014547080005,1344.4370064579998,period,1.3446806669962825,None,1344.4371406249993,1344.4371897079982,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
0,15.0,,5,5,0,,,,,,,,,,c+0,poss,100,1.25,z,1.7324543340073433,None,None,,,,,,,,,,,0,5,5,71,1344.4477622080012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.4392240830057,1344.4477622080012,1345.6843294170103,1345.6843294170103,1345.7571658750094,1345.7571658750094,1346.1869446670025,z,1.7324543340073433,None,1346.1870599999966,1346.1871014170029,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
2,15.0,,6,6,0,,,,,,,,,,c+2,poss,100,1.0,z,1.441228041992872,None,None,,,,,,,,,,,0,6,6,91,1346.1979028750065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346.1890610830014,1346.1979028750065,1347.1843192079978,1347.1843192079978,1347.2567409580079,1347.2567409580079,1347.6436888330063,z,1.441228041992872,None,1347.6438231670036,1347.6438770420064,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
2,15.0,,7,7,0,,,,,,,,,,c+2,poss,100,0.5,z,1.1260406660003355,None,None,,,,,,,,,,,0,7,7,80,1347.654183999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347.6461696670012,1347.654183999999,1348.1433322500088,1348.1433322500088,1348.2182790829975,1348.2182790829975,1348.7870868330065,z,1.1260406660003355,None,1348.7872242500016,1348.7872756669967,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
1,0.0,,8,8,0,,,,,,,,,,c+1,noss,0,1.0,period,1.4169807089929236,None,None,,,,,,,,,,,0,8,8,558,1348.798103042005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348.7893397080043,1348.798103042005,1349.7845787920087,1349.7845787920087,1349.8567101250082,1349.8567101250082,1350.2204853750009,period,1.4169807089929236,None,1350.2206151249993,1350.220670583003,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
-2,0.0,,9,9,0,,,,,,,,,,c-2,noss,0,0.5,z,1.053837832994759,None,None,,,,,,,,,,,0,9,9,474,1350.2315172500093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.222650374999,1350.2315172500093,1350.7177499579993,1350.7177499579993,1350.7912869580032,1350.7912869580032,1351.2883085830108,z,1.053837832994759,None,1351.288466500002,1351.2885206670035,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
2,-15.0,,10,10,0,,,,,,,,,,c+2,negs,100,0.75,period,1.1817467079963535,None,None,,,,,,,,,,,0,10,10,406,1351.29967987501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351.2908967080002,1351.29967987501,1352.0337848330091,1352.0337848330091,1352.106479167007,1352.106479167007,1352.4881053330027,period,1.1817467079963535,None,1352.4882515000063,1352.4883054579986,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
-2,15.0,,11,11,0,,,,,,,,,,c-2,poss,100,0.75,z,1.1468864579946967,None,None,,,,,,,,,,,0,11,11,9,1352.4998972080066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352.4908982920024,1352.4998972080066,1353.2347725419968,1353.2347725419968,1353.307335999998,1353.307335999998,1353.6540839579975,z,1.1468864579946967,None,1353.654225958002,1353.6542779169977,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
-2,-15.0,,12,12,0,,,,,,,,,,c-2,negs,100,0.5,period,1.1215528339962475,None,None,,,,,,,,,,,0,12,12,328,1353.6652392920078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353.6566429170052,1353.6652392920078,1354.1511994580069,1354.1511994580069,1354.2246424170007,1354.2246424170007,1354.7936409579997,period,1.1215528339962475,None,1354.7937717500026,1354.7938240420044,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
2,-15.0,,13,13,0,,,,,,,,,,c+2,negs,100,1.0,period,1.5399003339989576,None,None,,,,,,,,,,,0,13,13,417,1354.8043219999963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354.7961751249968,1354.8043219999963,1355.7944971249963,1355.7944971249963,1355.8687428749981,1355.8687428749981,1356.3539627080027,period,1.5399003339989576,None,1356.354077666998,1356.3541184170026,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
0,-15.0,,14,14,0,,,,,,,,,,c+0,negs,100,0.75,period,1.2097300829918822,None,None,,,,,,,,,,,0,14,14,375,1356.3645476670063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356.356145458005,1356.3645476670063,1357.1013262080087,1357.1013262080087,1357.1744809579977,1357.1744809579977,1357.577508167,period,1.2097300829918822,None,1357.57766429201,1357.5777181250014,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
8,15.0,,15,15,0,,,,,,,,,,c+8,poss,100,0.5,period,0.9468794169952162,None,None,,,,,,,,,,,0,15,15,182,1357.5880483329966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357.5797419169976,1357.5880483329966,1358.0769843750022,1358.0769843750022,1358.1519476250105,1358.1519476250105,1358.5375158750103,period,0.9468794169952162,None,1358.5376959170098,1358.5377500000031,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
-2,-15.0,,16,16,0,,,,,,,,,,c-2,negs,100,0.5,period,0.9321362089976901,None,None,,,,,,,,,,,0,16,16,327,1358.5492544169974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1358.5403320000041,1358.5492544169974,1359.0348535000085,1359.0348535000085,1359.108200750008,1359.108200750008,1359.487851458005,period,0.9321362089976901,None,1359.4880231670104,1359.4881017080043,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
4,0.0,,17,17,0,,,,,,,,,,c+4,noss,0,0.5,period,0.8525469160085777,None,None,,,,,,,,,,,0,17,17,616,1359.499651457998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359.4906899170019,1359.499651457998,1359.9847597920016,1359.9847597920016,1360.0564496669977,1360.0564496669977,1360.3550283750083,period,0.8525469160085777,None,1360.3552026249963,1360.355251957997,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
0,15.0,,18,18,0,,,,,,,,,,c+0,poss,100,0.5,period,0.9048194579954725,None,None,,,,,,,,,,,0,18,18,41,1360.3671544579993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360.3581594999996,1360.3671544579993,1360.8516111670033,1360.8516111670033,1360.923576458008,1360.923576458008,1361.2767785000033,period,0.9048194579954725,None,1361.2769136670104,1361.2769694580056,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
4,15.0,,19,19,0,,,,,,,,,,c+4,poss,100,1.0,period,1.5031775000097696,None,None,,,,,,,,,,,0,19,19,129,1361.2878832499991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361.279046249998,1361.2878832499991,1362.2779604170064,1362.2779604170064,1362.35207454201,1362.35207454201,1362.79380137501,period,1.5031775000097696,None,1362.7939094169997,1362.7939522079978,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
2,-15.0,,20,20,0,,,,,,,,,,c+2,negs,100,0.75,period,1.2145182079984806,None,None,,,,,,,,,,,0,20,20,409,1362.8046435419965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.7959082919988,1362.8046435419965,1363.543747667005,1363.543747667005,1363.6188564170006,1363.6188564170006,1364.0220416670054,period,1.2145182079984806,None,1364.0221986250108,1364.0222595000087,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
4,15.0,,21,21,0,,,,,,,,,,c+4,poss,100,1.0,period,1.9135592920065392,None,None,,,,,,,,,,,0,21,21,128,1364.0335732079984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1364.024575500007,1364.0335732079984,1365.0174170829996,1365.0174170829996,1365.091220333008,1365.091220333008,1365.954529708004,period,1.9135592920065392,None,1365.9547114580055,1365.954764167007,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
