center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,expStart,
30,60,right,2,2,0,,,,,100,right,1,1.0106947080930695,None,,,,,0,2,2,2,26.32414824992884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.341243874980137,27.349206707905978,28.840065874974243,28.83431083301548,,,,,,,,26.318887165980414,26.32414824992884,26.32414824992884,26.808202999993227,26.808202999993227,26.81683774990961,26.889923415961675,26.884035707917064,26.884035707917064,27.341182540985756,right,1,1.0106947080930695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
30,0,right,3,3,0,,,,,100,right,1,1.194656915962696,None,,,,,0,3,3,3,28.840065874974243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.044091040967032,30.049227999988943,31.539800165919587,31.53477762499824,,,,,,,,28.834843165939674,28.840065874974243,28.840065874974243,29.341319374972954,29.341319374972954,29.333946999977343,29.417232624953613,29.417232624953613,29.417232624953613,30.04398445796687,right,1,1.194656915962696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
-30,69,left,4,4,0,,,,,0,left,1,1.0514416249934584,None,,,,,0,4,4,4,31.539800165919587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.60158808296546,32.608537790947594,34.10757799993735,34.10153816593811,,,,,,,,31.535304082906805,31.539800165919587,31.539800165919587,32.041495457990095,32.041495457990095,32.03393174998928,32.11662870796863,32.11662870796863,32.11662870796863,32.60148070799187,left,1,1.0514416249934584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
30,69,right,5,5,0,,,,,0,right,1,0.9337224999908358,None,,,,,0,5,5,5,34.10757799993735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.05152266600635,35.056224957923405,36.54964745801408,36.539987207972445,,,,,,,,34.10206737497356,34.10757799993735,34.10757799993735,34.591535457991995,34.591535457991995,34.599954208009876,34.67267308291048,34.66690420801751,34.66690420801751,35.0514630000107,right,1,0.9337224999908358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.54011858301237,36.54964745801408,36.54964745801408,38.897757040918805,space,2.337643124978058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
,,,,,,,,,,,,,,,,,,,,,,,39.03217962500639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,1,0,start,5,15,15,-15,39.02711362496484,39.03217962500639,39.03217962500639,39.39556570793502,39.39556570793502,39.47442470793612,39.47442470793612,39.47442470793612,39.52090674999636,40.66963849996682,1,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
,,,,,,,,,,,,,,,,,,,,,,,40.677732083015144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,1,1,start,5,-15,-15,15,40.67085308302194,40.677732083015144,40.677732083015144,41.16662087501027,41.16662087501027,41.239825665950775,41.239825665950775,41.239825665950775,41.17143612494692,41.96049991599284,0,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
,,,,,,,,,,,,,,,,,,,,,,,41.96599841595162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,1,2,start,5,-15,-15,-15,41.96145733294543,41.96599841595162,41.96599841595162,42.45774104096927,42.45774104096927,42.53315016592387,42.53315016592387,42.53315016592387,42.45774104096927,43.21890612493735,0,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
,,,,,,,,,,,,,,,,,,,,,,,43.22636241593864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,1,3,start,5,15,15,,43.2199220409384,43.22636241593864,43.22636241593864,43.71618970797863,43.71618970797863,43.788210041006096,43.788210041006096,43.788210041006096,43.722124582971446,44.274215165991336,1,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
,,,,,,,,,,,,,,,,,,,,,,,44.28236545796972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,1,4,start,5,15,15,15,44.27533079101704,44.28236545796972,44.28236545796972,44.77459791593719,44.77459791593719,44.84992433292791,44.84992433292791,44.84992433292791,44.77459791593719,45.635470665991306,1,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
,,,,,,,,,,,,,,,,,,,,,,,45.64299437496811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,1,5,start,5,-15,-15,,45.6364036250161,45.64299437496811,45.64299437496811,46.13313883298542,46.13313883298542,46.20667224994395,46.20667224994395,46.20667224994395,46.13807220791932,47.09165245795157,0,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
,,,,,,,,,,,,,,,,,,,,,,,47.09930604090914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,2,6,up,5,-10,-10,15,47.09265870798845,47.09930604090914,47.09930604090914,47.59101049997844,47.59101049997844,47.66712599992752,47.66712599992752,47.66712599992752,47.59101049997844,,,,,,,,,,
