center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,trial.stopped,trials.response,surround_angle,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
30,60,right,2,2,0,,,,,100,right,1,0.8344784580403939,None,,,,,0,2,2,2,,,,,42.77829145803116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.624663583002985,43.6316207080381,45.126332291984,45.1218349999981,,,,,,,,42.77333379199263,42.77829145803116,43.27080133301206,43.27080133301206,43.34289979201276,43.34289979201276,43.34289979201276,43.624562000040896,right,1,0.8344784580403939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
30,0,right,3,3,0,,,,,100,right,1,0.8533419580198824,None,,,,,0,3,3,3,,,,,45.126332291984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.990896375034936,45.998861207976006,47.49475683295168,47.489226249977946,,,,,,,,45.12244691699743,45.126332291984,45.621436666930094,45.621436666930094,45.69250787503552,45.69250787503552,45.69250787503552,45.99065670801792,right,1,0.8533419580198824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
-30,69,left,4,4,0,,,,,0,left,1,0.8619070840068161,None,,,,,0,4,4,4,,,,,47.49475683295168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3626420419896,48.370436375029385,49.86080837494228,49.85573079204187,,,,,,,,47.489829541998915,47.49475683295168,47.98827245796565,47.98827245796565,48.06118566694204,48.06118566694204,48.06118566694204,48.36252079193946,left,1,0.8619070840068161,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
30,69,right,5,5,0,,,,,0,right,1,0.8120522910030559,None,,,,,0,5,5,5,,,,,49.86080837494228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.68181337497663,50.68712483299896,52.181593416957185,52.17256570793688,,,,,,,,49.856299333041534,49.86080837494228,50.36433487501927,50.36433487501927,50.43822333298158,50.43822333298158,50.43822333298158,50.68170574994292,right,1,0.8120522910030559,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.172761583002284,52.181593416957185,52.181593416957185,59.674488416989334,space,7.481227041920647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,59.82181808294263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,1,0,start,5,15,15,59.81508833297994,59.82181808294263,60.17136899998877,60.17136899998877,60.244852417032234,60.244852417032234,60.244852417032234,60.628290500026196,1,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,60.63716675003525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,1,1,start,5,-15,-15,60.62933737493586,60.63716675003525,61.121109707979485,61.121109707979485,61.19311279198155,61.19311279198155,61.20509008294903,61.49609937495552,0,30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,61.50454145797994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,1,2,start,5,15,15,61.497214082977735,61.50454145797994,61.99674704193603,61.99674704193603,62.07180520799011,62.07180520799011,62.07180520799011,62.37989187496714,1,-30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,62.387813332956284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,1,3,start,5,-15,-15,62.38104224996641,62.387813332956284,62.8798235419672,62.8798235419672,62.954991917009465,62.954991917009465,62.954991917009465,63.2571399169974,0,-30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,63.26491425000131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,1,4,start,5,15,15,63.25822887499817,63.26491425000131,63.75471862498671,63.75471862498671,63.82547074998729,63.82547074998729,63.82547074998729,64.11121358303353,1,30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,64.12042533303611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,1,5,start,5,-15,-15,64.1122473749565,64.12042533303611,64.61273395793978,64.61273395793978,64.6887191249989,64.6887191249989,64.6887191249989,64.97354491695296,0,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,64.9812049169559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,2,6,down,5,10,10,64.97469362500124,64.9812049169559,65.47093054198194,65.47093054198194,65.54390012496151,65.54390012496151,65.54390012496151,65.7951194170164,1,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,65.80372716696002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,2,7,up,5,-10,-10,65.79614762496203,65.80372716696002,66.29641112498939,66.29641112498939,66.37163262499962,66.37163262499962,66.37163262499962,66.67287137499079,0,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,66.68014624994248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,2,8,up,5,-10,-10,66.67381808301434,66.68014624994248,67.17176283302251,67.17176283302251,67.24475504201837,67.24475504201837,67.24475504201837,67.6274029170163,0,30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,67.63733275001869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,2,9,down,5,10,10,67.62838158302475,67.63733275001869,68.12057770800311,68.12057770800311,68.19332633295562,68.19332633295562,68.20483279193286,68.5406489999732,1,-30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,68.54878587496933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,2,10,up,5,-10,-10,68.54222383303568,68.54878587496933,69.0381050419528,69.0381050419528,69.1105477079982,69.1105477079982,69.1105477079982,69.71036595792975,0,-30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,69.72119204199407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,2,11,down,5,10,10,69.71132866700646,69.72119204199407,70.20393658301327,70.20393658301327,70.2772272080183,70.2772272080183,70.28830783301964,70.5799632499693,1,30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,70.58778608299326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,3,12,up,5,-5,-5,70.58117762499023,70.58778608299326,71.07715720799752,71.07715720799752,71.15926624997519,71.15926624997519,71.15926624997519,71.49521862494294,0,30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,71.50365895801224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,3,13,down,5,5,5,71.49637258297298,71.50365895801224,71.99425679200795,71.99425679200795,72.07145537494216,72.07145537494216,72.07145537494216,72.40753770794254,1,-30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,72.41614270803984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,3,14,down,5,5,5,72.40937204193324,72.41614270803984,72.903932416928,72.903932416928,72.97678675001953,72.97678675001953,72.97678675001953,73.49843391694594,1,30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,73.50384437502362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,3,15,down,5,5,5,73.49948250001762,73.50384437502362,73.99646679195575,73.99646679195575,74.07140258303843,74.07140258303843,74.07733787503093,74.42356587504037,1,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,74.43111870798748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,3,16,up,5,-5,-5,74.42457845795434,74.43111870798748,74.92150816693902,74.92150816693902,74.99428491701838,74.99428491701838,74.99428491701838,75.34058129193727,0,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,75.34855091699865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,3,17,up,5,-5,-5,75.34198762499727,75.34855091699865,75.83722145797219,75.83722145797219,75.91043312498368,75.91043312498368,75.91043312498368,76.4768096669577,0,-30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,76.4879107499728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,4,18,down,5,0,0,76.47760433296207,76.4879107499728,76.9704380419571,76.9704380419571,77.04445779195521,77.04445779195521,77.0548896669643,77.41198062500916,1,-30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,77.42049879196566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,4,19,up,5,0,0,77.41301162494346,77.42049879196566,77.90382316696923,77.90382316696923,77.97711529198568,77.97711529198568,77.98812612495385,78.37399695802014,1,-30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,78.38333774998318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,4,20,down,5,0,0,78.37588620802853,78.38333774998318,78.87138837494422,78.87138837494422,78.94429008301813,78.94429008301813,78.94429008301813,79.99971150001511,1,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,80.00510791700799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,4,21,up,5,0,0,80.00078683299944,80.00510791700799,80.49751745793037,80.49751745793037,80.57792099996004,80.57792099996004,80.57792099996004,81.04524158302229,0,30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,81.05384641699493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,4,22,up,5,0,0,81.04631162493024,81.05384641699493,81.54436658299528,81.54436658299528,81.62126149993856,81.62126149993856,81.62126149993856,82.0650708329631,1,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,82.07066700002179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,4,23,down,5,0,0,82.06615879200399,82.07066700002179,82.56397799996193,82.56397799996193,82.63812179199886,82.63812179199886,82.63812179199886,83.15714687493164,0,30,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
