center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,text_3.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.response,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
30,60,right,2,2,0,,,,,100,right,1,0.82943825,None,,,,,0,2,2,2,,,,,54.12757208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.95907429,54.97110729,56.45540762,56.4609445,,,,,,,,54.122842,54.12757208,54.62748642,54.62748642,54.70442429,54.70442429,54.70442429,54.95898712,right,1,0.82943825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
30,0,right,3,3,0,,,,,100,right,1,0.890225459,None,,,,,0,3,3,3,,,,,56.4609445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.35641029,57.3635195,58.85518554,58.8617715,,,,,,,,56.45606808,56.4609445,56.95446763,56.95446763,57.02757283,57.02757283,57.02757283,57.356303,right,1,0.890225459,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
-30,69,left,4,4,0,,,,,0,left,1,1.155102666,None,,,,,0,4,4,4,,,,,58.8617715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.02295075,60.02995875,61.52214488,61.52720233,,,,,,,,58.85578287,58.8617715,59.3534205,59.3534205,59.42858279,59.42858279,59.42858279,60.02284037,left,1,1.155102666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
30,69,right,5,5,0,,,,,0,right,1,0.853865416,None,,,,,0,5,5,5,,,,,61.52720233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.39011796,62.39768667,63.8881315,63.89473671,,,,,,,,61.52265308,61.52720233,62.02103867,62.02103867,62.09385,62.09385,62.09385,62.38994354,right,1,0.853865416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.88829242,63.89473671,63.89473671,65.31221479,space,1.41137775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,65.45060317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,1,0,start,5,15,15,30,65.44479962,65.45060317,65.81476671,65.81476671,65.88758983,65.89362633,65.89362633,66.47800846,1,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,66.48660658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,1,1,start,5,-15,-15,,66.47912583,66.48660658,66.97948158,66.97948158,67.05497783,67.05497783,67.05497783,67.6394505,0,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,67.64759967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,1,2,start,5,15,15,-30,67.6405215,67.64759967,68.13694154,68.13694154,68.21082029,68.21082029,68.21082029,68.81129638,1,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,68.82017867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,1,3,start,5,-15,-15,30,68.81253079,68.82017867,69.30333796,69.30333796,69.38822129,69.37706908,69.37706908,69.81210125,0,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,69.82051146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,1,4,start,5,15,15,,69.81335792,69.82051146,70.31319567,70.31319567,70.38820529,70.38820529,70.38820529,70.74010729,1,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,70.74870058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,1,5,start,5,-15,-15,-30,70.74163575,70.74870058,71.23665242,71.23665242,71.31082054,71.31082054,71.31082054,71.57253396,0,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,71.579803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,2,6,down,5,10,10,,71.57355692,71.579803,72.07139154,72.07139154,72.14425292,72.14425292,72.14425292,72.46220062,1,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,72.47042042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,2,7,up,5,-10,-10,,72.46326962,72.47042042,72.96135708,72.96135708,73.03807163,73.03807163,73.03807163,73.30680875,0,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,73.315365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,2,8,down,5,10,10,30,73.30848333,73.315365,73.80431158,73.80431158,73.87452025,73.87452025,73.87452025,74.19052887,1,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,74.19902533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,2,9,up,5,-10,-10,-30,74.19229787,74.19902533,74.6880245,74.6880245,74.75957454,74.75957454,74.75957454,75.00597121,0,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,75.01382521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,2,10,down,5,10,10,-30,75.00698692,75.01382521,75.50435417,75.50435417,75.57724071,75.57724071,75.57724071,75.87244346,1,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,75.87999842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,2,11,up,5,-10,-10,30,75.87338925,75.87999842,76.36345571,76.36345571,76.44442892,76.438149,76.438149,76.72873108,0,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,76.73658071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,3,12,down,5,5,5,-30,76.72972458,76.73658071,77.22943579,77.22943579,77.30376796,77.30376796,77.30376796,78.12339667,1,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,78.132227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,3,13,up,5,-5,-5,30,78.12520812,78.132227,78.62054725,78.62054725,78.69388821,78.69388821,78.69388821,79.02226667,0,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,79.02942104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,3,14,down,5,5,5,30,79.02308525,79.02942104,79.51991217,79.51991217,79.59401567,79.59401567,79.59401567,79.95591154,1,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,79.96357958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,3,15,down,5,5,5,,79.95686775,79.96357958,80.45344321,80.45344321,80.52491646,80.52491646,80.52491646,80.77254229,0,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,80.77820038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,3,16,up,5,-5,-5,,80.773063,80.77820038,81.27026246,81.27026246,81.34230521,81.34230521,81.34230521,81.75985567,0,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,81.77017404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,3,17,up,5,-5,-5,-30,81.76034737,81.77017404,82.25359392,82.25359392,82.33777196,82.32642079,82.32642079,83.08868154,0,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,83.09660383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,4,18,up,2,7,7,,83.089722,83.09660383,83.5786955,83.5786955,83.65886363,83.65458,83.65458,83.97239187,1,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,83.97949167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,4,19,up,5,0,0,30,83.97340596,83.97949167,84.47095783,84.47095783,84.54431754,84.54431754,84.54431754,84.93998929,0,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,84.94841304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,4,20,up,5,0,0,-30,84.94150846,84.94841304,85.43694354,85.43694354,85.51089508,85.51089508,85.51089508,85.85582088,1,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,85.8624715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,4,21,up,5,0,0,,85.85679321,85.8624715,86.35330729,86.35330729,86.42792212,86.42792212,86.42792212,87.39784375,1,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,87.40329008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,4,22,down,5,0,0,30,87.39886783,87.40329008,87.89472558,87.89472558,87.97683413,87.97095638,87.97095638,88.47938012,0,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,88.48687196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,4,23,down,5,0,0,-30,88.48038525,88.48687196,88.97835917,88.97835917,89.05484667,89.05484667,89.05484667,89.41457658,1,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,89.42010938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,5,24,down,2,-2,-2,-30,89.41558529,89.42010938,89.91276525,89.91276525,89.99381708,89.98812421,89.98812421,90.77933883,1,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,90.78753704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,5,25,down,5,-5,-5,-30,90.78056933,90.78753704,91.27922767,91.27922767,91.35439246,91.35439246,91.35439246,91.86213271,0,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,91.86998333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,5,26,up,5,5,5,30,91.86312962,91.86998333,92.36394417,92.36394417,92.43808346,92.43808346,92.43808346,92.87251179,1,,,,,,,,,,,,,,,2418,1,2025-08-16_12h48.08.966,tilt_staircase,2024.2.4,None,2025-08-16 12h48.20.531530 -0700
