center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,text_14.started,trial.stopped,trials.response,surround_angle,participant,session,date,expName,psychopyVersion,frameRate,expStart,
30,0,right,3,3,0,,,,,space,0.12227854202501476,None,right,1,0.9527163340244442,None,,,,,0,3,3,3,14.386131959035993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3431223341031,15.352811584016308,15.352811584016308,15.476557625108398,,,,,,,,,,,14.376317250076681,14.386131959035993,14.386131959035993,14.87434658408165,14.87434658408165,14.87434658408165,14.95284179202281,14.95284179202281,14.95284179202281,15.343065042048693,right,1,0.9527163340244442,None,space,0.12227854202501476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.476654792088084,15.486151625053026,15.486151625053026,18.159741792012937,space,2.6694487909553573,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,18.26138687506318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,5,1,0,start,5,15,15,18.25707183405757,18.26138687506318,18.26138687506318,18.65970558405388,18.65970558405388,18.736021167016588,18.736021167016588,18.736021167016588,18.75749008404091,18.75749008404091,22.288869250100106,1,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,22.29407870909199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,1,1,start,5,-15,-15,22.29042516706977,22.29407870909199,22.29407870909199,22.785907084005885,22.785907084005885,22.857572334003635,22.857572334003635,22.857572334003635,22.79024945909623,22.88593704206869,24.492944166995585,0,30,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,24.502794959000312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,1,2,start,5,-15,-15,24.49447787506506,24.502794959000312,24.502794959000312,24.990969750098884,24.990969750098884,25.06932058406528,25.06932058406528,25.06932058406528,24.990969750098884,25.090581000084057,27.588645125040784,0,-30,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,27.593968167086132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,1,3,start,5,15,15,27.590212834067643,27.593968167086132,27.593968167086132,28.086142959073186,28.086142959073186,28.157248167088255,28.157248167088255,28.157248167088255,28.090836459072307,28.186089124996215,29.544184375088662,1,30,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,29.552720625069924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,1,4,start,5,-15,-15,29.545700375107117,29.552720625069924,29.552720625069924,30.040794042055495,30.040794042055495,30.119386709062383,30.119386709062383,30.119386709062383,30.040794042055495,30.140396125032566,31.338909334037453,0,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,31.344178459024988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,1,5,start,5,15,15,31.34047020901926,31.344178459024988,31.344178459024988,31.836116500082426,31.836116500082426,31.907152167055756,31.907152167055756,31.907152167055756,31.840620167087764,31.936127709108405,34.05982458405197,1,-30,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,34.06929183402099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,2,6,up,5,-10,-10,34.0613417919958,34.06929183402099,34.06929183402099,34.55773329210933,34.55773329210933,34.63611966709141,34.63611966709141,34.63611966709141,34.55773329210933,34.65724125003908,35.9762540840311,0,-30,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,35.98610229208134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,5,2,7,down,5,10,10,35.97768841707148,35.98610229208134,35.98610229208134,36.47439854207914,36.47439854207914,36.55274283408653,36.55274283408653,36.55274283408653,36.47439854207914,36.57389783405233,37.693603709107265,1,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,37.70271629199851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,2,8,up,5,-10,-10,37.69521745899692,37.70271629199851,37.70271629199851,38.19103654206265,38.19103654206265,38.26939804200083,38.26939804200083,38.26939804200083,38.19103654206265,38.290586709044874,40.122389167081565,0,30,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,40.128112417063676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,2,9,down,5,10,10,40.12403904204257,40.128112417063676,40.128112417063676,40.61942033399828,40.61942033399828,40.690843584015965,40.690843584015965,40.690843584015965,40.62404129200149,40.71928458404727,42.355374584090896,1,-30,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,42.3605902090203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,2,10,up,5,-10,-10,42.35689545900095,42.3605902090203,42.3605902090203,42.85258225002326,42.85258225002326,42.92372220905963,42.92372220905963,42.92372220905963,42.85715325002093,42.95270412508398,43.839054625015706,0,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,43.84455562499352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,2,11,down,5,10,10,43.84077354206238,43.84455562499352,43.84455562499352,44.33606191701256,44.33606191701256,44.407220625085756,44.407220625085756,44.407220625085756,44.34074954199605,44.43604095908813,46.2094825420063,1,30,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,46.21930970903486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,3,12,up,5,-5,-5,46.21095883403905,46.21930970903486,46.21930970903486,46.70745383400936,46.70745383400936,46.78612595901359,46.78612595901359,46.78612595901359,46.70745383400936,46.807082917075604,47.538943791994825,0,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,47.54423120908905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,3,13,down,5,5,5,47.540500250062905,47.54423120908905,47.54423120908905,48.03609458403662,48.03609458403662,48.10751620901283,48.10751620901283,48.10751620901283,48.041531125083566,48.13605304202065,49.15539633401204,1,30,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,49.16074583400041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,3,14,down,5,5,5,49.157019834034145,49.16074583400041,49.16074583400041,49.65273595904,49.65273595904,49.723825499997474,49.723825499997474,49.723825499997474,49.65744891704526,49.752696292009205,50.805430542095564,1,-30,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,50.81069950002711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,3,15,up,5,-5,-5,50.807040209067054,50.81069950002711,50.81069950002711,51.30269475001842,51.30269475001842,51.374436042038724,51.374436042038724,51.374436042038724,51.3073799170088,51.40255562507082,52.98978054209147,0,30,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,52.996387334074825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,5,3,16,down,5,5,5,52.991718667093664,52.996387334074825,52.996387334074825,53.48611729207914,53.48611729207914,53.558000792050734,53.558000792050734,53.558000792050734,53.49103883409407,53.58635279210284,54.22216462506913,1,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,54.22734079207294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,3,17,up,5,-5,-5,54.22370791702997,54.22734079207294,54.22734079207294,54.719370375038125,54.719370375038125,54.79071362502873,54.79071362502873,54.79071362502873,54.72398862510454,54.81934929208364,57.95524266699795,0,-30,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,57.960410625091754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,4,18,up,5,0,0,57.956774125108495,57.960410625091754,57.960410625091754,58.452573625021614,58.452573625021614,58.52354629209731,58.52354629209731,58.52354629209731,58.4570195840206,58.55265562504064,60.9058859590441,0,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,60.91201308404561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,4,19,up,5,0,0,60.90776612504851,60.91201308404561,60.91201308404561,61.40268933400512,61.40268933400512,61.474306209012866,61.474306209012866,61.474306209012866,61.40730191709008,61.50256725004874,64.38868850003928,0,30,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,64.39404550008476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,4,20,up,5,0,0,64.39029058406595,64.39404550008476,64.39404550008476,64.88599741703365,64.88599741703365,64.95679041708354,64.95679041708354,64.95679041708354,64.89060091704596,64.98587666708045,,,-30,,,,,,,,
