center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-30,69,left,4,4,0,,,,,0,left,1,0.9059552500257269,None,,,,,0,4,4,4,22.705070917028934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.61853058403358,23.622955417027697,25.117871333961375,25.121725625009276,,,,,,,,22.70141879201401,22.705070917028934,22.705070917028934,23.205081708962098,23.205081708962098,23.198791250004433,23.282093374989927,23.282093374989927,23.287829000037163,23.61845737497788,left,1,0.9059552500257269,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
30,69,right,5,5,0,,,,,0,right,1,0.8830724169965833,None,,,,,0,5,5,5,25.121725625009276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00793379195966,26.014467958942987,27.501166292000562,27.505587209016085,,,,,,,,25.11814958404284,25.121725625009276,25.121725625009276,25.615551208960824,25.615551208960824,25.615551208960824,25.688162709004246,25.688162709004246,25.688162709004246,26.0078533339547,right,1,0.8830724169965833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.501274417038076,27.505587209016085,27.505587209016085,28.374424875015393,space,0.8634177920175716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,28.473804792040028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,1,0,start,5,15,15,30,28.468881375039928,28.473804792040028,28.473804792040028,28.874391083954833,28.874391083954833,28.94847279204987,28.94847279204987,28.94847279204987,28.970221083960496,29.802725667017512,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,29.809111124952324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,5,1,1,start,5,15,15,,29.80345666699577,29.809111124952324,29.809111124952324,30.298797499970533,30.298797499970533,30.371606125030667,30.371606125030667,30.371606125030667,30.304376084008254,30.98512354202103,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,30.991364749963395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,1,2,start,5,15,15,-30,30.985734042013064,30.991364749963395,30.991364749963395,31.48207837494556,31.48207837494556,31.55468058399856,31.55468058399856,31.55468058399856,31.48778145899996,32.08500358404126,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,32.090882166987285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,1,3,start,5,-15,-15,-30,32.085589208989404,32.090882166987285,32.090882166987285,32.58171404199675,32.58171404199675,32.654893334023654,32.654893334023654,32.654893334023654,32.58703079202678,33.19101262500044,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,33.19775037502404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,1,4,start,5,-15,-15,,33.191626250045374,33.19775037502404,33.19775037502404,33.68880366696976,33.68880366696976,33.76538812497165,33.76538812497165,33.76538812497165,33.68880366696976,34.18524424999487,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,34.19051829201635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,1,5,start,5,-15,-15,30,34.185872709029354,34.19051829201635,34.19051829201635,34.68200416699983,34.68200416699983,34.75442995899357,34.75442995899357,34.75442995899357,34.68767683394253,35.23347533401102,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,35.23741845902987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,2,6,down,5,10,10,30,35.233869374962524,35.23741845902987,35.23741845902987,35.731221874943,35.731221874943,35.801955583970994,35.801955583970994,35.801955583970994,35.73557179199997,36.20173004199751,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,36.2065717499936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,2,7,up,5,-10,-10,30,36.20221737504471,36.2065717499936,36.2065717499936,36.69789483398199,36.69789483398199,36.768429000047036,36.768429000047036,36.768429000047036,36.70206958404742,37.1842457089806,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,37.18859929195605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,5,2,8,down,5,10,10,,37.18477591697592,37.18859929195605,37.18859929195605,37.68215883395169,37.68215883395169,37.752797084045596,37.752797084045596,37.752797084045596,37.68761883396655,38.152026709052734,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,38.15775970905088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,2,9,up,5,-10,-10,-30,38.15261791704688,38.15775970905088,38.15775970905088,38.64781504194252,38.64781504194252,38.719676584005356,38.719676584005356,38.719676584005356,38.65244233398698,39.072894042008556,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,39.08135495893657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,2,10,down,5,10,10,-30,39.073523166938685,39.08135495893657,39.08135495893657,39.57179654203355,39.57179654203355,39.64878787496127,39.64878787496127,39.64878787496127,39.57179654203355,40.006853958941065,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,40.014936625026166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,2,11,up,5,-10,-10,,40.007449791999534,40.014936625026166,40.014936625026166,40.50337562500499,40.50337562500499,40.581202000030316,40.581202000030316,40.58570916694589,40.50337562500499,40.951963084051386,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,40.95819879195187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,3,12,down,5,5,5,30,40.952643709024414,40.95819879195187,40.95819879195187,41.448752208962105,41.448752208962105,41.5214059590362,41.5214059590362,41.5214059590362,41.454528374946676,41.95540645904839,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,41.964838042040356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,3,13,up,5,-5,-5,,41.95592500001658,41.964838042040356,41.964838042040356,42.45507300004829,42.45507300004829,42.531996791949496,42.531996791949496,42.531996791949496,42.45507300004829,42.90034512500279,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,42.90449166693725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,3,14,up,5,-5,-5,-30,42.900946708978154,42.90449166693725,42.90449166693725,43.39880408404861,43.39880408404861,43.47143358399626,43.47143358399626,43.47143358399626,43.39880408404861,43.98506962496322,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,43.99118150002323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,5,3,15,down,5,5,5,,43.98567833402194,43.99118150002323,43.99118150002323,44.48169033403974,44.48169033403974,44.55448320903815,44.55448320903815,44.55448320903815,44.48728687502444,44.9407460000366,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,44.947815167019144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,3,16,down,5,5,5,-30,44.94133729196619,44.947815167019144,44.947815167019144,45.438320750021376,45.438320750021376,45.515417249989696,45.515417249989696,45.515417249989696,45.438320750021376,45.96826041699387,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,45.974237250047736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,3,17,up,5,-5,-5,30,45.968852458987385,45.974237250047736,45.974237250047736,46.465044333948754,46.465044333948754,46.53793583402876,46.53793583402876,46.53793583402876,46.47035029204562,46.9571881670272,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,46.96442470897455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,4,18,down,5,0,0,-30,46.95780854194891,46.96442470897455,46.96442470897455,47.455211041960865,47.455211041960865,47.53204641700722,47.53204641700722,47.53204641700722,47.455211041960865,47.96871983399615,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,47.97471870901063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,5,4,19,down,5,0,0,,47.96931008400861,47.97471870901063,47.97471870901063,48.46527187502943,48.46527187502943,48.53784420900047,48.53784420900047,48.53784420900047,48.47103191702627,51.12434608396143,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,51.13110754196532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,4,20,up,5,0,0,,51.124987874994986,51.13110754196532,51.13110754196532,51.62191162502859,51.62191162502859,51.69860200001858,51.69860200001858,51.69860200001858,51.62191162502859,52.388863374944776,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,52.39786845899653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,4,21,up,5,0,0,-30,52.38951066695154,52.39786845899653,52.39786845899653,52.881667291978374,52.881667291978374,52.9544684169814,52.9544684169814,52.965455166995525,52.887027416960336,53.407677666982636,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,53.4144927499583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,4,22,up,5,0,0,30,53.408320749993436,53.4144927499583,53.4144927499583,53.90524116693996,53.90524116693996,53.9820730839856,53.9820730839856,53.9820730839856,53.90524116693996,54.3910329999635,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,54.397754417033866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,4,23,down,5,0,0,30,54.39163800003007,54.397754417033866,54.397754417033866,54.88828041695524,54.88828041695524,54.965412292047404,54.965412292047404,54.965412292047404,54.88828041695524,55.42343033396173,0,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,55.431547416956164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,5,24,down,2,-2,-2,-30,55.424088625004515,55.431547416956164,55.431547416956164,55.92203495895956,55.92203495895956,55.99871004198212,55.99871004198212,55.99871004198212,55.92203495895956,56.43521649995819,1,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
