center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,text_3.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.response,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
30,60,right,2,2,0,,,,,100,right,1,0.8116310420446098,None,,,,,0,2,2,2,36.99886383290868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.81625716597773,37.824918582919054,39.31713466590736,39.31080508301966,,,,,,,,36.99358095799107,36.99886383290868,37.48483412491623,37.48483412491623,37.55995612498373,37.55995612498373,37.56611174996942,37.81613308296073,right,1,0.8116310420446098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
30,0,right,3,3,0,,,,,100,right,1,0.993418209021911,None,,,,,0,3,3,3,39.31713466590736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.321066165925004,40.32548337499611,41.81574254098814,41.810240499908105,,,,,,,,39.31141858291812,39.31713466590736,39.80817416601349,39.80817416601349,39.88195783295669,39.88195783295669,39.89303554093931,40.32095704099629,right,1,0.993418209021911,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
-30,69,left,4,4,0,,,,,0,left,1,0.8965684999711812,None,,,,,0,4,4,4,41.81574254098814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.71728658291977,42.725003083003685,44.215430165990256,44.21021370799281,,,,,,,,41.81083049997687,41.81574254098814,42.316918540978804,42.316918540978804,42.39260016591288,42.39260016591288,42.39859695790801,42.717171374941245,left,1,0.8965684999711812,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
30,69,right,5,5,0,,,,,0,right,1,0.7999219170305878,None,,,,,0,5,5,5,44.215430165990256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.01761362492107,45.0247427909635,46.517433624947444,46.51036574994214,,,,,,,,44.21067616599612,44.215430165990256,44.71531254099682,44.71531254099682,44.79179895797279,44.79179895797279,44.79179895797279,45.017484374926426,right,1,0.7999219170305878,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.51052591600455,46.517433624947444,46.517433624947444,47.10085674992297,space,0.580931167001836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,47.23068512498867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,1,0,start,5,15,15,30,47.22532995801885,47.23068512498867,47.60765854094643,47.60765854094643,47.67507687502075,47.67917204101104,47.67917204101104,48.06130158295855,1,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,48.06917287490796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,1,1,start,5,15,15,,48.06242799991742,48.06917287490796,48.558173915953375,48.558173915953375,48.632544290972874,48.632544290972874,48.632544290972874,49.26081854093354,1,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,49.267649707966484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,1,2,start,5,15,15,-30,49.26186745800078,49.267649707966484,49.75921299995389,49.75921299995389,49.83226612501312,49.83226612501312,49.83226612501312,50.3452744159149,1,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,50.35380908299703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,1,3,start,5,-15,-15,-30,50.3469805829227,50.35380908299703,50.84167458291631,50.84167458291631,50.91385024995543,50.91385024995543,50.91385024995543,51.328783624921925,0,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,51.33753595792223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,1,4,start,5,-15,-15,,51.33012112497818,51.33753595792223,51.82483991596382,51.82483991596382,51.8996245409362,51.8996245409362,51.8996245409362,52.25047799991444,0,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,52.25880591594614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,1,5,start,5,-15,-15,30,52.25153958296869,52.25880591594614,52.75151095795445,52.75151095795445,52.826278290944174,52.826278290944174,52.826278290944174,53.22728912497405,0,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,53.235590416006744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,2,6,down,5,10,10,-30,53.2285587079823,53.235590416006744,53.71805862500332,53.71805862500332,53.799065207946114,53.79310320795048,53.79310320795048,54.144991750014015,1,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,54.15376104100142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,2,7,up,5,-10,-10,,54.146781499963254,54.15376104100142,54.64154045796022,54.64154045796022,54.715819041011855,54.715819041011855,54.715819041011855,55.094930707942694,0,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,55.10259779100306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,2,8,down,5,10,10,30,55.09593750000931,55.10259779100306,55.59148241591174,55.59148241591174,55.66584375000093,55.66584375000093,55.66584375000093,56.036737332935445,1,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,56.04251512500923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,2,9,up,5,-10,-10,30,56.038088082917966,56.04251512500923,56.53482970793266,56.53482970793266,56.61583504092414,56.60968074994162,56.60968074994162,57.01212545798626,0,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,57.02054670790676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,2,10,up,5,-10,-10,-30,57.013687582919374,57.02054670790676,57.50944624992553,57.50944624992553,57.57968445797451,57.57968445797451,57.57968445797451,58.437114832922816,0,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,58.44249516597483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,2,11,down,5,10,10,,58.438084749970585,58.44249516597483,58.934713332913816,58.934713332913816,59.015873582917266,59.0092590409331,59.0092590409331,59.39481012499891,1,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,59.40323120797984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,3,12,down,5,5,5,-30,59.396420707926154,59.40323120797984,59.8914555410156,59.8914555410156,59.96511150000151,59.96511150000151,59.96511150000151,60.39554449997377,1,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,60.40356254100334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,3,13,up,5,-5,-5,,60.39684508298524,60.40356254100334,60.89146583294496,60.89146583294496,60.96588891593274,60.96588891593274,60.96588891593274,61.32696649990976,0,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,61.33386141597293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,3,14,down,5,5,5,30,61.32780616590753,61.33386141597293,61.81832437496632,61.81832437496632,61.89942862500902,61.89262229099404,61.89262229099404,62.36130508291535,1,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,62.36918108293321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,3,15,up,5,-5,-5,-30,62.36231766594574,62.36918108293321,62.8582192909671,62.8582192909671,62.932630124967545,62.932630124967545,62.932630124967545,63.67935095797293,0,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,63.68778570799623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,3,16,up,5,-5,-5,30,63.680662332917564,63.68778570799623,64.17552841594443,64.17552841594443,64.2484261249192,64.2484261249192,64.2484261249192,64.67114624998067,0,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,64.69263066595886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,3,17,down,5,5,5,,64.67211245791987,64.69263066595886,65.16714708297513,65.16714708297513,65.24904320796486,65.24305541592184,65.24305541592184,65.66158199997153,1,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,65.6698890409898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,4,18,up,5,0,0,30,65.66307137499098,65.6698890409898,66.15843429102097,66.15843429102097,66.2325795829529,66.2325795829529,66.2325795829529,66.78451845794916,0,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,66.79227904090658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,4,19,up,5,0,0,-30,66.78555224998854,66.79227904090658,67.28419095801655,67.28419095801655,67.35934579093009,67.35934579093009,67.35934579093009,67.77871466591023,1,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,67.7873171659885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,4,20,up,5,0,0,,67.78007595799863,67.7873171659885,68.27482329099439,68.27482329099439,68.34943320800085,68.34943320800085,68.34943320800085,69.56752929091454,0,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,69.57566274993587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,4,21,down,5,0,0,30,69.56874220794998,69.57566274993587,70.0682887500152,70.0682887500152,70.14279295795131,70.14279295795131,70.14279295795131,70.61264570790809,0,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,70.6210686659906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,4,22,down,5,0,0,,70.61404362495523,70.6210686659906,71.10818341595586,71.10818341595586,71.18199204094708,71.18199204094708,71.18199204094708,72.02832137502264,1,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,72.03688724990934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,4,23,down,5,0,0,-30,72.0296270409599,72.03688724990934,72.52595287491567,72.52595287491567,72.59868616599124,72.59868616599124,72.59868616599124,73.03348391596228,1,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,73.04165445792023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,5,24,up,5,5,5,30,73.03470858291257,73.04165445792023,73.53438316599932,73.53438316599932,73.60962474998087,73.60962474998087,73.60962474998087,74.05092554097064,1,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,74.05896974995267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,5,25,down,5,-5,-5,-30,74.05200799996965,74.05896974995267,74.5493060000008,74.5493060000008,74.62585091590881,74.62585091590881,74.62585091590881,75.17753554100636,0,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,75.18513062491547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,5,26,down,2,-2,-2,-30,75.17849383293651,75.18513062491547,75.67473770794459,75.67473770794459,75.74908920796588,75.74908920796588,75.74908920796588,76.54376729100477,1,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
