center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,trial.stopped,trials.response,surround_angle,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
30,60,right,2,2,0,,,,,100,right,1,0.8804634590633214,None,,,,,0,2,2,2,25.22937387507409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.11405520804692,26.121972541091964,27.607029290986247,27.61154733307194,,,,,,,,25.224704625084996,25.22937387507409,25.7221150000114,25.7221150000114,25.79342583299149,25.79342583299149,25.79342583299149,26.113952000043355,right,1,0.8804634590633214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
30,0,right,3,3,0,,,,,100,right,1,0.8844792080344632,None,,,,,0,3,3,3,27.61154733307194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.50903829105664,28.51655662502162,30.00761945801787,30.01338120806031,,,,,,,,27.607508665998466,27.61154733307194,28.114766583079472,28.114766583079472,28.195320083061233,28.195320083061233,28.195320083061233,28.5089129160624,right,1,0.8844792080344632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
-30,69,left,4,4,0,,,,,0,left,1,0.9673187079606578,None,,,,,0,4,4,4,30.01338120806031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.99129862501286,30.99851329100784,32.49091466597747,32.496384916012175,,,,,,,,30.008230541017838,30.01338120806031,30.506639333092608,30.506639333092608,30.57668400008697,30.57668400008697,30.57668400008697,30.99118370807264,left,1,0.9673187079606578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
30,69,right,5,5,0,,,,,0,right,1,1.1939587920205668,None,,,,,0,5,5,5,32.496384916012175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.69351358304266,33.705239250091836,35.189416375011206,35.194711750024,,,,,,,,32.491433416027576,32.496384916012175,32.989756041090004,32.989756041090004,33.062864458072,33.062864458072,33.062864458072,33.69345608307049,right,1,1.1939587920205668,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.189564208034426,35.194711750024,35.194711750024,37.36572245799471,space,2.1676262500695884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,37.50592741603032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,1,0,start,5,15,15,37.50010491604917,37.50592741603032,37.87014374998398,37.87014374998398,37.947649665991776,37.947649665991776,37.947649665991776,38.341841874993406,1,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,38.35064283304382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,1,1,start,5,15,15,38.343155000009574,38.35064283304382,38.839610125054605,38.839610125054605,38.9105045000324,38.9105045000324,38.9105045000324,39.27473362500314,1,-15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,39.282868916052394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,1,2,start,5,15,15,39.27586599998176,39.282868916052394,39.77287312503904,39.77287312503904,39.845786333084106,39.845786333084106,39.845786333084106,40.19769308308605,1,15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,40.20594291598536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,1,3,start,5,-15,-15,40.19877895805985,40.20594291598536,40.69758058304433,40.69758058304433,40.7734907080885,40.7734907080885,40.7734907080885,41.261606083018705,0,15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,41.27304095798172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,1,4,start,5,-15,-15,41.26247608300764,41.27304095798172,41.762482000049204,41.762482000049204,41.83864175004419,41.83864175004419,41.83864175004419,42.20808633300476,0,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,42.215999874984846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,1,5,start,5,-15,-15,42.20917487505358,42.215999874984846,42.70538420800585,42.70538420800585,42.779185541090555,42.779185541090555,42.779185541090555,43.13077291601803,0,-15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,43.13924475002568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,2,6,down,5,10,10,43.13184866600204,43.13924475002568,43.63074362499174,43.63074362499174,43.70663195801899,43.70663195801899,43.70663195801899,44.529883500072174,1,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,44.53832637507003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,2,7,up,5,-10,-10,44.53090695803985,44.53832637507003,45.022817332996055,45.022817332996055,45.09540525008924,45.09540525008924,45.106611583032645,45.447327208006755,0,-15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,45.4556805830216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,2,8,down,5,10,10,45.44832025002688,45.4556805830216,45.948684333008714,45.948684333008714,46.023058250080794,46.023058250080794,46.023058250080794,46.42549470800441,1,15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,46.43474745808635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,2,9,up,5,-10,-10,46.42751337506343,46.43474745808635,46.922770375036635,46.922770375036635,46.995736000011675,46.995736000011675,46.995736000011675,47.357333500054665,0,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,47.365237625082955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,2,10,up,5,-10,-10,47.35831704107113,47.365237625082955,47.85673008300364,47.85673008300364,47.929192333016545,47.929192333016545,47.929192333016545,48.46754625008907,0,15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,48.4728964160895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,2,11,down,5,10,10,48.46849591599312,48.4728964160895,48.96398958307691,48.96398958307691,49.040056791040115,49.040056791040115,49.04621499998029,49.48105695808772,1,-15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,49.48885783308651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,3,12,up,5,-5,-5,49.48201333300676,49.48885783308651,49.97919575008564,49.97919575008564,50.05639354104642,50.05639354104642,50.05639354104642,51.825233625015244,1,-15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,51.83441508305259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,3,13,down,5,5,5,51.82701662508771,51.83441508305259,52.321983291069046,52.321983291069046,52.39456654107198,52.39456654107198,52.39456654107198,52.9082737499848,1,15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,52.91640637500677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,3,14,down,5,5,5,52.90933125000447,52.91640637500677,53.40518070803955,53.40518070803955,53.479825625079684,53.479825625079684,53.479825625079684,53.99167233298067,1,-15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,53.99835150002036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,3,15,down,5,5,5,53.99237387499306,53.99835150002036,54.488907833001576,54.488907833001576,54.56315250007901,54.56315250007901,54.56315250007901,54.96773212507833,1,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,54.97311862499919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,3,16,up,5,-5,-5,54.96872933302075,54.97311862499919,55.472915708087385,55.472915708087385,55.542485999991186,55.542485999991186,55.542485999991186,56.02391033305321,0,15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,56.03039333305787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,3,17,up,5,-5,-5,56.02479175000917,56.03039333305787,56.52277666598093,56.52277666598093,56.59323433309328,56.59323433309328,56.59323433309328,57.081360041047446,0,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,57.0890630830545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,4,18,down,5,0,0,57.081856000004336,57.0890630830545,57.58125799999107,57.58125799999107,57.65688470809255,57.65688470809255,57.65688470809255,58.42484083306044,0,15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,58.4322339160135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,4,19,down,2,-7,-7,58.42629037506413,58.4322339160135,58.922172541031614,58.922172541031614,58.99288704106584,58.99288704106584,58.99288704106584,59.50975924998056,0,-15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,59.517720540985465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,4,20,up,5,0,0,59.51091337506659,59.517720540985465,60.00560174998827,60.00560174998827,60.079469999996945,60.079469999996945,60.079469999996945,60.52552704105619,0,15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,60.533917458029464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,4,21,down,5,0,0,60.52672750002239,60.533917458029464,61.02300658298191,61.02300658298191,61.09558312501758,61.09558312501758,61.09558312501758,61.55897958308924,1,-15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,61.567190333036706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,4,22,up,5,0,0,61.56011683307588,61.567190333036706,62.05622912500985,62.05622912500985,62.128793791052885,62.128793791052885,62.128793791052885,63.923179708071984,1,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,63.92731870803982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,4,23,down,5,0,0,63.92424858303275,63.92731870803982,64.42224316601641,64.42224316601641,64.49568312498741,64.49568312498741,64.49568312498741,66.60793104104232,0,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,66.61649870802648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,5,24,down,2,-2,-2,66.60900075000245,66.61649870802648,67.1061802910408,67.1061802910408,67.17874975001905,67.17874975001905,67.17874975001905,67.6644027500879,0,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,67.6730155000696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,5,25,down,5,-5,-5,67.66547170805279,67.6730155000696,68.17520041600801,68.17520041600801,68.24548691604286,68.24548691604286,68.23950991604943,68.87875320808962,0,-15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,68.88842720806133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,5,26,up,5,5,5,68.87980054109357,68.88842720806133,69.3718195410911,69.3718195410911,69.4448675410822,69.4448675410822,69.45673141605221,69.9582467500586,1,15,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
