center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,trial.stopped,trials.response,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
30,60,right,2,2,0,,,,,100,right,1,1.0037883329205215,None,,,,,0,2,2,2,,,,,266.7885248749517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.8018522078637,267.8094394998625,269.3005655000452,269.3060046660248,,,,,,,,266.78427387494594,266.7885248749517,267.2828442079481,267.2828442079481,267.3548598329071,267.3548598329071,267.3548598329071,267.8017053329386,right,1,1.0037883329205215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
30,0,right,3,3,0,,,,,100,right,1,0.9620492090471089,None,,,,,0,3,3,3,,,,,269.3060046660248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.2730235408526,270.28167558298446,271.76730837486684,271.77351333294064,,,,,,,,269.30112433293834,269.3060046660248,269.79923920799047,269.79923920799047,269.8726910408586,269.8726910408586,269.8726910408586,270.27290420792997,right,1,0.9620492090471089,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
-30,69,left,4,4,0,,,,,0,left,1,0.9704065420664847,None,,,,,0,4,4,4,,,,,271.77351333294064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.75093995803036,272.75779183302075,274.25053970795125,274.2556129579898,,,,,,,,271.7681070829276,271.77351333294064,272.26507904101163,272.26507904101163,272.33756350004114,272.33756350004114,272.34957612492144,272.750825624913,left,1,0.9704065420664847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
30,69,right,5,5,0,,,,,0,right,1,0.9636130419094115,None,,,,,0,5,5,5,,,,,274.2556129579898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.2228184158448,275.231729749823,276.7170411248226,276.72535270801745,,,,,,,,274.25110700004734,274.2556129579898,274.74957620794885,274.74957620794885,274.82166458293796,274.82166458293796,274.82166458293796,275.22270449995995,right,1,0.9636130419094115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.71722533297725,276.72535270801745,276.72535270801745,279.47501054103486,space,2.74342287494801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,279.6246566248592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,1,0,start,5,-15,-15,30,279.61893499991857,279.6246566248592,279.9769590829965,279.9769590829965,280.0561906248331,280.0561906248331,280.0561906248331,280.8235484578181,0,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,280.8317634998821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,1,1,start,5,15,15,30,280.8246105830185,280.8317634998821,281.32457804097794,281.32457804097794,281.3994012498297,281.3994012498297,281.3994012498297,281.92177291586995,1,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,281.93192933290266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,1,2,start,5,15,15,-30,281.92302099987864,281.93192933290266,282.41613170783967,282.41613170783967,282.4881587908603,282.4881587908603,282.49943216587417,283.04031079099514,1,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,283.0483099159319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,1,3,start,5,-15,-15,,283.0413394998759,283.0483099159319,283.5414422499016,283.5414422499016,283.6163805408869,283.6163805408869,283.6163805408869,284.0774152500089,0,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,284.0829612908419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,1,4,start,5,-15,-15,-30,284.0784486660268,284.0829612908419,284.5742834159173,284.5742834159173,284.6563223749399,284.6563223749399,284.6563223749399,285.1343857499305,0,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,285.14272174984217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,1,5,start,5,15,15,,285.13542720791884,285.14272174984217,285.6324884160422,285.6324884160422,285.70552562503144,285.70552562503144,285.70552562503144,286.13879704102874,1,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,286.1484634578228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,2,6,up,5,-10,-10,,286.1399788749404,286.1484634578228,286.6411430828739,286.6411430828739,286.7150916659739,286.7150916659739,286.7150916659739,287.11816112487577,0,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,287.12655429099686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,2,7,up,5,-10,-10,-30,287.1197331659496,287.12655429099686,287.61553445784375,287.61553445784375,287.689910082845,287.689910082845,287.689910082845,288.24076204095036,0,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,288.24943954101764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,2,8,down,5,10,10,,288.2419613748789,288.24943954101764,288.7399645410478,288.7399645410478,288.81656720791943,288.81656720791943,288.81656720791943,289.28480549994856,1,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,289.29311716603115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,2,9,down,5,10,10,30,289.2859479158651,289.29311716603115,289.78202983294614,289.78202983294614,289.855312041007,289.855312041007,289.855312041007,290.48379791597836,1,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,290.4923962908797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,2,10,down,5,10,10,-30,290.4848551249597,290.4923962908797,290.9829702498391,290.9829702498391,291.05388845782727,291.05388845782727,291.05388845782727,291.5719246249646,1,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,291.5817419998348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,2,11,up,5,-10,-10,30,291.5730995410122,291.5817419998348,292.0740478329826,292.0740478329826,292.1494017499499,292.1494017499499,292.1494017499499,292.65665037487634,0,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,292.6649120829534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,3,12,down,5,5,5,-30,292.65777225000784,292.6649120829534,293.15738245798275,293.15738245798275,293.23185691586696,293.23185691586696,293.23185691586696,293.7849834158551,1,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,293.7931354159955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,3,13,up,5,-5,-5,-30,293.7860586659517,293.7931354159955,294.28271449985914,294.28271449985914,294.35518858302385,294.35518858302385,294.35518858302385,295.2074553328566,0,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,295.2155855409801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,3,14,up,5,-5,-5,,295.20850304095075,295.2155855409801,295.7041287079919,295.7041287079919,295.78224337496795,295.78224337496795,295.78224337496795,296.2890386248473,0,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,296.298292624997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,3,15,up,5,-5,-5,30,296.29014304094017,296.298292624997,296.79129966604523,296.79129966604523,296.86613183282316,296.86613183282316,296.86613183282316,297.3728304579854,0,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,297.38163345796056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,3,16,down,5,5,5,,297.373863582965,297.38163345796056,297.87563999998383,297.87563999998383,297.9493527908344,297.9493527908344,297.9493527908344,298.4383106660098,1,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,298.44836612488143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,3,17,down,5,5,5,30,298.4392882080283,298.44836612488143,298.9401963748969,298.9401963748969,299.0161112078931,299.0161112078931,299.0161112078931,299.73980433284305,1,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,299.74838754092343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,4,18,down,5,0,0,,299.7411495000124,299.74838754092343,300.2422114580404,300.2422114580404,300.3160659999121,300.3160659999121,300.3160659999121,301.9677991659846,1,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,301.97575295786373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,4,19,up,5,0,0,-30,301.9688015829306,301.97575295786373,302.4653020829428,302.4653020829428,302.5391636248678,302.5391636248678,302.5391636248678,303.08476695790887,1,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,303.09269741596654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,4,20,down,5,0,0,-30,303.08603245788254,303.09269741596654,303.5826975409873,303.5826975409873,303.65511737484485,303.65511737484485,303.65511737484485,304.2406233330257,1,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,304.2495010830462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,4,21,down,5,0,0,30,304.2418177910149,304.2495010830462,304.74077233299613,304.74077233299613,304.8163233329542,304.8163233329542,304.8163233329542,305.44020683295093,0,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,305.44897145801224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,4,22,up,5,0,0,,305.4412830409128,305.44897145801224,305.9417306659743,305.9417306659743,306.0159788748715,306.0159788748715,306.0159788748715,306.6557267908938,0,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,306.66489566583186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,4,23,up,5,0,0,30,306.6562027079053,306.66489566583186,307.15805162489414,307.15805162489414,307.232653999934,307.232653999934,307.232653999934,307.78524783300236,0,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
