center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,57.16809012496378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,5,9,down,5,0,0,-30,57.16427395900246,57.16809012496378,57.16809012496378,57.661043583997525,57.661043583997525,57.73210691695567,57.73210691695567,57.73210691695567,57.665733208996244,58.347016499959864,0,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,58.35097508400213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,6,10,up,5,5,5,35,58.34721266699489,58.35097508400213,58.35097508400213,58.84442350000609,58.84442350000609,58.91600170894526,58.91600170894526,58.91600170894526,58.8491590420017,59.41365516697988,1,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,59.417442959034815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,6,11,up,2,2,2,-28,59.41383570898324,59.417442959034815,59.417442959034815,59.91106279194355,59.91106279194355,59.982078542001545,59.982078542001545,59.982078542001545,59.91579845896922,60.53523983398918,1,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,60.54440691694617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,7,12,down,1,1,1,-29,60.53541975002736,60.54440691694617,60.54440691694617,61.03265766694676,61.03265766694676,61.11112154193688,61.11112154193688,61.11112154193688,61.03265766694676,61.83467137499247,1,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,61.844414833933115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,7,13,down,2,3,3,33,61.83484949998092,61.844414833933115,61.844414833933115,62.33254295901861,62.33254295901861,62.41107024997473,62.41107024997473,62.41107024997473,62.33254295901861,62.963670458993874,1,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,62.96761824993882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,8,14,down,2,1,1,31,62.96386270900257,62.96761824993882,62.96761824993882,63.46109841694124,63.46109841694124,63.532290459028445,63.532290459028445,63.532290459028445,63.46572108392138,64.36347641702741,1,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,64.36721016699448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,8,15,down,1,0,0,-30,64.36365204199683,64.36721016699448,64.36721016699448,64.86115799995605,64.86115799995605,64.93382295896299,64.93382295896299,64.93382295896299,64.86629495897796,66.03066679195035,1,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,66.03458404203411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,9,16,down,1,-1,-1,-31,66.03086245898157,66.03458404203411,66.03458404203411,66.52775216696318,66.52775216696318,66.59960366692394,66.59960366692394,66.59960366692394,66.53232779202517,67.1636842089938,0,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,67.1675479169935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,9,17,down,2,-1,-1,29,67.16387679195032,67.1675479169935,67.1675479169935,67.66104174999055,67.66104174999055,67.73190191702452,67.73190191702452,67.73190191702452,67.66590945899952,68.26361991697922,0,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,68.26746124995407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,10,18,up,0.5,-0.5,-0.5,-30.5,68.26380712492391,68.26746124995407,68.26746124995407,68.76090941694565,68.76090941694565,68.83192870893981,68.83192870893981,68.83192870893981,68.76539408392273,69.44721070898231,0,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,69.45117949997075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,10,19,up,1,0,0,30,69.44739174994174,69.45117949997075,69.45117949997075,69.94457987498026,69.94457987498026,70.01678641699255,70.01678641699255,70.01678641699255,69.94978899997659,72.18486554198898,1,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,72.1943942499347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,11,20,up,0.5,0.0,0.0,-30.0,72.18505512492266,72.1943942499347,72.1943942499347,72.68306733400095,72.68306733400095,72.76106758392416,72.76106758392416,72.76106758392416,72.68306733400095,73.33059383393265,0,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,73.33457558392547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,11,21,down,0.5,-0.5,-0.5,29.5,73.33078474993818,73.33457558392547,73.33457558392547,73.82761858392041,73.82761858392041,73.90005429193843,73.90005429193843,73.90005429193843,73.83283387497067,74.32088212494273,0,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,74.32758933398873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,12,22,up,0.5,0.5,0.5,-29.5,74.32118483399972,74.32758933398873,74.32758933398873,74.81574070896022,74.81574070896022,74.89437162491959,74.89437162491959,74.89876050001476,74.81574070896022,75.31878949992824,0,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,75.32774487498682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,12,23,up,0.25,-0.25,-0.25,29.75,75.31897358398419,75.32774487498682,75.32774487498682,75.81639237492345,75.81639237492345,75.89430745900609,75.89430745900609,75.89430745900609,75.81639237492345,76.41356799995992,0,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,76.41744716698304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,13,24,up,0.5,1.0,1.0,-29.0,76.41375887498725,76.41744716698304,76.41744716698304,76.9110793339787,76.9110793339787,76.98284029192291,76.98284029192291,76.98284029192291,76.91584745899308,77.74729595892131,1,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
