center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,expStart,
30,0,right,3,3,0,,,,,space,0.20679729094263166,None,100,right,1,1.2756693339906633,None,,,,,0,3,3,3,14.436528541962616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.722646874957718,15.72637508297339,15.72637508297339,15.939358333009295,,,,,,,,,,,14.427007333026268,14.436528541962616,14.436528541962616,14.924737917026505,14.924737917026505,14.924737917026505,15.003186292015016,15.003186292015016,15.003186292015016,15.722581750014797,right,1,1.2756693339906633,None,space,0.20679729094263166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
-30,69,left,4,4,0,,,,,space,0.10909595899283886,None,0,left,1,1.2742747919401154,None,,,,,0,4,4,4,15.943706916994415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.22240566695109,17.225963667035103,17.225963667035103,17.3390824169619,,,,,,,,,,,15.93960625003092,15.943706916994415,15.943706916994415,16.436414125026204,16.436414125026204,16.44136354199145,16.50793199997861,16.50793199997861,16.50793199997861,17.222349417046644,left,1,1.2742747919401154,None,space,0.10909595899283886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
30,69,right,5,5,0,,,,,space,0.0978374999249354,None,0,right,1,0.8869637910975143,None,,,,,0,5,5,5,17.343295291997492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.23954087495804,18.243251082953066,18.243251082953066,18.34365924994927,,,,,,,,,,,17.339315291959792,17.343295291997492,17.343295291997492,17.836409167037345,17.836409167037345,17.84109612496104,17.907799375010654,17.907799375010654,17.907799375010654,18.239479208015837,right,1,0.8869637910975143,None,space,0.0978374999249354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.34375233296305,18.353136208024807,18.353136208024807,19.222510166931897,space,0.8596974170068279,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,19.328097374993376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,1,0,start,5,-15,-15,-30,19.323542166966945,19.328097374993376,19.328097374993376,19.719813416944817,19.719813416944817,19.791491167037748,19.791491167037748,19.791491167037748,19.824086333042942,20.3075485000154,0,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,20.3128835830139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,5,1,1,start,5,15,15,,20.307830124977045,20.3128835830139,20.3128835830139,20.80313179199584,20.80313179199584,20.874190166941844,20.874190166941844,20.886382666998543,20.807941957958974,21.455789541942067,1,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,21.45967416698113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,1,2,start,5,15,15,-30,21.456019792007282,21.45967416698113,21.45967416698113,21.953010499943048,21.953010499943048,22.02485391695518,22.02485391695518,22.02485391695518,21.95752762502525,22.593071416951716,1,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,22.603051332989708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,1,3,start,5,15,15,30,22.593268750002608,22.603051332989708,22.603051332989708,23.091634750016965,23.091634750016965,23.169816041947342,23.169816041947342,23.169816041947342,23.091634750016965,23.639433749951422,1,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,23.64349654200487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,1,4,start,5,-15,-15,,23.639661208027974,23.64349654200487,23.64349654200487,24.13644645793829,24.13644645793829,24.207751667010598,24.207751667010598,24.207751667010598,24.141212999937125,24.60568841698114,0,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,24.60958058293909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,2,1,5,start,5,-15,-15,30,24.60589958296623,24.60958058293909,24.60958058293909,25.103155291988514,25.103155291988514,25.174118208000436,25.174118208000436,25.174118208000436,25.107858082978055,25.527341207955033,0,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,25.536356917000376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,3,2,6,down,5,10,10,30,25.5275459169643,25.536356917000376,25.536356917000376,26.02508112497162,26.02508112497162,26.103181250044145,26.103181250044145,26.103181250044145,26.02508112497162,26.543357042013668,1,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,26.553175917011686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,4,2,7,up,5,-10,-10,,26.543550416943617,26.553175917011686,26.553175917011686,27.041403208044358,27.041403208044358,27.11975708301179,27.11975708301179,27.11975708301179,27.041403208044358,,,,,,,,,,
