center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.response,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
30,0,right,3,3,0,,,,,100,right,1,1.1460000419974676,None,,,,,0,3,3,3,,,,,334.17793945800076,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.3298854159948,335.33805495799606,336.8225619579971,336.82866370799456,,,,,,,,334.172899833,334.17793945800076,334.67118291599763,334.67118291599763,334.7449393329953,334.7449393329953,334.7449393329953,335.3297708329992,right,1,1.1460000419974676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
-30,69,left,4,4,0,,,,,0,left,1,0.9430891250012792,None,,,,,0,4,4,4,,,,,336.82866370799456,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.774438249995,337.78318229100114,339.2727337499964,339.27870374999475,,,,,,,,336.82310820799466,336.82866370799456,337.3300635829946,337.3300635829946,337.40481166599784,337.40481166599784,337.40481166599784,337.77430937499594,left,1,0.9430891250012792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
30,69,right,5,5,0,,,,,0,right,1,0.964579749997938,None,,,,,0,5,5,5,,,,,339.27870374999475,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.24651670800085,340.25478566599486,341.73921691600117,341.7476847910002,,,,,,,,339.273290582998,339.27870374999475,339.77150808299484,339.77150808299484,339.8446395409992,339.8446395409992,339.8446395409992,340.2464007499948,right,1,0.964579749997938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.73939270799747,341.7476847910002,341.7476847910002,388.64917862499715,space,46.89748637499724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,388.77685029099666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,1,0,start,5,-15,-15,-30,388.770677374996,388.77685029099666,389.1541155409941,389.1541155409941,389.22875362500054,389.22875362500054,389.85970054099744,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,389.870266291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,1,1,start,5,-15,-15,30,389.8615469579963,389.870266291,390.3564872079951,390.3564872079951,390.4294172079972,390.4294172079972,391.0419586659991,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,391.0513485409974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,1,2,start,5,15,15,,391.04309729099623,391.0513485409974,391.5400013749968,391.5400013749968,391.6119372499961,391.6119372499961,392.06444433299475,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,392.0733776249981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,1,3,start,5,-15,-15,,392.0655780409943,392.0733776249981,392.55671150000126,392.55671150000126,392.6290489999956,392.6290489999956,393.5772062909964,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,393.5870291659958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,1,4,start,5,15,15,-30,393.57867254099983,393.5870291659958,394.07338549999986,394.07338549999986,394.1460387499974,394.1460387499974,394.80950504099746,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,394.81946237499506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,1,5,start,5,15,15,30,394.81092050000007,394.81946237499506,395.30674174999876,395.30674174999876,395.3790244999982,395.3790244999982,396.0095660829975,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,396.019507332996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,2,6,down,5,10,10,-30,396.0110155000002,396.019507332996,396.506714790994,396.506714790994,396.5789410409998,396.5789410409998,397.14339529100107,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,397.15276166599506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,2,7,up,5,-10,-10,30,397.14463458299724,397.15276166599506,397.6400971249968,397.6400971249968,397.71307174999674,397.71307174999674,398.768862082994,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,398.77547170799517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,2,8,down,5,10,10,,398.76999629099737,398.77547170799517,399.2656202079961,399.2656202079961,399.3406834579946,399.3406834579946,400.15949129100045,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,400.1686215410009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,2,9,up,5,-10,-10,-30,400.16063037499407,400.1686215410009,400.6569602909949,400.6569602909949,400.72923241600074,400.72923241600074,403.37651762499445,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,403.3864974579992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,2,10,down,5,10,10,30,403.37814870799775,403.3864974579992,403.873660540994,403.873660540994,403.94605587499973,403.94605587499973,405.0102311660012,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,405.02005112500046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,2,11,down,5,-15,-15,,405.01175320799666,405.02005112500046,405.5070643750005,405.5070643750005,405.5800840410011,405.5800840410011,406.0766038329966,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,406.08676299999934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,3,12,down,5,5,5,30,406.0784442910008,406.08676299999934,406.57375779099675,406.57375779099675,406.6460934159986,406.6460934159986,407.7763432499996,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,407.7855792499977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,3,13,down,2,-12,-12,-30,407.7774811659983,407.7855792499977,408.27341433299443,408.27341433299443,408.3462169159975,408.3462169159975,409.060914624999,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,409.0706739579982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,3,14,down,2,-12,-12,30,409.06249595799454,409.0706739579982,409.5572831249956,409.5572831249956,409.62950541600003,409.62950541600003,410.3324277499996,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,410.3573574159964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,3,15,down,5,5,5,-30,410.33358737499657,410.3573574159964,410.8334169160007,410.8334169160007,410.90800779099663,410.90800779099663,411.42691566600115,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,411.43637691599724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,3,16,down,5,5,5,,411.4280864999964,411.43637691599724,411.9239079580002,411.9239079580002,411.996197415996,411.996197415996,412.51617283299856,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,412.52631070799544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,3,17,up,2,-13,-13,,412.5175662909969,412.52631070799544,413.0162352499974,413.0162352499974,413.09121829099604,413.09121829099604,413.57802049999736,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,413.58837245799805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,4,18,up,2,7,7,30,413.5798877909983,413.58837245799805,414.07405620799545,414.07405620799545,414.1464440409982,414.1464440409982,414.99173587499536,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,414.9980696659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,4,19,up,1,-11,-11,-30,414.9929194159995,414.9980696659986,415.48297083299985,415.48297083299985,415.5579220829968,415.5579220829968,416.8695755410008,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,416.87615804099914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,4,20,up,1,-11,-11,30,416.8706898329983,416.87615804099914,417.3667828749967,417.3667828749967,417.4413880829961,417.4413880829961,417.9936532499996,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,418.003933041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,4,21,up,2,-11,-11,,417.995559707997,418.003933041,418.4911516249995,418.4911516249995,418.56305099999736,418.56305099999736,419.0103592499945,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,419.0197484579985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,4,22,down,5,0,0,,419.01196374999563,419.0197484579985,419.507545249995,419.507545249995,419.57949162499426,419.57949162499426,420.815544582998,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,420.8244179579997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,4,23,down,5,0,0,-30,420.816699832998,420.8244179579997,421.3173437500009,421.3173437500009,421.39146074999735,421.39146074999735,421.7937162909948,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,421.8032387909989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,5,24,up,2,-9,-9,,421.7949616659971,421.8032387909989,422.29114495799877,422.29114495799877,422.3633767499996,422.3633767499996,422.8435830829985,0,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,422.85342470799515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,5,25,down,1,6,6,30,422.8450412079983,422.85342470799515,423.34101820799697,423.34101820799697,423.4131870409983,423.4131870409983,424.26111820799997,1,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
