center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
30,60,period,2,2,0,,,,,100,0,period,1,1.03252245800104,None,,,,,,,,,,,,,,0,2,2,2,,,,,124.21112824999727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.20558312500361,124.21112824999727,124.70273470802931,124.70273470802931,124.70273470802931,124.77544749999652,124.77544749999652,124.77544749999652,124.77544749999652,125.25559958297526,period,1,1.03252245800104,None,125.2559539580252,125.26596854103263,126.7620063329814,126.75402962497901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
30,0,period,3,3,0,,,,,100,0,period,1,0.9725426670047455,None,,,,,,,,,,,,,,0,3,3,3,,,,,126.7620063329814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.7563049159944,126.7620063329814,127.25287270802073,127.25287270802073,127.25287270802073,127.32642574998317,127.32642574998317,127.32642574998317,127.32642574998317,127.73874695802806,period,1,0.9725426670047455,None,127.73887100000866,127.76021945802495,,129.24275795801077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-30,69,z,4,4,0,,,,,0,100,z,1,1.016656082996633,None,,,,,,,,,,,,,,0,4,4,4,,,,,129.25305266602663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.24457808298757,129.25305266602663,129.73620479099918,129.73620479099918,129.73620479099918,129.80955083301524,129.80955083301524,129.80955083301524,129.80955083301524,130.27232254098635,z,1,1.016656082996633,None,130.27244487497956,130.28152945800684,131.77932708302978,131.77121391601395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
30,69,period,5,5,0,,,,,0,100,period,1,0.9903710830258206,None,,,,,,,,,,,,,,0,5,5,5,,,,,131.77932708302978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.77348141599214,131.77932708302978,132.26876204099972,132.26876204099972,132.26876204099972,132.34314654098125,132.34314654098125,132.34314654098125,132.34314654098125,132.7721525829984,period,1,0.9903710830258206,None,132.77227591600968,132.78125845798058,134.27961987501476,134.2711811659974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.27138162503252,134.27961987501476,134.27961987501476,165.55655199999455,space,31.26666550000664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-2,-15.0,,0,0,0,,,,,100,0,,,,,c-2,negs,1.0,period,1.7555832500220276,None,None,,,,,,,,,,,0,0,0,402,165.69452258298406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.68850695801666,165.69452258298406,166.55843258299865,166.55843258299865,166.55843258299865,166.62630991602782,166.62630991602782,166.62630991602782,167.45720812497893,period,1.7555832500220276,None,167.457372749981,167.45744124997873,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-2,0.0,,1,1,0,,,,,0,100,,,,,c-2,noss,0.5,z,1.2690852920059115,None,None,,,,,,,,,,,0,1,1,554,167.4699357909849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.4606199580012,167.4699357909849,167.95442312501837,167.95442312501837,167.95442312501837,168.0261763749877,168.0261763749877,168.0261763749877,168.75065912498394,z,1.2690852920059115,None,168.7507749160286,168.75082283298252,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-2,15.0,,2,2,0,,,,,100,0,,,,,c-2,poss,0.5,z,1.0977839159895666,None,None,,,,,,,,,,,0,2,2,9,168.75782987498678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.75303629098926,168.75782987498678,169.24750829098048,169.24750829098048,169.24750829098048,169.32149787503295,169.32149787503295,169.32149787503295,169.85851849999744,z,1.0977839159895666,None,169.8588023330085,169.85889970802236,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-2,15.0,,3,3,0,,,,,100,0,,,,,c-2,poss,1.25,z,1.8021392080117948,None,None,,,,,,,,,,,0,3,3,40,169.87050954101142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.86146329098847,169.87050954101142,171.10446383297676,171.10446383297676,171.10446383297676,171.1773796249763,171.1773796249763,171.1773796249763,171.6851584999822,z,1.8021392080117948,None,171.68526312499307,171.6853098749998,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-2,0.0,,4,4,0,,,,,0,100,,,,,c-2,noss,1.25,z,1.730679834028706,None,None,,,,,,,,,,,0,4,4,586,171.6919982500258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.68736929103034,171.6919982500258,172.93025720800506,172.93025720800506,172.93025720800506,173.00499183300417,173.00499183300417,173.00499183300417,173.43534966598963,z,1.730679834028706,None,173.43545587500557,173.4355021250085,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
4,0.0,,5,5,0,,,,,0,100,,,,,c+4,noss,0.75,period,1.5603818750241771,None,None,,,,,,,,,,,0,5,5,684,173.44271400000434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.43759716599016,173.44271400000434,174.18105625000317,174.18105625000317,174.18105625000317,174.25501974998042,174.25501974998042,174.25501974998042,175.00737379101338,period,1.5603818750241771,None,175.0075170409982,175.00757429102669,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-6,-15.0,,6,6,0,,,,,100,0,,,,,c-6,negs,0.75,period,1.5206189579912461,None,None,,,,,,,,,,,0,6,6,306,175.018702958012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.009884625033,175.018702958012,175.75463983300142,175.75463983300142,175.75463983300142,175.82685208303155,175.82685208303155,175.82685208303155,176.55098812503275,period,1.5206189579912461,None,176.5511032079812,176.55114987498382,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-8,-15.0,,7,7,0,,,,,100,0,,,,,c-8,negs,0.75,z,1.9974676249548793,None,None,,,,,,,,,,,0,7,7,268,176.5578869159799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.55319795798277,176.5578869159799,177.29757195798447,177.29757195798447,177.29757195798447,177.3718667079811,177.3718667079811,177.3718667079811,178.55791441601468,z,1.9974676249548793,None,178.55809541599592,178.55815425002947,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-2,-15.0,,8,8,0,,,,,100,0,,,,,c-2,negs,0.75,period,1.3446342080133036,None,None,,,,,,,,,,,0,8,8,393,178.56968762498582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.560714791005,178.56968762498582,179.30375191598432,179.30375191598432,179.30375191598432,179.37678083300125,179.37678083300125,179.37678083300125,179.9244782080059,period,1.3446342080133036,None,179.92466183297802,179.92473612498725,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-2,0.0,,9,9,0,,,,,0,100,,,,,c-2,noss,0.75,z,1.403412625018973,None,None,,,,,,,,,,,0,9,9,563,179.93697262502974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.92787095799576,179.93697262502974,180.6714452910237,180.6714452910237,180.6714452910237,180.74367045803228,180.74367045803228,180.74367045803228,181.34709345799638,z,1.403412625018973,None,181.34724495798582,181.34730937500717,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-2,-15.0,,10,10,0,,,,,100,0,,,,,c-2,negs,0.75,period,1.3852747090277262,None,None,,,,,,,,,,,0,10,10,394,181.35808483301662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.34983483300311,181.35808483301662,182.09811879100744,182.09811879100744,182.09811879100744,182.17217750003329,182.17217750003329,182.17217750003329,182.74629124999046,period,1.3852747090277262,None,182.7463979999884,182.74644387501758,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-2,-15.0,,11,11,0,,,,,100,0,,,,,c-2,negs,0.75,period,1.3368150829919614,None,None,,,,,,,,,,,0,11,11,399,182.75761866598623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.7484362910036,182.75761866598623,183.4974642500165,183.4974642500165,183.4974642500165,183.57204791600816,183.57204791600816,183.57204791600816,184.09762683301233,period,1.3368150829919614,None,184.09777537500486,184.09783412498655,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-4,-15.0,,12,12,0,,,,,100,0,,,,,c-4,negs,1.0,period,1.5747066659969278,None,None,,,,,,,,,,,0,12,12,365,184.10814612498507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.09999383299146,184.10814612498507,185.09737154102186,185.09737154102186,185.09737154102186,185.17207295802655,185.17207295802655,185.17207295802655,185.69139433302917,period,1.5747066659969278,None,185.69155845802743,185.6916290409863,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-6,-15.0,,13,13,0,,,,,100,0,,,,,c-6,negs,0.75,z,1.7526468329597265,None,None,,,,,,,,,,,0,13,13,314,185.70279070799006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.69402245798847,185.70279070799006,186.43828791601118,186.43828791601118,186.43828791601118,186.51062870799797,186.51062870799797,186.51062870799797,187.45801370800473,z,1.7526468329597265,None,187.45827883301536,187.4583752080216,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
2,0.0,,14,14,0,,,,,0,100,,,,,c+2,noss,1.25,period,2.019624125037808,None,None,,,,,,,,,,,0,14,14,664,187.47053879097803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.4612168329768,187.47053879097803,188.70495841599768,188.70495841599768,188.70495841599768,188.77712575002806,188.77712575002806,188.77712575002806,189.49699816602515,period,2.019624125037808,None,189.49713216599775,189.4971953749773,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
2,15.0,,15,15,0,,,,,100,0,,,,,c+2,poss,0.5,period,1.3017893750220537,None,None,,,,,,,,,,,0,15,15,84,189.50810625002487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.49946812499547,189.50810625002487,189.9984549159999,189.9984549159999,189.9984549159999,190.07228366599884,190.07228366599884,190.07228366599884,190.81365183298476,period,1.3017893750220537,None,190.81379604100948,190.81386008299887,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
2,-15.0,,16,16,0,,,,,100,0,,,,,c+2,negs,0.5,period,1.2550793340196833,None,None,,,,,,,,,,,0,16,16,463,190.8246751659899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.81614904099843,190.8246751659899,191.31472879101057,191.31472879101057,191.31472879101057,191.38917054102058,191.38917054102058,191.38917054102058,192.0915516249952,period,1.2550793340196833,None,192.09171220799908,192.09177279099822,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-4,-15.0,,17,17,0,,,,,100,0,,,,,c-4,negs,0.75,period,1.893083041999489,None,None,,,,,,,,,,,0,17,17,357,192.1039560000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.09492087498074,192.1039560000063,192.83852262498112,192.83852262498112,192.83852262498112,192.91182458301773,192.91182458301773,192.91182458301773,194.0084461660008,period,1.893083041999489,None,194.00861466600327,194.0086737080128,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-4,-15.0,,18,18,0,,,,,100,0,,,,,c-4,negs,0.75,z,1.9507382920128293,None,None,,,,,,,,,,,0,18,18,352,194.0210429999861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.01173729100265,194.0210429999861,194.75448420800967,194.75448420800967,194.75448420800967,194.82737524999538,194.82737524999538,194.82737524999538,195.9743936660234,z,1.9507382920128293,None,195.97452904097736,195.97458795801504,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
2,15.0,,19,19,0,,,,,100,0,,,,,c+2,poss,1.25,z,1.9533465839922428,None,None,,,,,,,,,,,0,19,19,125,195.98573441599729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.97690837498521,195.98573441599729,197.22207787499065,197.22207787499065,197.22207787499065,197.29406774998643,197.29406774998643,197.29406774998643,197.94152083300287,z,1.9533465839922428,None,197.94182250002632,197.94193620799342,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
8,15.0,,20,20,0,,,,,100,0,,,,,c+8,poss,0.75,period,1.4023658750229515,None,None,,,,,,,,,,,0,20,20,230,197.95376391598256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.94449174997862,197.95376391598256,198.68887549999636,198.68887549999636,198.68887549999636,198.76179700001376,198.76179700001376,198.76179700001376,199.3586714999983,period,1.4023658750229515,None,199.3588190409937,199.35887820803327,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-6,-15.0,,21,21,0,,,,,100,0,,,,,c-6,negs,0.75,z,1.5258930409909226,None,None,,,,,,,,,,,0,21,21,312,199.37024650000967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.36118441598956,199.37024650000967,200.10546291602077,200.10546291602077,200.10546291602077,200.17761458299356,200.17761458299356,200.17761458299356,200.90826754103182,z,1.5258930409909226,None,200.90840404102346,200.9084614579915,None,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
