center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
30,60,period,2,2,0,,,,,100,z,0,1.0276522090134677,None,,,,,,,,,,,,,,,0,2,2,2,,,,,58.6506002080132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.64472750001005,58.6506002080132,59.14190320800117,59.14190320800117,59.21539450000273,59.21539450000273,59.21539450000273,59.68376425000315,z,0,1.0276522090134677,None,59.687028292013565,59.6959073330072,61.192068375006784,61.18151450000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
30,0,period,3,3,0,,,,,100,period,1,0.9777629579912173,None,,,,,,,,,,,,,,,0,3,3,3,,,,,61.192068375006784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.18316266700276,61.192068375006784,61.68511812500947,61.68511812500947,61.75914633300272,61.75914633300272,61.75914633300272,62.1783696670027,period,1,0.9777629579912173,None,62.181790542003,62.19125225000607,63.683972583006835,63.6764727080008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
-30,69,z,4,4,0,,,,,0,z,1,0.949557999992976,None,,,,,,,,,,,,,,,0,4,4,4,,,,,63.683972583006835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.67809645801026,63.683972583006835,64.17535050000879,64.17535050000879,64.2478597920126,64.2478597920126,64.2478597920126,64.64474400000472,z,1,0.949557999992976,None,64.64487220800947,64.65405825000198,66.1511540000065,66.14352345801308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
30,69,period,5,5,0,,,,,0,period,1,0.841135958005907,None,,,,,,,,,,,,,,,0,5,5,5,,,,,66.1511540000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.14552200000617,66.1511540000065,66.64214779200847,66.64214779200847,66.71551191700564,66.71551191700564,66.71551191700564,66.99492000001192,period,1,0.841135958005907,None,66.99504187500861,67.00422262500797,68.50146016701183,68.49331200000597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.49350529200456,68.50146016701183,68.50146016701183,102.6688620000059,space,34.164116374988225,None,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
0,-15.0,,0,0,0,,,,,,,,,,c+0,negs,100,0.75,period,1.3495687920076307,None,None,,,,,,,,,,,0,0,0,374,102.7205155420088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.71407179201196,102.7205155420088,103.42308054200839,103.42308054200839,103.49848187500902,103.49848187500902,104.07961458300997,period,1.3495687920076307,None,104.07976358300948,104.07982812500268,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
2,15.0,,1,1,0,,,,,,,,,,c+2,poss,100,1.0,period,1.7858514590043342,None,None,,,,,,,,,,,0,1,1,90,104.09087162501237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0821214170137,104.09087162501237,105.07667233300162,105.07667233300162,105.14965033301269,105.14965033301269,105.87920608300192,period,1.7858514590043342,None,105.87932654200995,105.87937158301065,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
2,-15.0,,2,2,0,,,,,,,,,,c+2,negs,100,0.75,period,1.3129699999990407,None,None,,,,,,,,,,,0,2,2,410,105.89046870800667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.88143291701272,105.89046870800667,106.62677566701313,106.62677566701313,106.69970087500405,106.69970087500405,107.21324337500846,period,1.3129699999990407,None,107.2134850420116,107.21361525000248,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
0,15.0,,3,3,0,,,,,,,,,,c+0,poss,100,0.5,z,1.0369355410075514,None,None,,,,,,,,,,,0,3,3,38,107.2252565830131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.21612491700216,107.2252565830131,107.71007625000493,107.71007625000493,107.78199729201151,107.78199729201151,108.26796400001331,z,1.0369355410075514,None,108.26808812501258,108.2681465420028,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
-4,0.0,,4,4,0,,,,,,,,,,c-4,noss,0,0.5,period,1.0755997910018777,None,None,,,,,,,,,,,0,4,4,433,108.27935991701088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.27037329200539,108.27935991701088,108.75932783300232,108.75932783300232,108.83317704200454,108.83317704200454,109.36289662501076,period,1.0755997910018777,None,109.36302879200957,109.36308325000573,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
4,0.0,,5,5,0,,,,,,,,,,c+4,noss,0,0.5,period,2.154069749987684,None,None,,,,,,,,,,,0,5,5,615,109.37379000001238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.36514158300997,109.37379000001238,109.86030216701329,109.86030216701329,109.93209175000084,109.93209175000084,111.53090433300531,period,2.154069749987684,None,111.53106525000476,111.53112550001242,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
-4,-15.0,,6,6,0,,,,,,,,,,c-4,negs,100,0.75,z,1.6682164579979144,None,None,,,,,,,,,,,0,6,6,299,111.54235941701336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.53343570801371,111.54235941701336,112.27697700000135,112.27697700000135,112.34995358300512,112.34995358300512,113.21305116701114,z,1.6682164579979144,None,113.21319058300287,113.213246875006,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
-4,0.0,,7,7,0,,,,,,,,,,c-4,noss,0,0.75,z,2.103287999998429,None,None,,,,,,,,,,,0,7,7,441,113.22404933300277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.21545095799956,113.22404933300277,113.96019120801066,113.96019120801066,114.03280091700435,114.03280091700435,115.32975475001149,z,2.103287999998429,None,115.32988941700023,115.32994504200178,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
-2,-15.0,,8,8,0,,,,,,,,,,c-2,negs,100,1.25,period,1.8609222499944735,None,None,,,,,,,,,,,0,8,8,357,115.34125804201176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.33239895800943,115.34125804201176,116.57613583300554,116.57613583300554,116.64900395800942,116.64900395800942,117.21328770800028,period,1.8609222499944735,None,117.21342666700366,117.21348462501192,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
-6,-15.0,,9,9,0,,,,,,,,,,c-6,negs,100,1.25,period,2.0272982500027865,None,None,,,,,,,,,,,0,9,9,286,117.2240662920085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.21570254200196,117.2240662920085,118.46050233300775,118.46050233300775,118.53256854201027,118.53256854201027,119.26308233301097,period,2.0272982500027865,None,119.263220000008,119.26327579200733,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
0,-15.0,,10,10,0,,,,,,,,,,c+0,negs,100,1.25,period,1.8864355419937056,None,None,,,,,,,,,,,0,10,10,392,119.27460604200314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.2657140000083,119.27460604200314,120.51045241700194,120.51045241700194,120.58286820800276,120.58286820800276,121.16369120801392,period,1.8864355419937056,None,121.16395354201086,121.16406354200444,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
0,-15.0,,11,11,0,,,,,,,,,,c+0,negs,100,0.75,period,1.3106462090072455,None,None,,,,,,,,,,,0,11,11,370,121.17567629201221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.16662829200504,121.17567629201221,121.9104697080038,121.9104697080038,121.98251741701097,121.98251741701097,122.49651145801181,period,1.3106462090072455,None,122.49664437500178,122.49670012500428,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
-1,0.0,,12,12,0,,,,,,,,,,c-1,noss,0,0.5,z,1.2599008749966742,None,None,,,,,,,,,,,0,12,12,511,122.50740300001053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.49883487500483,122.50740300001053,122.9938045420131,122.9938045420131,123.06639400000859,123.06639400000859,123.77056454200647,z,1.2599008749966742,None,123.77069879201008,123.77075895800954,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
2,-15.0,,13,13,0,,,,,,,,,,c+2,negs,100,1.25,period,1.8805854160018498,None,None,,,,,,,,,,,0,13,13,431,123.78104291700583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.7729701250064,123.78104291700583,125.01979883300373,125.01979883300373,125.0945820830093,125.0945820830093,125.66483037501166,period,1.8805854160018498,None,125.66497900000832,125.66503962500428,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
0,15.0,,14,14,0,,,,,,,,,,c+0,poss,100,1.0,z,1.8455378329963423,None,None,,,,,,,,,,,0,14,14,58,125.67581412500294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.66725450000376,125.67581412500294,126.66061541700037,126.66061541700037,126.7326496670139,126.7326496670139,127.53043779201107,z,1.8455378329963423,None,127.53061420800805,127.5307549170102,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
0,15.0,,15,15,0,,,,,,,,,,c+0,poss,100,1.25,z,1.9288122919970192,None,None,,,,,,,,,,,0,15,15,65,127.54259933301364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.53327991701372,127.54259933301364,128.77747875000932,128.77747875000932,128.84916212499957,128.84916212499957,129.48031904200616,z,1.9288122919970192,None,129.48049937500036,129.48055920800834,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
-2,-15.0,,16,16,0,,,,,,,,,,c-2,negs,100,0.5,z,1.4894613749929704,None,None,,,,,,,,,,,0,16,16,332,129.49209395800426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.48320912501367,129.49209395800426,129.9775269170059,129.9775269170059,130.05107645801036,130.05107645801036,130.98554329200124,z,1.4894613749929704,None,130.9856508330122,130.98569549999957,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
0,-15.0,,17,17,0,,,,,,,,,,c+0,negs,100,1.0,period,1.567476208001608,None,None,,,,,,,,,,,0,17,17,381,130.9965682500042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.98769662500126,130.9965682500042,131.9861404580006,131.9861404580006,132.06144520800444,132.06144520800444,132.56944429200666,period,1.567476208001608,None,132.56954687500547,132.5695922920131,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
-1,0.0,,18,18,0,,,,,,,,,,c-1,noss,0,1.25,z,1.7405024170002434,None,None,,,,,,,,,,,0,18,18,537,132.5805681250058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.57156350000878,132.5805681250058,133.82087716700335,133.82087716700335,133.89471770801174,133.89471770801174,134.330761833,z,1.7405024170002434,None,134.33090570800414,134.33096562500577,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
4,15.0,,19,19,0,,,,,,,,,,c+4,poss,100,1.25,z,1.9272843340004329,None,None,,,,,,,,,,,0,19,19,137,134.3421936250088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.33325104200048,134.3421936250088,135.5775568750105,135.5775568750105,135.65059870800178,135.65059870800178,136.2804584580008,z,1.9272843340004329,None,136.2805954580108,136.2806525000051,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
4,15.0,,20,20,0,,,,,,,,,,c+4,poss,100,0.75,z,1.38661349999893,None,None,,,,,,,,,,,0,20,20,124,136.29172020801343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.28319604200078,136.29172020801343,137.02757462501177,137.02757462501177,137.09998870801064,137.09998870801064,137.68085687501298,z,1.38661349999893,None,137.68099416700716,137.68105016701156,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
0,-15.0,,21,21,0,,,,,,,,,,c+0,negs,100,1.25,period,3.1742047910083784,None,None,,,,,,,,,,,0,21,21,388,137.69226208300097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.68327729200246,137.69226208300097,138.92783641700225,138.92783641700225,138.99988075000874,138.99988075000874,140.8691033750074,period,3.1742047910083784,None,140.86920850000752,140.8692532920104,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
1,0.0,,22,22,0,,,,,,,,,,c+1,noss,0,0.5,period,1.8897948750091018,None,None,,,,,,,,,,,0,22,22,543,140.88028883301013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.87119283300126,140.88028883301013,141.37061629201344,141.37061629201344,141.4450325420039,141.4450325420039,142.78116079200117,period,1.8897948750091018,None,142.78136479201203,142.78153991700674,None,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
