center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.response,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
30,0,right,3,3,0,,,,,100,right,1,1.2353867080018972,None,,,,,0,3,3,3,,,,,164.20357520800462,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.44875633300398,165.45725637500436,166.94772004200058,166.95364029200573,,,,,,,,164.19809541699942,164.20357520800462,164.6963587499995,164.6963587499995,164.76961145800306,164.76961145800306,164.76961145800306,165.44863641700067,right,1,1.2353867080018972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
-30,69,left,4,4,0,,,,,0,left,1,1.7031434169985005,None,,,,,0,4,4,4,,,,,166.95364029200573,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.66651795800135,168.67549775000225,170.16440487500222,170.1704732080034,,,,,,,,166.94829604199913,166.95364029200573,167.44654408300266,167.44654408300266,167.5199033750032,167.5199033750032,167.5199033750032,168.66620754200267,left,1,1.7031434169985005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
30,69,right,5,5,0,,,,,0,right,1,1.1619136250010342,None,,,,,0,5,5,5,,,,,170.1704732080034,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.33864820800227,171.34709733300406,172.83106387500447,172.8391766249988,,,,,,,,170.1649515829995,170.1704732080034,170.66332241700002,170.66332241700002,170.735567542004,170.735567542004,170.735567542004,171.33853279200412,right,1,1.1619136250010342,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.8312331670022,172.8391766249988,172.8391766249988,212.80085158300062,space,39.954075041998294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,212.9299832079996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,1,0,start,5,-15,-15,30,212.9231564580041,212.9299832079996,213.30209779200231,213.30209779200231,213.37029008300306,213.37029008300306,214.07395112499944,0,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,214.08440066700132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,1,1,start,5,15,15,30,214.0759844580025,214.08440066700132,214.57431866700063,214.57431866700063,214.64878066700476,214.64878066700476,215.43427550000342,1,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,215.4449112500006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,1,2,start,5,15,15,,215.43627050000214,215.4449112500006,215.93149825,215.93149825,216.00365387499915,216.00365387499915,216.68429754200042,1,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,216.6941224580005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,1,3,start,5,15,15,-30,216.68572233300074,216.6941224580005,217.18162345800374,217.18162345800374,217.2536806249991,217.2536806249991,217.80102195800282,1,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,217.81030945800012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,1,4,start,5,-15,-15,,217.80223979199945,217.81030945800012,218.29854733300454,218.29854733300454,218.37120162499923,218.37120162499923,218.91144016700127,0,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,218.91713758300466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,1,5,start,5,-15,-15,-30,218.91258525000012,218.91713758300466,219.4073599580006,219.4073599580006,219.48222133300442,219.48222133300442,220.15058812500502,0,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,220.1600339170036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,2,6,up,5,-10,-10,,220.15174358300283,220.1600339170036,220.64788833300554,220.64788833300554,220.72146062500542,220.72146062500542,221.20750133300317,0,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,221.21675308300473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,2,7,up,5,-10,-10,30,221.20865125000273,221.21675308300473,221.70780041700345,221.70780041700345,221.78235641700303,221.78235641700303,222.26801637500466,0,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,222.27884962499957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,2,8,down,5,10,10,,222.27006708300178,222.27884962499957,222.7650311250036,222.7650311250036,222.83744270800526,222.83744270800526,223.35203558300418,1,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,223.36165299999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,2,9,down,5,10,10,30,223.3534091670008,223.36165299999993,223.84849804200348,223.84849804200348,223.9208656250048,223.9208656250048,224.58489708300476,1,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,224.5949013749996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,2,10,down,5,10,10,-30,224.58649920800235,224.5949013749996,225.08199841700116,225.08199841700116,225.1539100000009,225.1539100000009,225.6027231670014,1,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,225.61278420800227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,2,11,up,5,-10,-10,-30,225.6042585000032,225.61278420800227,226.0978535000031,226.0978535000031,226.170722750001,226.170722750001,226.83476425000117,0,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,226.8491772500056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,3,12,up,5,-5,-5,30,226.8359404580042,226.8491772500056,227.3320854170015,227.3320854170015,227.4046567080004,227.4046567080004,227.9903446669996,0,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,228.01552754200384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,3,13,down,5,5,5,,227.9917424170053,228.01552754200384,228.49090324999997,228.49090324999997,228.56583941700228,228.56583941700228,229.2836928750039,1,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,229.29328750000423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,3,14,up,5,-5,-5,-30,229.2850015830045,229.29328750000423,229.7820224169991,229.7820224169991,229.85413670800335,229.85413670800335,230.92295829200157,1,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,230.93228108300536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,3,15,down,5,5,5,-30,230.92434595800296,230.93228108300536,231.42441787500138,231.42441787500138,231.49937737500295,231.49937737500295,232.1906845830017,1,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,232.21557937499892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,3,16,down,5,5,5,30,232.19199958300305,232.21557937499892,232.69103400000313,232.69103400000313,232.766056708002,232.766056708002,233.47385379200568,1,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,233.49910845800332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,3,17,up,5,-5,-5,,233.4752143750011,233.49910845800332,233.9749475830031,233.9749475830031,234.049436375004,234.049436375004,234.60199916700367,0,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,234.61220437500015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,4,18,down,2,-7,-7,-30,234.60373795800115,234.61220437500015,235.0992017919998,235.0992017919998,235.17204141700495,235.17204141700495,236.1181741670007,0,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,236.12740575000498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,4,19,up,5,0,0,30,236.11935179200373,236.12740575000498,236.61570220800058,236.61570220800058,236.68913554200117,236.68913554200117,237.43509066700062,0,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,237.44504045800568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,4,20,down,5,0,0,,237.4364701670056,237.44504045800568,237.93240612500085,237.93240612500085,238.00552670800244,238.00552670800244,238.86825795800542,1,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,238.8779391249991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,4,21,down,5,0,0,30,238.86965141700057,238.8779391249991,239.36565625000367,239.36565625000367,239.43892695799877,239.43892695799877,240.33551295800135,0,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,240.34493904199917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,4,22,down,5,0,0,-30,240.33668704199954,240.34493904199917,240.83242987500125,240.83242987500125,240.91644041700056,240.91644041700056,241.49569808300294,1,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,241.50124854200112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,4,23,up,5,0,0,,241.49679987499985,241.50124854200112,241.9913561670037,241.9913561670037,242.06646191700565,242.06646191700565,242.92342195800302,1,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,242.93242787499912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,5,24,up,5,5,5,30,242.92453783300152,242.93242787499912,243.42511262500193,243.42511262500193,243.49973400000454,243.49973400000454,244.2070713330031,1,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,244.2162057500027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,5,25,down,2,-2,-2,,244.20835225000337,244.2162057500027,244.70794512500288,244.70794512500288,244.7831799170017,244.7831799170017,245.64020600000367,0,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
