center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,text_12.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
30,60,period,2,2,0,,,,,100,0,period,1,1.0515491669939365,None,,,,,,,,,,,,,,0,2,2,2,,,,,26.06545445798838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.059785874997033,26.06545445798838,26.557195457993657,26.557195457993657,26.557195457993657,26.631109791997005,26.631109791997005,26.631109791997005,26.631109791997005,27.126532374997623,period,1,1.0515491669939365,None,27.129746666993015,27.139037457993254,28.63279849999526,28.625147541999468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
30,0,period,3,3,0,,,,,100,0,period,1,0.7986628749931697,None,,,,,,,,,,,,,,0,3,3,3,,,,,28.63279849999526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.626874874986243,28.63279849999526,29.12384720798582,29.12384720798582,29.12384720798582,29.197084041996277,29.197084041996277,29.197084041996277,29.197084041996277,29.434066999994684,period,1,0.7986628749931697,None,29.43422104199999,29.44368845799181,30.94060258299578,30.930380582998623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
-30,69,z,4,4,0,,,,,0,100,period,0,1.122307166995597,None,,,,,,,,,,,,,,0,4,4,4,,,,,30.94060258299578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.932035666992306,30.94060258299578,31.433002916994155,31.433002916994155,31.433002916994155,31.506883207999635,31.506883207999635,31.506883207999635,31.506883207999635,32.06677458299964,period,0,1.122307166995597,None,32.07145229198795,32.08065995799552,,33.57456962499418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
30,69,period,5,5,0,,,,,0,100,period,1,0.7428194170061033,None,,,,,,,,,,,,,,0,5,5,5,,,,,33.58221004199004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.576312666991726,33.58221004199004,34.06716758299444,34.06716758299444,34.06716758299444,34.14118354198581,34.14118354198581,34.14118354198581,34.14118354198581,34.32761029199173,period,1,0.7428194170061033,None,34.33074733299145,34.340396832994884,35.833557124991785,35.82547991699539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.82571008299419,35.833557124991785,35.833557124991785,63.11052458299673,space,27.27264949999517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
4,0.0,,0,0,0,,,,,0,100,,,,,c+4,noss,1.0,period,1.612495833003777,None,None,,,,,,,,,,,0,0,0,721,63.24934095799108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.242616374991485,63.24934095799108,64.11196891698637,64.11196891698637,64.11196891698637,64.18156374999671,64.18156374999671,64.18156374999671,64.867176499989,period,1.612495833003777,None,64.86728733299242,64.86734312499175,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
-8,15.0,,1,1,0,,,,,100,0,,,,,c-8,poss,1.25,z,1.683112540995353,None,None,,,,,,,,,,,0,1,1,29,64.87809458299307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.86936191699351,64.87809458299307,66.11833387499792,66.11833387499792,66.11833387499792,66.19251187499322,66.19251187499322,66.19251187499322,66.56603616698703,z,1.683112540995353,None,66.56617183299386,66.56622754198906,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
-2,-15.0,,2,2,0,,,,,100,0,,,,,c-2,negs,1.25,period,1.7283707080059685,None,None,,,,,,,,,,,0,2,2,411,66.57720995799173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.56829887499043,66.57720995799173,67.81768399999419,67.81768399999419,67.81768399999419,67.89248779199261,67.89248779199261,67.89248779199261,68.31125774999964,period,1.7283707080059685,None,68.31139320798684,68.31144733299152,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
4,15.0,,3,3,0,,,,,100,0,,,,,c+4,poss,1.25,z,1.8814424999873154,None,None,,,,,,,,,,,0,3,3,217,68.32308716699481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.31432829199184,68.32308716699481,69.55858012499812,69.55858012499812,69.55858012499812,69.63219054198998,69.63219054198998,69.63219054198998,70.21145004199934,z,1.8814424999873154,None,70.2116327079857,70.21169095799269,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
-6,-15.0,,4,4,0,,,,,100,0,,,,,c-6,negs,1.0,period,1.6864587910094997,None,None,,,,,,,,,,,0,4,4,339,70.22308008300024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.21423429199785,70.22308008300024,71.2087336669938,71.2087336669938,71.2087336669938,71.280906666987,71.280906666987,71.280906666987,71.91248708299827,period,1.6864587910094997,None,71.91264233298716,71.91270262499165,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
4,15.0,,5,5,0,,,,,100,0,,,,,c+4,poss,1.25,period,1.9025404169951798,None,None,,,,,,,,,,,0,5,5,218,71.92356133299472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.91506391699659,71.92356133299472,73.15876933299296,73.15876933299296,73.15876933299296,73.23186641698703,73.23186641698703,73.23186641698703,73.82912999999826,period,1.9025404169951798,None,73.82929670799058,73.82935616699979,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
4,0.0,,6,6,0,,,,,0,100,,,,,c+4,noss,1.0,period,1.5016672909987392,None,None,,,,,,,,,,,0,6,6,725,73.84095870799501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.83163579199754,73.84095870799501,74.82562608299486,74.82562608299486,74.82562608299486,74.89762391698605,74.89762391698605,74.89762391698605,75.34537154198915,period,1.5016672909987392,None,75.34552437499224,75.34558291699796,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
-8,15.0,,7,7,0,,,,,100,0,,,,,c-8,poss,1.0,z,1.4365479160042014,None,None,,,,,,,,,,,0,7,7,21,75.35685012499744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.34801616698678,75.35685012499744,76.34220137499506,76.34220137499506,76.34220137499506,76.41466187499464,76.41466187499464,76.41466187499464,76.8060539579892,z,1.4365479160042014,None,76.80616258298687,76.80620470798749,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
6,15.0,,8,8,0,,,,,100,0,,,,,c+6,poss,1.0,period,1.6031795419985428,None,None,,,,,,,,,,,0,8,8,241,76.81271566699434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.80823233298725,76.81271566699434,77.80203799999435,77.80203799999435,77.80203799999435,77.88130116699904,77.88130116699904,77.88130116699904,78.42829854199954,period,1.6031795419985428,None,78.42843466698832,78.4284880419873,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
4,15.0,,9,9,0,,,,,100,0,,,,,c+4,poss,1.0,z,1.4822618339967448,None,None,,,,,,,,,,,0,9,9,212,78.43984649999766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.43094504199689,78.43984649999766,79.42564199998742,79.42564199998742,79.42564199998742,79.49787774999277,79.49787774999277,79.49787774999277,79.9282714999863,z,1.4822618339967448,None,79.92838087498967,79.92842445799033,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
8,-15.0,,10,10,0,,,,,100,0,,,,,c+8,negs,0.5,period,0.9374709580006311,None,None,,,,,,,,,,,0,10,10,545,79.9390800419933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.93040920799831,79.9390800419933,80.42581233299279,80.42581233299279,80.42581233299279,80.49778624999453,80.49778624999453,80.49778624999453,80.8794791669934,period,0.9374709580006311,None,80.87963824998587,80.87969883299957,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
-2,-15.0,,11,11,0,,,,,100,0,,,,,c-2,negs,1.0,period,1.6466112499911105,None,None,,,,,,,,,,,0,11,11,406,80.8908164579916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.88204379199306,80.8908164579916,81.87581824998779,81.87581824998779,81.87581824998779,81.9476694999903,81.9476694999903,81.9476694999903,82.5456764579867,period,1.6466112499911105,None,82.54574041698652,82.54575774999103,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
0,0.0,,12,12,0,,,,,0,100,,,,,c+0,noss,1.25,period,1.9195425000070827,None,None,,,,,,,,,,,0,12,12,670,82.55299274998833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.54657758299436,82.55299274998833,83.79275033299928,83.79275033299928,83.79275033299928,83.86441620798723,83.86441620798723,83.86441620798723,84.47834124999645,period,1.9195425000070827,None,84.47845141698781,84.47849370799668,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
-8,-15.0,,13,13,0,,,,,100,0,,,,,c-8,negs,0.5,period,1.130134791994351,None,None,,,,,,,,,,,0,13,13,288,84.4890006249916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.48042408299807,84.4890006249916,84.97592274998897,84.97592274998897,84.97592274998897,85.04797783299,85.04797783299,85.04797783299,85.62881108299189,period,1.130134791994351,None,85.62906779198966,85.6291745419876,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
4,-15.0,,14,14,0,,,,,100,0,,,,,c+4,negs,0.75,period,1.3024502499902155,None,None,,,,,,,,,,,0,14,14,494,85.6407159169903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.63168912498804,85.6407159169903,86.37570370799222,86.37570370799222,86.37570370799222,86.44833208298951,86.44833208298951,86.44833208298951,86.94631466698775,period,1.3024502499902155,None,86.94650779198855,86.94659874998615,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
0,-15.0,,15,15,0,,,,,100,0,,,,,c+0,negs,0.75,period,1.2918560830003116,None,None,,,,,,,,,,,0,15,15,427,86.95827708298748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.94908866699552,86.95827708298748,87.69270745798713,87.69270745798713,87.69270745798713,87.7647763749992,87.7647763749992,87.7647763749992,88.2618658329884,period,1.2918560830003116,None,88.26200308298576,88.26205737498822,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
-4,0.0,,16,16,0,,,,,0,100,,,,,c-4,noss,0.5,z,1.0030732909945073,None,None,,,,,,,,,,,0,16,16,580,88.27369791698584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.264553874993,88.27369791698584,88.75933124999574,88.75933124999574,88.75933124999574,88.83124933298677,88.83124933298677,88.83124933298677,89.27918829199916,z,1.0030732909945073,None,89.2793027079897,89.27934479199757,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
2,15.0,,17,17,0,,,,,100,0,,,,,c+2,poss,1.25,z,1.9043705420044716,None,None,,,,,,,,,,,0,17,17,185,89.2899187499861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.28137324999261,89.2899187499861,90.52611174999038,90.52611174999038,90.52611174999038,90.59814954199828,90.59814954199828,90.59814954199828,91.20662874999107,z,1.9043705420044716,None,91.20673429199087,91.20677662499656,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
-8,-15.0,,18,18,0,,,,,100,0,,,,,c-8,negs,1.0,z,1.6308990830002585,None,None,,,,,,,,,,,0,18,18,307,91.2133572499879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.208808957992,91.2133572499879,92.20277099999657,92.20277099999657,92.20277099999657,92.27664216699486,92.27664216699486,92.27664216699486,92.85606645799999,z,1.6308990830002585,None,92.85618066698953,92.85622695799975,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
0,15.0,,19,19,0,,,,,100,0,,,,,c+0,poss,0.5,z,0.9877340829989407,None,None,,,,,,,,,,,0,19,19,128,92.86265283299144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.85822962499515,92.86265283299144,93.35165616699669,93.35165616699669,93.35165616699669,93.42672537498584,93.42672537498584,93.42672537498584,93.86205145799613,z,0.9877340829989407,None,93.86218337499304,93.8622376669955,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
-4,15.0,,20,20,0,,,,,100,0,,,,,c-4,poss,0.5,z,0.9385680000123102,None,None,,,,,,,,,,,0,20,20,69,93.87304320799012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.8644503329997,93.87304320799012,94.35957408299146,94.35957408299146,94.35957408299146,94.43241724999098,94.43241724999098,94.43241724999098,94.81789099999878,z,0.9385680000123102,None,94.81803029199364,94.81808579199424,None,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
