center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,trial.stopped,trials.response,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,172.2146398749901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,2,6,down,5,10,10,30,172.20731733296998,172.2146398749901,172.7012394159683,172.7012394159683,172.77535929100122,172.77535929100122,172.77535929100122,173.77176387497457,1,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,173.78021529101534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,2,7,up,5,-10,-10,,173.77298200002406,173.78021529101534,174.2680093329982,174.2680093329982,174.34141008299775,174.34141008299775,174.34141008299775,174.80470920802327,0,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,174.8128816660028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,2,8,down,5,10,10,-30,174.80593337496975,174.8128816660028,175.30117466597585,175.30117466597585,175.37570845801383,175.37570845801383,175.37570845801383,175.81031529098982,1,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,175.8185507080052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,2,9,down,5,10,10,,175.81135520798853,175.8185507080052,176.31124616600573,176.31124616600573,176.38589004101232,176.38589004101232,176.38589004101232,176.99725770798977,1,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,177.01892487501027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,2,10,up,5,-10,-10,-30,176.99839212500956,177.01892487501027,177.49442466598703,177.49442466598703,177.56911504099844,177.56911504099844,177.57494729099562,178.35420795797836,0,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,178.36248862498906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,2,11,up,5,-10,-10,30,178.35534087498672,178.36248862498906,178.8511088329833,178.8511088329833,178.92507925000973,178.92507925000973,178.92507925000973,179.48021412501112,0,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,179.48573045799276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,3,12,up,5,-5,-5,,179.48123791598482,179.48573045799276,179.97756541601848,179.97756541601848,180.05252420797478,180.05252420797478,180.05833849997725,180.5557460829732,0,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,180.56411758298054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,3,13,up,5,-5,-5,30,180.55693537497427,180.56411758298054,181.05113587499363,181.05113587499363,181.1247920410242,181.1247920410242,181.1247920410242,181.69419700000435,0,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,181.70474162499886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,3,14,down,5,5,5,30,181.69581108301645,181.70474162499886,182.19463483302388,182.19463483302388,182.2695213329862,182.2695213329862,182.2695213329862,183.08798875001958,1,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,183.09654129098635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,3,15,up,5,-5,-5,-30,183.08916575001786,183.09654129098635,183.58447954099393,183.58447954099393,183.65825579100056,183.65825579100056,183.65825579100056,184.16387370799202,1,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,184.185561374994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,3,16,down,5,5,5,,184.16498483298346,184.185561374994,184.66137712501222,184.66137712501222,184.73548745800508,184.73548745800508,184.7420731249731,185.2708942500176,1,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,185.27930670802016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,3,17,down,5,5,5,-30,185.27208895800868,185.27930670802016,185.768424333015,185.768424333015,185.8421154160169,185.8421154160169,185.8421154160169,186.35417337500257,1,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,186.36266275000526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,4,18,down,5,0,0,30,186.35526187502546,186.36266275000526,186.8510962909786,186.8510962909786,186.9258622499765,186.9258622499765,186.9258622499765,187.40432450000662,0,chaz,0,2025-09-10_14h47.01.242,tilt_staircase,2024.2.4,None,2025-09-10 14h47.19.447228 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,187.4130255409982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,4,19,down,2,-7,-7,-30,187.40591462497832,187.4130255409982,187.90110366599401,187.90110366599401,187.97520283301128,187.97520283301128,187.97520283301128,,,,,,,,,,
