center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
30,0,right,3,3,0,,,,,100,right,1,1.0165033329976723,None,,,,,,,,,,,,,,0,3,3,3,,,,,24.839949834000436,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.864453750000393,25.869978124996123,27.353330208999978,27.363693624996813,,,,,,,,24.834081749999314,24.839949834000436,25.33954633399844,25.33954633399844,25.41403395899397,25.41403395899397,25.420668624996324,25.864404749998357,right,1,1.0165033329976723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-30,69,left,4,4,0,,,,,0,left,1,1.3038195419940166,None,,,,,,,,,,,,,,0,4,4,4,,,,,27.363693624996813,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.672923499994795,28.697182791998785,30.180978500000492,,,,,,,,,27.354990874999203,27.363693624996813,27.85541341699718,27.85541341699718,27.930655500000285,27.930655500000285,27.937155749998055,28.67280291699717,left,1,1.3038195419940166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
30,69,right,5,5,0,,,,,0,right,1,0.9434521250004764,None,,,,,,,,,,,,,,0,5,5,5,,,,,30.189246041998558,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.139360166998813,31.14779870899656,32.63152258400078,32.640855874997214,,,,,,,,30.182980541998404,30.189246041998558,30.673587666999083,30.673587666999083,30.747240083997895,30.747240083997895,30.747240083997895,31.13920162499562,right,1,0.9434521250004764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.631764541998564,32.640855874997214,32.640855874997214,45.922883499995805,space,13.278354916001263,None,,,,,,,,,,,,,,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
3.833333333333334,15.0,,0,0,0,,,,,,,,,,m3,poss,100,left,1.1424565830020583,None,None,,,,,,,,,,,0,0,0,35,45.972442749996844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.965826708998065,45.972442749996844,46.429408833995694,46.429408833995694,46.50408462499763,46.50408462499763,47.11742908399901,left,1.1424565830020583,None,47.11756025000068,47.11761833399942,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
6.333333333333334,15.0,,1,1,0,,,,,,,,,,p1,poss,100,left,1.2708082910030498,None,None,,,,,,,,,,,0,1,1,180,47.128230333997635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1201543749994,47.128230333997635,47.614437583994004,47.614437583994004,47.6861489169969,47.6861489169969,48.4095241670002,left,1.2708082910030498,None,48.409632791997865,48.40967162499874,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
0.0,0.0,,2,2,0,,,,,,,,,,PSE,noss,0,left,1.1146128749969648,None,None,,,,,,,,,,,0,2,2,635,48.4169083339948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.41160574999958,48.4169083339948,48.90656791699439,48.90656791699439,48.98154687499482,48.98154687499482,49.53444208399742,left,1.1146128749969648,None,49.53460574999917,49.53465987499658,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
4.833333333333334,15.0,,3,3,0,,,,,,,,,,m2,poss,100,right,1.037026624995633,None,None,,,,,,,,,,,0,3,3,63,49.54482787499728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.53684729199449,49.54482787499728,50.030984624994744,50.030984624994744,50.10303149999527,50.10303149999527,50.584626584000944,right,1.037026624995633,None,50.584854791995895,50.584962291999545,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-8.666666666666666,-15.0,,4,4,0,,,,,,,,,,m3,negs,100,left,0.9529013329956797,None,None,,,,,,,,,,,0,4,4,289,50.595924458997615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.587534083999344,50.595924458997615,51.08108787499805,51.08108787499805,51.15399691699713,51.15399691699713,51.55164062499534,left,0.9529013329956797,None,51.551805333998345,51.55186645899812,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-6.666666666666666,-15.0,,5,5,0,,,,,,,,,,PSE,negs,100,right,1.0299893750052433,None,None,,,,,,,,,,,0,5,5,410,51.562375875000726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.554126541996084,51.562375875000726,52.047860124999715,52.047860124999715,52.12135812499764,52.12135812499764,52.600537667000026,right,1.0299893750052433,None,52.60066995899979,52.600719292000576,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-5.666666666666666,-15.0,,6,6,0,,,,,,,,,,p2,negs,100,left,1.0968489999941085,None,None,,,,,,,,,,,0,6,6,502,52.61066899999423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.602737749999505,52.61066899999423,53.097849916994164,53.097849916994164,53.17039920899697,53.17039920899697,53.71768108399556,left,1.0968489999941085,None,53.717860791999556,53.71792158400058,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-5.666666666666666,-15.0,,7,7,0,,,,,,,,,,p2,negs,100,left,1.0459107080023387,None,None,,,,,,,,,,,0,7,7,501,53.72926549999829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.72064295900054,53.72926549999829,54.214569458999904,54.214569458999904,54.28765129199746,54.28765129199746,54.784537166997325,left,1.0459107080023387,None,54.78469029199914,54.784743583993986,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-7.666666666666666,-15.0,,8,8,0,,,,,,,,,,m2,negs,100,left,0.965166665999277,None,None,,,,,,,,,,,0,8,8,345,54.795356416994764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.787049250000564,54.795356416994764,55.280243000001065,55.280243000001065,55.3541397089939,55.3541397089939,55.766973416997644,left,0.965166665999277,None,55.767084833998524,55.76712574999692,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
5.833333333333334,15.0,,9,9,0,,,,,,,,,,PSE,poss,100,right,1.0584555829991587,None,None,,,,,,,,,,,0,9,9,154,55.7770287089952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.769117083997116,55.7770287089952,56.264634291997936,56.264634291997936,56.33647533399926,56.33647533399926,56.83993966699927,right,1.0584555829991587,None,56.84004770899628,56.84009087499726,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
7.833333333333334,15.0,,10,10,0,,,,,,,,,,p3,poss,100,right,1.1814681670002756,None,None,,,,,,,,,,,0,10,10,261,56.85039749999851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.842042042000685,56.85039749999851,57.33996629199828,57.33996629199828,57.41514983399975,57.41514983399975,58.03502187499544,right,1.1814681670002756,None,58.035181458995794,58.035235958996054,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-7.666666666666666,-15.0,,11,11,0,,,,,,,,,,m2,negs,100,right,1.2496220829998492,None,None,,,,,,,,,,,0,11,11,325,58.04607708399999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.03757987499557,58.04607708399999,58.53134216699982,58.53134216699982,58.60372895899491,58.60372895899491,59.30115449999721,right,1.2496220829998492,None,59.30139212499489,59.301480791997164,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-7.166666666666666,-15.0,,12,12,0,,,,,,,,,,m1,negs,100,right,1.0193992910062661,None,None,,,,,,,,,,,0,12,12,385,59.31241620899527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.30419033399812,59.31241620899527,59.79809895899962,59.79809895899962,59.87093170899607,59.87093170899607,60.33435345899488,right,1.0193992910062661,None,60.33448833399598,60.334538958995836,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
5.833333333333334,15.0,,13,13,0,,,,,,,,,,PSE,poss,100,right,0.9775602079971577,None,None,,,,,,,,,,,0,13,13,120,60.34451783399709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.336486916996364,60.34451783399709,60.831517708997126,60.831517708997126,60.90329354199639,60.90329354199639,61.33416149999539,right,0.9775602079971577,None,61.33434791699983,61.3343976670003,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-8.666666666666666,-15.0,,14,14,0,,,,,,,,,,m3,negs,100,left,0.8313142500046524,None,None,,,,,,,,,,,0,14,14,293,61.34571054199478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.33708491699508,61.34571054199478,61.83112049999909,61.83112049999909,61.904394375000265,61.904394375000265,62.18496979199699,left,0.8313142500046524,None,62.185131124999316,62.185185999995156,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
5.833333333333334,15.0,,15,15,0,,,,,,,,,,PSE,poss,100,right,0.9524978339977679,None,None,,,,,,,,,,,0,15,15,151,62.196008499995514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.18766720900021,62.196008499995514,62.68137687499984,62.68137687499984,62.753646833996754,62.753646833996754,63.151713833998656,right,0.9524978339977679,None,63.151875291994656,63.15192987499904,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-1.0,0.0,,16,16,0,,,,,,,,,,m2,noss,0,left,0.8751712919984129,None,None,,,,,,,,,,,0,16,16,592,63.16220120900107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.154207333995146,63.16220120900107,63.648201291995065,63.648201291995065,63.72049487500044,63.72049487500044,64.03990137499932,left,0.8751712919984129,None,64.0400337089959,64.04008462499769,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-5.666666666666666,-15.0,,17,17,0,,,,,,,,,,p2,negs,100,left,1.0343159580006613,None,None,,,,,,,,,,,0,17,17,482,64.05000116700103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0421146669978,64.05000116700103,64.54075270899921,64.54075270899921,64.61537033399509,64.61537033399509,65.08908816699841,left,1.0343159580006613,None,65.0892223339979,65.08927224999934,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
5.833333333333334,15.0,,18,18,0,,,,,,,,,,PSE,poss,100,left,0.8849011669954052,None,None,,,,,,,,,,,0,18,18,132,65.11510524999903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.09129224999924,65.11510524999903,65.59083879199898,65.59083879199898,65.66545587499422,65.66545587499422,66.01179845899605,left,0.8849011669954052,None,66.01191416700021,66.01197037499514,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-6.666666666666666,-15.0,,19,19,0,,,,,,,,,,PSE,negs,100,left,1.020781832994544,None,None,,,,,,,,,,,0,19,19,418,66.01853491699876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.01386320899474,66.01853491699876,66.50755729199591,66.50755729199591,66.58209191700007,66.58209191700007,67.06652945899987,left,1.020781832994544,None,67.06666337500064,67.06671287499921,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
3.833333333333334,15.0,,20,20,0,,,,,,,,,,m3,poss,100,right,0.9594687080025324,None,None,,,,,,,,,,,0,20,20,19,67.08217812499788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.06901516699872,67.08217812499788,67.56499620899558,67.56499620899558,67.63782008399721,67.63782008399721,68.05144016700069,right,0.9594687080025324,None,68.0516016670008,68.05165562500042,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
6.333333333333334,15.0,,21,21,0,,,,,,,,,,p1,poss,100,right,1.2367986669996753,None,None,,,,,,,,,,,0,21,21,170,68.06182054199598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0538684589992,68.06182054199598,68.54840058399714,68.54840058399714,68.62048749999667,68.62048749999667,69.30116137499863,right,1.2367986669996753,None,69.30129558399494,69.30134616699797,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
4.833333333333334,15.0,,22,22,0,,,,,,,,,,m2,poss,100,right,1.0870370420016116,None,None,,,,,,,,,,,0,22,22,49,69.31136758399953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.30331066699728,69.31136758399953,69.79836449999857,69.79836449999857,69.87138150000101,69.87138150000101,70.40104491699458,right,1.0870370420016116,None,70.40118141700077,70.40123079199839,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
6.833333333333334,15.0,,23,23,0,,,,,,,,,,p2,poss,100,right,1.1406054159961059,None,None,,,,,,,,,,,0,23,23,217,70.4113628749983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.40346262499952,70.4113628749983,70.89842533399496,70.89842533399496,70.97077983399504,70.97077983399504,71.55703462499514,right,1.1406054159961059,None,71.55714374999661,71.55718587499723,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-7.166666666666666,-15.0,,24,24,0,,,,,,,,,,m1,negs,100,left,1.1484271660010563,None,None,,,,,,,,,,,0,24,24,368,71.56753287500032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.55909537499974,71.56753287500032,72.05769491699903,72.05769491699903,72.13246100000106,72.13246100000106,72.71849441700033,left,1.1484271660010563,None,72.71864020900102,72.71869416700065,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-0.5,0.0,,25,25,0,,,,,,,,,,m1,noss,0,right,1.4535035000008065,None,None,,,,,,,,,,,0,25,25,618,72.72915054199984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.72111324999423,72.72915054199984,73.21537354199972,73.21537354199972,73.28751787499641,73.28751787499641,74.1856228339966,right,1.4535035000008065,None,74.18577962499694,74.18583145899902,None,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
