center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,text_3.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.response,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
30,0,right,3,3,0,,,,,100,right,1,1.0203057079997961,None,,,,,0,3,3,3,,,,,1216.8615878749988,,,,,,,,,,,,,,,,,,,,,,,,,,,,1217.8899334579983,1217.898761458,1219.3883830829982,1219.394378916997,,,,,,,,1216.8556399169975,1216.8615878749988,1217.353898207999,1217.353898207999,1217.4267359999976,1217.4267359999976,1217.4267359999976,1217.8897632499975,right,1,1.0203057079997961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
-30,69,left,4,4,0,,,,,0,left,1,0.8948471250005241,None,,,,,0,4,4,4,,,,,1219.394378916997,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220.296352999998,1220.3048691250006,1221.7884417919995,1221.794364041998,,,,,,,,1219.3889065829972,1219.394378916997,1219.8873954579976,1219.8873954579976,1219.961414999998,1219.961414999998,1219.961414999998,1220.2962242499998,left,1,0.8948471250005241,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
30,69,right,5,5,0,,,,,0,right,1,0.9016277089976938,None,,,,,0,5,5,5,,,,,1221.794364041998,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222.706844207998,1222.715565167,1224.2053489169994,1224.2127523329982,,,,,,,,1221.788974125,1221.794364041998,1222.2959546249986,1222.2959546249986,1222.3712868749972,1222.3712868749972,1222.3712868749972,1222.7067223329977,right,1,0.9016277089976938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224.2055177080001,1224.2127523329982,1224.2127523329982,1254.6800015829976,space,30.461791208999784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1254.811989124999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,1,0,start,5,-15,-15,30,1254.8058082079988,1254.811989124999,1255.1862827499972,1255.1862827499972,1255.2541994579988,1255.2595061249995,1255.2595061249995,1255.8064516249979,0,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1255.8124875419999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,1,1,start,5,15,15,-30,1255.8069096250001,1255.8124875419999,1256.2982550419983,1256.2982550419983,1256.3789502919972,1256.3724714169985,1256.3724714169985,1256.747241707999,1,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1256.7720809169987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,1,2,start,5,15,15,,1256.7483901669984,1256.7720809169987,1257.2474640830005,1257.2474640830005,1257.3224452499999,1257.3224452499999,1257.3224452499999,1257.7910418749998,1,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1257.8001381670001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,1,3,start,5,-15,-15,-30,1257.7921612499995,1257.8001381670001,1258.2885762080004,1258.2885762080004,1258.3614373749988,1258.3614373749988,1258.3614373749988,1258.824685042,0,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1258.8339925830005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,1,4,start,5,15,15,30,1258.8258325829993,1258.8339925830005,1259.3220373330005,1259.3220373330005,1259.3954028329972,1259.3954028329972,1259.3954028329972,1259.8916996249973,1,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1259.901834332999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,1,5,start,5,-15,-15,,1259.8934860419977,1259.901834332999,1260.3887142919993,1260.3887142919993,1260.4625503749994,1260.4625503749994,1260.4625503749994,1260.8082486669991,0,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1260.8176440829993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,2,6,down,5,10,10,-30,1260.8094920829972,1260.8176440829993,1261.305564582999,1261.305564582999,1261.379140582998,1261.379140582998,1261.379140582998,1261.7916494169986,1,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1261.8011961669981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,2,7,up,5,-10,-10,-30,1261.7929260419987,1261.8011961669981,1262.2878653329972,1262.2878653329972,1262.3625017919985,1262.3625017919985,1262.3625017919985,1263.0423033749976,0,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1263.0519272919992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,2,8,down,5,10,10,30,1263.0437631249988,1263.0519272919992,1263.538920791998,1263.538920791998,1263.6110512499981,1263.6110512499981,1263.6110512499981,1264.2084307080004,1,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1264.2179270419983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,2,9,down,5,10,10,,1264.2098428749996,1264.2179270419983,1264.705476957999,1264.705476957999,1264.7792912080004,1264.7792912080004,1264.7792912080004,1265.258315791998,1,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1265.2675497499986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,2,10,up,5,-10,-10,30,1265.2594727079995,1265.2675497499986,1265.7556180419997,1265.7556180419997,1265.8296845000004,1265.8296845000004,1265.8296845000004,1266.197745333,0,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1266.2224244169993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,2,11,up,5,-10,-10,,1266.1990413329986,1266.2224244169993,1266.6978608329991,1266.6978608329991,1266.7730780419988,1266.7730780419988,1266.7730780419988,1267.1643046249992,0,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1267.1892192499981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,3,12,up,5,-5,-5,,1267.1654151669973,1267.1892192499981,1267.6645817919998,1267.6645817919998,1267.7395704169976,1267.7395704169976,1267.7395704169976,1268.1299859169994,1,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1268.1388898749974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,3,13,up,5,-5,-5,30,1268.1311072079989,1268.1388898749974,1268.6315017499983,1268.6315017499983,1268.7058543329986,1268.7058543329986,1268.7058543329986,1269.2079368749983,0,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1269.217123167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,3,14,down,5,5,5,-30,1269.2090760419997,1269.217123167,1269.7058436249972,1269.7058436249972,1269.779358249998,1269.779358249998,1269.779358249998,1270.2081866249973,1,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1270.217474416997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,3,15,down,5,5,5,,1270.209361666999,1270.217474416997,1270.7058482920002,1270.7058482920002,1270.7786710420005,1270.7786710420005,1270.7786710420005,1271.274619374999,1,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1271.2837687499996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,3,16,down,5,5,5,30,1271.2757567499975,1271.2837687499996,1271.7724480420002,1271.7724480420002,1271.8460052079972,1271.8460052079972,1271.8460052079972,1272.5019064169974,0,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1272.5085868749993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,3,17,up,5,-5,-5,-30,1272.503050457999,1272.5085868749993,1272.9983790829974,1272.9983790829974,1273.0795851669973,1273.0728367919983,1273.0728367919983,1273.8641755419994,1,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1273.8735223330004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_noss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,5,4,18,down,5,0,0,,1273.8653198749998,1273.8735223330004,1274.365028791999,1274.365028791999,1274.4395960000002,1274.4395960000002,1274.4395960000002,1275.3646399999998,1,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1275.3892806250005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_negs,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,0,4,19,down,2,-7,-7,-30,1275.3657714170004,1275.3892806250005,1275.8648296669999,1275.8648296669999,1275.939490749999,1275.939490749999,1275.939490749999,1278.9094938749986,1,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1278.9189669999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_noss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,4,4,20,down,2,-7,-7,,1278.9106936669996,1278.9189669999978,1279.406042374998,1279.406042374998,1279.4796722499996,1279.4796722499996,1279.4796722499996,1279.8475055829986,0,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1279.856909291997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negc_poss,30,-15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,2,4,21,up,5,0,0,30,1279.8486449999982,1279.856909291997,1280.3481745419995,1280.3481745419995,1280.4233174580004,1280.4233174580004,1280.4233174580004,1281.2418409169986,0,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1281.2509168750003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_poss,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,3,4,22,up,2,7,7,30,1281.2429697499974,1281.2509168750003,1281.739547457997,1281.739547457997,1281.8128633749984,1281.8128633749984,1281.8128633749984,1282.381196208,1,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,1282.3904077499974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posc_negs,30,15,15,-15,"[5, 2, 1, 0.5]",lin,1,1,8,1,4,23,down,5,0,0,-30,1282.3823585419996,1282.3904077499974,1282.8828579580004,1282.8828579580004,1282.9567134169993,1282.9567134169993,1282.9567134169993,1283.7923241669996,1,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
