center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
30,60,period,2,2,0,,,,,100,0,period,1,1.0714535839797463,None,,,,,,,,,,,,,,0,2,2,2,,,,,101.69859920800081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.69289487501374,101.69859920800081,102.18950258300174,102.18950258300174,102.18950258300174,102.26269025000511,102.26269025000511,102.26269025000511,102.26269025000511,102.77543833301752,period,1,1.0714535839797463,None,102.77560966601595,102.78505704100826,104.2816435410059,104.27419658299186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
30,0,period,3,3,0,,,,,100,0,period,1,1.032200624991674,None,,,,,,,,,,,,,,0,3,3,3,,,,,104.2816435410059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.2759113330103,104.2816435410059,104.77288808301091,104.77288808301091,104.77288808301091,104.84692595800152,104.84692595800152,104.84692595800152,104.84692595800152,105.3261571250041,period,1,1.032200624991674,None,105.32627754099667,105.3402420830098,106.83230325000477,106.82438687499962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-30,69,z,4,4,0,,,,,0,100,z,1,0.9826169589941856,None,,,,,,,,,,,,,,0,4,4,4,,,,,106.83230325000477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.82657100001234,106.83230325000477,107.32299350001267,107.32299350001267,107.32299350001267,107.39628879100201,107.39628879100201,107.39628879100201,107.39628879100201,107.82571008300874,z,1,0.9826169589941856,None,107.82582987501519,107.83491050000885,109.3320924580039,109.32427445799112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
30,69,period,5,5,0,,,,,0,100,period,1,0.9826677090022713,None,,,,,,,,,,,,,,0,5,5,5,,,,,109.3320924580039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.32644162501674,109.3320924580039,109.82305983299739,109.82305983299739,109.82305983299739,109.89547970800777,109.89547970800777,109.89547970800777,109.89547970800777,110.32569900000817,period,1,0.9826677090022713,None,110.32586270800675,110.33495104100439,111.83319987499272,111.82461420801701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.8248345410102,111.83319987499272,111.83319987499272,143.26023091599927,space,31.418922542012297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
2,15.0,,0,0,0,,,,,100,0,,,,,c+2,poss,0.5,period,0.7787660830072127,None,None,,,,,,,,,,,0,0,0,94,143.39590312499786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.38996870801202,143.39590312499786,143.76079825000488,143.76079825000488,143.76079825000488,143.82967662499868,143.82967662499868,143.82967662499868,144.17765133301145,period,0.7787660830072127,None,144.17779841599986,144.1778637499956,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
0,-15.0,,1,1,0,,,,,100,0,,,,,c+0,negs,1.25,period,1.7688149999885354,None,None,,,,,,,,,,,0,1,1,456,144.18897354099317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.17997908301186,144.18897354099317,145.42431966599543,145.42431966599543,145.42431966599543,145.49761166601093,145.49761166601093,145.49761166601093,145.96034600000712,period,1.7688149999885354,None,145.96051612499286,145.9605750000046,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-4,0.0,,2,2,0,,,,,0,100,,,,,c-4,noss,1.0,z,1.4784624169988092,None,None,,,,,,,,,,,0,2,2,528,145.97248970801593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.96348091599066,145.97248970801593,146.95776029099943,146.95776029099943,146.95776029099943,147.03011691599386,147.03011691599386,147.03011691599386,147.46097337501124,z,1.4784624169988092,None,147.46113762501045,147.46119445801014,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-4,0.0,,3,3,0,,,,,0,100,,,,,c-4,noss,1.25,z,1.7329157500062138,None,None,,,,,,,,,,,0,3,3,544,147.4723864160187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.4634672079992,147.4723864160187,148.70840808301,148.70840808301,148.70840808301,148.78025670800707,148.78025670800707,148.78025670800707,149.21097829099745,z,1.7329157500062138,None,149.21111391601153,149.21116624999559,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
8,15.0,,4,4,0,,,,,100,0,,,,,c+8,poss,1.25,z,1.8418226659996435,None,None,,,,,,,,,,,0,4,4,243,149.2223348749976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.2134959580144,149.2223348749976,150.45786812499864,150.45786812499864,150.45786812499864,150.52968658300233,150.52968658300233,150.52968658300233,151.0670967909973,z,1.8418226659996435,None,151.0672360410099,151.0673006660072,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-8,-15.0,,5,5,0,,,,,100,0,,,,,c-8,negs,0.5,z,1.1711255000263918,None,None,,,,,,,,,,,0,5,5,252,151.07773120800266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.06956750000245,151.07773120800266,151.56729116599308,151.56729116599308,151.56729116599308,151.64175524999155,151.64175524999155,151.64175524999155,152.26151833299082,z,1.1711255000263918,None,152.26170254099998,152.26175841601798,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-6,-15.0,,6,6,0,,,,,100,0,,,,,c-6,negs,0.75,z,1.9527205000049435,None,None,,,,,,,,,,,0,6,6,315,152.2733707909938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.2644211660081,152.2733707909938,153.00806683301926,153.00806683301926,153.00806683301926,153.07989220801392,153.07989220801392,153.07989220801392,154.2378162080131,z,1.9527205000049435,None,154.23791987501318,154.23796533301356,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-2,-15.0,,7,7,0,,,,,100,0,,,,,c-2,negs,1.25,period,1.8282563750108238,None,None,,,,,,,,,,,0,7,7,415,154.24454133299878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.23998025001492,154.24454133299878,155.48382854100782,155.48382854100782,155.48382854100782,155.55751583300298,155.55751583300298,155.55751583300298,156.0776096250047,period,1.8282563750108238,None,156.07775175001007,156.07780545801506,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-2,0.0,,8,8,0,,,,,0,100,,,,,c-2,noss,1.25,z,1.7592407089832705,None,None,,,,,,,,,,,0,8,8,578,156.0890558329993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.08023133300594,156.0890558329993,157.3240598750126,157.3240598750126,157.3240598750126,157.39850204100367,157.39850204100367,157.39850204100367,157.8764007909922,z,1.7592407089832705,None,157.8765303750115,157.8765817079984,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-4,0.0,,9,9,0,,,,,0,100,,,,,c-4,noss,0.75,z,1.1971359580056742,None,None,,,,,,,,,,,0,9,9,516,157.89212479101843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.8789832080074,157.89212479101843,158.62483491600142,158.62483491600142,158.62483491600142,158.69698279100703,158.69698279100703,158.69698279100703,159.09492545801913,z,1.1971359580056742,None,159.09506962500745,159.09512408301816,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
0,0.0,,10,10,0,,,,,0,100,,,,,c+0,noss,1.0,z,2.255536667013075,None,None,,,,,,,,,,,0,10,10,619,159.10632912500296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.09726870799204,159.10632912500296,160.09210083301878,160.09210083301878,160.09210083301878,160.16377995800576,160.16377995800576,160.16377995800576,161.36532216600608,z,2.255536667013075,None,161.3653792499972,161.36539491600706,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
2,15.0,,11,11,0,,,,,100,0,,,,,c+2,poss,1.25,z,1.960621041012928,None,None,,,,,,,,,,,0,11,11,119,161.3747637080087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.3661751660111,161.3747637080087,162.60759429101017,162.60759429101017,162.60759429101017,162.68069875001675,162.68069875001675,162.68069875001675,163.34446774999378,z,1.960621041012928,None,163.34460316601326,163.34465779099264,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
2,0.0,,12,12,0,,,,,0,100,,,,,c+2,noss,0.5,period,1.5504916670033708,None,None,,,,,,,,,,,0,12,12,631,163.35578974999953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.34699833299965,163.35578974999953,163.84173291601473,163.84173291601473,163.84173291601473,163.91358112500166,163.91358112500166,163.91358112500166,164.91114054099307,period,1.5504916670033708,None,164.91127391601913,164.91132808299153,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-6,-15.0,,13,13,0,,,,,100,0,,,,,c-6,negs,0.5,period,2.0124772080162074,None,None,,,,,,,,,,,0,13,13,297,164.9216944159998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.91336791601498,164.9216944159998,165.40751579101197,165.40751579101197,165.40751579101197,165.4808143330156,165.4808143330156,165.4808143330156,166.9445047499903,period,2.0124772080162074,None,166.94461537501775,166.944658583001,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-2,-15.0,,14,14,0,,,,,100,0,,,,,c-2,negs,1.25,period,1.986100207985146,None,None,,,,,,,,,,,0,14,14,419,166.9557386249944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.94695954100462,166.9557386249944,168.1920510409982,168.1920510409982,168.1920510409982,168.26479420799296,168.26479420799296,168.26479420799296,168.94452529100818,period,1.986100207985146,None,168.94459408300463,168.9446172080061,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-2,15.0,,15,15,0,,,,,100,0,,,,,c-2,poss,0.75,z,1.3094236250035465,None,None,,,,,,,,,,,0,15,15,17,168.9523847910168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.94565675000194,168.9523847910168,169.6920805000118,169.6920805000118,169.6920805000118,169.7638015410048,169.7638015410048,169.7638015410048,170.26530808300595,z,1.3094236250035465,None,170.26535916599096,170.26538183301454,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
0,0.0,,16,16,0,,,,,0,100,,,,,c+0,noss,0.75,z,1.4416478330094833,None,None,,,,,,,,,,,0,16,16,600,170.2751906659978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.2661703749909,170.2751906659978,171.01661912500276,171.01661912500276,171.01661912500276,171.09226875001332,171.09226875001332,171.09226875001332,171.72753312499844,z,1.4416478330094833,None,171.72766395800863,171.72770954100997,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
2,-15.0,,17,17,0,,,,,100,0,,,,,c+2,negs,1.0,period,1.597878957982175,None,None,,,,,,,,,,,0,17,17,492,171.7356882079912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.72983029100578,171.7356882079912,172.7253760409949,172.7253760409949,172.7253760409949,172.79731145800906,172.79731145800906,172.79731145800906,173.3446847500163,period,1.597878957982175,None,173.34481883299304,173.34488191601122,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-4,0.0,,18,18,0,,,,,0,100,,,,,c-4,noss,1.0,z,1.5800380409928039,None,None,,,,,,,,,,,0,18,18,532,173.35471462499117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.34717900000396,173.35471462499117,174.34200691600563,174.34200691600563,174.34200691600563,174.41491325001698,174.41491325001698,174.41491325001698,174.94360541601782,z,1.5800380409928039,None,174.94367854099255,174.94370541599346,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
4,15.0,,19,19,0,,,,,100,0,,,,,c+4,poss,1.25,z,1.7905716670211405,None,None,,,,,,,,,,,0,19,19,167,174.95274633300141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.9450225000037,174.95274633300141,176.18460579100065,176.18460579100065,176.18460579100065,176.25955820799572,176.25955820799572,176.25955820799572,176.74665512499632,z,1.7905716670211405,None,176.7467897500028,176.74684387500747,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
4,0.0,,20,20,0,,,,,0,100,,,,,c+4,noss,0.5,period,1.160273582994705,None,None,,,,,,,,,,,0,20,20,682,176.75782629099558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.74901370800217,176.75782629099558,177.24219345799065,177.24219345799065,177.24219345799065,177.31529458300793,177.31529458300793,177.31529458300793,177.92823387499084,period,1.160273582994705,None,177.9283820000128,177.92843879101565,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
0,-15.0,,21,21,0,,,,,100,0,,,,,c+0,negs,0.75,period,1.3828962080006022,None,None,,,,,,,,,,,0,21,21,434,177.93896891601617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.93059775000438,177.93896891601617,178.67579412501073,178.67579412501073,178.67579412501073,178.74913012501202,178.74913012501202,178.74913012501202,179.32820954101044,period,1.3828962080006022,None,179.32831783301663,179.32836266601225,None,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
